combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,46,22,24,0,0,671,650,1245,26.149649259547935,25.33125487139517,48.5190958690569,30.5,27.083333333333332,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,142,100,42,0,0,777,830,959,30.280592361652374,32.3460639127046,37.373343725643025,7.77,19.761904761904763,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,198,136,62,0,0,834,931,801,32.50194855806703,36.282151208106,31.215900233826964,6.132352941176471,15.016129032258064,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,31,19,12,0,0,862,861,843,33.59314107560405,33.55416991426344,32.8526890101325,45.36842105263158,71.75,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,249,168,80,1,0,747,816,1003,29.111457521434136,31.80046765393609,39.08807482462978,4.446428571428571,10.2,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,276,175,100,1,0,820,905,841,31.95635229929852,35.26890101325019,32.774746687451284,4.685714285714286,9.05,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,354,115,237,2,0,744,470,1352,28.994544037412318,18.316445830085737,52.68901013250195,6.469565217391304,1.9831223628691983,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,185,133,51,1,0,817,913,836,31.839438815276694,35.58067030397506,32.579890880748245,6.142857142857143,17.901960784313726,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,236,173,62,1,0,826,978,762,32.19017926734217,38.113795791114576,29.696024941543257,4.77456647398844,15.774193548387096,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,343,72,269,2,0,1032,396,1138,40.2182385035074,15.43257989088075,44.34918160561185,14.333333333333334,1.4721189591078068,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,237,112,125,0,0,590,678,1298,22.992985190958688,26.42244738893219,50.58456742010912,5.267857142857143,5.424,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,24,13,11,0,0,696,793,1077,27.12392829306313,30.904130943102103,41.971940763834766,53.53846153846154,72.0909090909091,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,135,93,41,0,1,767,897,902,29.890880748246296,34.95713172252533,35.15198752922837,8.24731182795699,21.878048780487806,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,24,13,11,0,0,696,793,1077,27.12392829306313,30.904130943102103,41.971940763834766,53.53846153846154,72.0909090909091,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,188,111,76,1,0,738,816,1012,28.760717069368667,31.80046765393609,39.438815276695244,6.648648648648648,10.736842105263158,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,239,144,92,2,1,798,873,895,31.098986749805146,34.02182385035074,34.879189399844115,5.541666666666667,9.48913043478261,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,423,137,284,2,0,667,518,1381,25.993764614185505,20.187061574434917,53.819173811379585,4.868613138686132,1.823943661971831,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,127,91,34,1,1,747,881,938,29.111457521434136,34.3335931410756,36.55494933749026,8.208791208791208,25.91176470588235,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,187,134,50,2,1,788,943,835,30.709275136399068,36.749805144193296,32.54091971940764,5.880597014925373,18.86,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,399,57,340,2,0,933,481,1152,36.36009353078722,18.745128604832423,44.89477786438036,16.36842105263158,1.4147058823529413,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,351,157,194,0,0,564,681,1321,21.979734996102884,26.539360872954017,51.4809041309431,3.5923566878980893,3.5103092783505154,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,195,105,90,0,0,618,784,1164,24.084177708495712,30.55339049103663,45.362431800467654,5.885714285714286,8.71111111111111,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,14,6,8,0,0,718,868,980,27.98129384255651,33.826968043647696,38.19173811379579,119.66666666666667,108.5,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,173,90,83,0,0,633,791,1142,24.668745128604833,30.82618862042089,44.50506625097428,7.033333333333333,9.53012048192771,True,
