Signal,Final Equity,Total Return,Max Drawdown
rrg,10798.234500000031,7.982345000000324,-9.30809312266789
rema_50100150,10041.491499999996,0.4149149999999713,-5.532035609007575
rema_50100,9997.155499999986,-0.028445000000143494,-4.269275891757472
rema_100150,9967.97620000002,-0.3202379999998062,-7.365598639681206
rsma_50100,9777.017799999985,-2.229822000000148,-5.051455636143526
rbo_50,9717.19070000001,-2.8280929999998983,-8.116996739132276
rsma_50100150,9638.763300000013,-3.612366999999872,-5.220600315345017
rbo_100,9564.304799999973,-4.35695200000027,-6.0606502475401784
rsma_100150,9501.076299999964,-4.989237000000357,-6.46867244032467
rtt_5020,9372.876399999992,-6.27123600000008,-8.441456462224743
rbo_20,8909.362899999982,-10.906371000000181,-12.036058219198312
