combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,52,30,22,0,0,858,517,1190,33.45029239766082,20.155945419103315,46.393762183235864,28.6,23.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,180,86,94,0,0,979,599,987,38.16764132553606,23.352826510721247,38.47953216374269,11.383720930232558,6.372340425531915,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,239,112,126,0,1,958,609,998,37.34892787524367,23.742690058479532,38.9083820662768,8.553571428571429,4.833333333333333,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,30,16,14,0,0,1054,681,830,41.09161793372319,26.54970760233918,32.35867446393762,65.875,48.642857142857146,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,275,112,162,0,1,987,576,1002,38.47953216374269,22.45614035087719,39.06432748538012,8.8125,3.5555555555555554,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,291,133,157,0,1,1009,635,921,39.33723196881091,24.756335282651072,35.906432748538016,7.586466165413534,4.044585987261146,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,211,54,157,0,0,1150,495,920,44.834307992202724,19.298245614035086,35.86744639376218,21.296296296296298,3.1528662420382165,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,237,114,122,0,1,1011,627,927,39.41520467836258,24.444444444444443,36.140350877192986,8.868421052631579,5.139344262295082,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,216,107,109,0,0,1055,682,828,41.13060428849902,26.588693957115012,32.280701754385966,9.85981308411215,6.256880733944954,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,261,60,200,0,1,1138,374,1053,44.366471734892784,14.580896686159845,41.05263157894737,18.966666666666665,1.87,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,206,111,95,0,0,799,430,1336,31.15009746588694,16.764132553606238,52.085769980506825,7.198198198198198,4.526315789473684,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,19,9,10,0,0,900,519,1146,35.08771929824561,20.23391812865497,44.67836257309942,100.0,51.9,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,139,48,90,0,1,893,563,1109,34.81481481481482,21.949317738791425,43.23586744639376,18.604166666666668,6.2555555555555555,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,19,9,10,0,0,900,519,1146,35.08771929824561,20.23391812865497,44.67836257309942,100.0,51.9,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,133,42,90,0,1,917,512,1136,35.7504873294347,19.96101364522417,44.28849902534113,21.833333333333332,5.688888888888889,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,224,66,157,0,1,942,602,1021,36.72514619883041,23.469785575048732,39.80506822612086,14.272727272727273,3.8343949044585988,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,236,64,172,0,0,896,380,1289,34.931773879142305,14.814814814814813,50.253411306042885,14.0,2.2093023255813953,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,103,37,65,0,1,933,550,1082,36.37426900584796,21.44249512670565,42.18323586744639,25.216216216216218,8.461538461538462,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,158,70,88,0,0,993,648,924,38.71345029239766,25.263157894736842,36.0233918128655,14.185714285714285,7.363636363636363,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,249,39,209,0,1,941,324,1300,36.686159844054586,12.631578947368421,50.682261208576996,24.128205128205128,1.5502392344497609,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,230,110,120,0,0,742,386,1437,28.92787524366472,15.048732943469787,56.0233918128655,6.745454545454545,3.216666666666667,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,105,23,82,0,0,828,426,1311,32.280701754385966,16.608187134502923,51.11111111111111,36.0,5.195121951219512,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,12,4,8,0,0,847,501,1217,33.021442495126706,19.53216374269006,47.446393762183234,211.75,62.625,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,83,22,61,0,0,829,447,1289,32.319688109161795,17.42690058479532,50.253411306042885,37.68181818181818,7.327868852459017,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,107,34,73,0,0,833,445,1287,32.47563352826511,17.348927875243664,50.175438596491226,24.5,6.095890410958904,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,110,30,80,0,0,887,542,1136,34.580896686159846,21.130604288499026,44.28849902534113,29.566666666666666,6.775,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,195,32,163,0,0,835,409,1321,32.553606237816766,15.94541910331384,51.50097465886939,26.09375,2.5092024539877302,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,60,19,41,0,0,860,475,1230,33.528265107212476,18.51851851851852,47.953216374269005,45.26315789473684,11.585365853658537,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,101,39,62,0,0,932,635,998,36.33528265107213,24.756335282651072,38.9083820662768,23.897435897435898,10.241935483870968,True,
