Signal,Final Equity,Total Return,Max Drawdown
rsma_50100150,10181.249499999996,1.8124949999999584,-4.159498851981056
rrg,10135.778800000007,1.357788000000082,-3.156037698849535
rbo_20,10013.070900000004,0.13070900000005103,-3.470962187876255
rtt_5020,9879.329600000001,-1.2067039999999918,-2.54647991972008
rsma_100150,9838.201899999987,-1.6179810000001238,-4.057704649747489
rema_100150,9799.530100000005,-2.004698999999943,-4.702798289022349
rbo_100,9747.59950000002,-2.524004999999796,-3.676760116703489
rbo_50,9662.618100000003,-3.373818999999967,-4.857768551849605
rema_50100150,9555.045699999997,-4.449543000000034,-5.12809702320296
rema_50100,9364.915700000007,-6.350842999999928,-6.614496207600844
rsma_50100,9350.936000000005,-6.490639999999948,-6.637755556681539
