Signal,Final Equity,Total Return,Max Drawdown
rrg,11011.681999999964,10.116819999999649,-9.653722866968714
rbo_20,10839.238299999992,8.392382999999914,-8.750781592944975
rbo_100,10761.712699999975,7.617126999999746,-10.963235687188702
rsma_50100,10671.493600000033,6.714936000000327,-10.955631149368674
rtt_5020,10665.75460000001,6.657546000000103,-7.166896606527777
rbo_50,10595.59740000002,5.955974000000208,-7.575178996378297
rsma_50100150,10280.186800000047,2.8018680000004625,-6.370498832885339
rema_50100,10212.319099999968,2.123190999999669,-7.422924508119197
rsma_100150,10105.023499999972,1.0502349999997218,-5.352959339818701
rema_100150,10081.251599999963,0.8125159999996301,-7.148399711444875
rema_50100150,10038.489700000046,0.38489700000046145,-7.755546486582985
