combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,8,1,0,0,228,7,296,42.93785310734463,1.3182674199623352,55.74387947269304,28.5,7.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,36,35,1,0,0,293,9,229,55.1789077212806,1.694915254237288,43.12617702448211,8.371428571428572,9.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,48,47,1,0,0,267,9,255,50.282485875706215,1.694915254237288,48.0225988700565,5.680851063829787,9.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,4,1,0,0,324,9,198,61.016949152542374,1.694915254237288,37.28813559322034,81.0,9.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,46,42,4,0,0,281,4,246,52.91902071563088,0.7532956685499058,46.32768361581921,6.690476190476191,1.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,30,29,1,0,0,306,9,216,57.6271186440678,1.694915254237288,40.67796610169492,10.551724137931034,9.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,28,27,1,0,0,325,9,197,61.20527306967985,1.694915254237288,37.09981167608286,12.037037037037036,9.0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,39,38,1,0,0,292,9,230,54.99058380414312,1.694915254237288,43.314500941619585,7.684210526315789,9.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,15,14,1,0,0,349,9,173,65.72504708097928,1.694915254237288,32.580037664783426,24.928571428571427,9.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,29,25,4,0,0,311,4,216,58.568738229755176,0.7532956685499058,40.67796610169492,12.44,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,56,54,2,0,0,217,8,306,40.86629001883239,1.5065913370998116,57.6271186440678,4.018518518518518,4.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,3,1,0,0,270,9,252,50.847457627118644,1.694915254237288,47.45762711864407,90.0,9.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,27,26,1,0,0,255,9,267,48.0225988700565,1.694915254237288,50.282485875706215,9.807692307692308,9.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,3,1,0,0,270,9,252,50.847457627118644,1.694915254237288,47.45762711864407,90.0,9.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,29,24,4,1,0,270,5,256,50.847457627118644,0.9416195856873822,48.21092278719397,11.25,1.25,True,
