combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,38,22,16,0,0,614,672,1280,23.92829306313328,26.18862042088854,49.88308651597818,27.90909090909091,42.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,182,61,121,0,0,781,740,1045,30.436477007014812,28.83865939204988,40.72486360093531,12.80327868852459,6.115702479338843,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,260,105,154,0,1,811,756,999,31.605611847233046,29.46219797349961,38.93219017926734,7.723809523809524,4.909090909090909,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,25,13,12,0,0,831,851,884,32.385035074045206,33.16445830085736,34.450506625097425,63.92307692307692,70.91666666666667,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,271,104,167,0,0,743,784,1039,28.955572876071706,30.55339049103663,40.49103663289166,7.144230769230769,4.6946107784431135,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,297,107,189,0,1,852,702,1012,33.203429462197974,27.35775526110678,39.438815276695244,7.962616822429907,3.7142857142857144,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,307,87,219,0,1,751,505,1310,29.267342166796574,19.680436477007017,51.05222135619641,8.632183908045977,2.3059360730593608,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,194,67,126,0,1,833,829,904,32.46297739672642,32.30709275136399,35.22992985190959,12.432835820895523,6.579365079365079,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,222,86,135,0,1,859,856,851,33.47622759158223,33.35931410756041,33.16445830085736,9.988372093023257,6.340740740740741,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,319,29,290,0,0,882,426,1258,34.372564302416215,16.601714731098987,49.025720966484805,30.413793103448278,1.4689655172413794,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,218,121,97,0,0,610,535,1421,23.772408417770848,20.849571317225255,55.378020265003904,5.041322314049586,5.515463917525773,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,19,11,8,0,0,725,626,1215,28.254091971940763,24.395946999220577,47.34996102883866,65.9090909090909,78.25,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,148,82,66,0,0,782,645,1139,30.475448168355417,25.136399064692128,44.38815276695245,9.536585365853659,9.772727272727273,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,19,11,8,0,0,725,626,1215,28.254091971940763,24.395946999220577,47.34996102883866,65.9090909090909,78.25,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,156,91,65,0,0,730,681,1155,28.448947778643802,26.539360872954017,45.01169134840218,8.021978021978022,10.476923076923077,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,221,90,131,0,0,830,728,1008,32.3460639127046,28.37100545596259,39.28293063133281,9.222222222222221,5.557251908396947,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,333,109,224,0,0,719,428,1419,28.020265003897116,16.679657053780204,55.30007794232268,6.5963302752293576,1.9107142857142858,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,79,41,38,0,0,801,713,1052,31.215900233826964,27.786438035853468,40.997661730319564,19.536585365853657,18.763157894736842,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,126,55,71,0,0,828,811,927,32.268121590023384,31.605611847233046,36.12626656274357,15.054545454545455,11.422535211267606,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,306,28,278,0,0,844,352,1370,32.891660171473106,13.717848791894,53.390491036632895,30.142857142857142,1.2661870503597121,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,295,168,127,0,0,564,497,1505,21.979734996102884,19.368667186282153,58.65159781761496,3.357142857142857,3.9133858267716537,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,147,84,63,0,0,649,561,1356,25.29228371005456,21.86282151208106,52.84489477786438,7.726190476190476,8.904761904761905,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,10,5,5,0,0,730,620,1216,28.448947778643802,24.16212003117693,47.38893219017927,146.0,124.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,105,65,40,0,0,667,585,1314,25.993764614185505,22.79812938425565,51.20810600155885,10.261538461538462,14.625,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,128,77,51,0,0,658,602,1306,25.64302416212003,23.460639127045983,50.89633671083398,8.545454545454545,11.803921568627452,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,113,37,76,0,0,791,711,1064,30.82618862042089,27.708495713172255,41.46531566640686,21.37837837837838,9.355263157894736,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,317,95,222,0,0,646,401,1519,25.175370226032733,15.627435697583788,59.197194076383475,6.8,1.8063063063063063,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,43,35,8,0,0,698,650,1218,27.20187061574435,25.33125487139517,47.466874512860485,19.942857142857143,81.25,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,50,18,32,0,0,736,808,1022,28.68277474668745,31.488698363211228,39.82852689010132,40.888888888888886,25.25,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,311,24,287,0,0,821,339,1406,31.995323460639124,13.211223694466096,54.79345284489477,34.208333333333336,1.181184668989547,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,32,20,12,0,0,508,447,1611,19.79734996102884,17.42010911925175,62.78254091971941,25.4,37.25,True,
