combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,5,2,0,0,155,81,295,29.19020715630885,15.254237288135593,55.55555555555556,31.0,40.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,19,12,7,0,0,218,83,230,41.05461393596987,15.630885122410545,43.314500941619585,18.166666666666668,11.857142857142858,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,28,27,1,0,0,198,105,228,37.28813559322034,19.774011299435028,42.93785310734463,7.333333333333333,105.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,2,2,0,0,228,88,215,42.93785310734463,16.57250470809793,40.48964218455744,114.0,44.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,24,23,1,0,0,206,110,215,38.79472693032015,20.715630885122412,40.48964218455744,8.956521739130435,110.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,51,49,1,0,1,140,117,274,26.365348399246702,22.033898305084744,51.60075329566855,2.857142857142857,117.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,54,30,24,0,0,166,59,306,31.26177024482109,11.11111111111111,57.6271186440678,5.533333333333333,2.4583333333333335,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,37,36,1,0,0,189,115,227,35.59322033898305,21.657250470809792,42.749529190207156,5.25,115.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,64,62,1,0,1,96,117,318,18.07909604519774,22.033898305084744,59.887005649717516,1.5483870967741935,117.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,53,29,24,0,0,142,59,330,26.741996233521657,11.11111111111111,62.14689265536724,4.896551724137931,2.4583333333333335,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,52,39,13,0,0,170,83,278,32.015065913371,15.630885122410545,52.35404896421846,4.358974358974359,6.384615384615385,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,2,1,0,0,207,96,228,38.983050847457626,18.07909604519774,42.93785310734463,103.5,96.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,24,23,1,0,0,193,124,214,36.346516007532955,23.35216572504708,40.30131826741996,8.391304347826088,124.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,2,1,0,0,207,96,228,38.983050847457626,18.07909604519774,42.93785310734463,103.5,96.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,16,15,1,0,0,205,129,197,38.60640301318267,24.293785310734464,37.09981167608286,13.666666666666666,129.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,52,50,1,0,1,192,136,203,36.15819209039548,25.6120527306968,38.22975517890772,3.84,136.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,59,38,21,0,0,182,75,274,34.27495291902072,14.124293785310735,51.60075329566855,4.7894736842105265,3.5714285714285716,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,33,32,1,0,0,184,134,213,34.65160075329567,25.235404896421848,40.11299435028249,5.75,134.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,89,87,1,0,1,121,136,274,22.78719397363465,25.6120527306968,51.60075329566855,1.3908045977011494,136.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,79,58,21,0,0,151,75,305,28.436911487758948,14.124293785310735,57.43879472693032,2.603448275862069,3.5714285714285716,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,48,35,13,0,0,138,61,332,25.98870056497175,11.487758945386064,62.52354048964218,3.942857142857143,4.6923076923076925,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,20,5,15,0,0,168,60,303,31.63841807909605,11.299435028248588,57.06214689265536,33.6,4.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,2,1,0,0,172,74,285,32.39171374764595,13.93596986817326,53.672316384180796,86.0,74.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,14,5,9,0,0,168,65,298,31.63841807909605,12.24105461393597,56.12052730696798,33.6,7.222222222222222,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,3,2,1,0,0,176,79,276,33.14500941619586,14.87758945386064,51.9774011299435,88.0,79.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,31,29,1,0,1,171,86,274,32.20338983050847,16.195856873822976,51.60075329566855,5.896551724137931,86.0,True,
