Signal,Final Equity,Total Return,Max Drawdown
rbo_50,10224.38530000001,2.243853000000118,-2.275995007984278
rrg,10200.87760000002,2.008776000000201,-2.074048157789783
rsma_50100,10183.972599999986,1.8397259999998639,-1.9557663974776214
rema_50100,10183.972599999986,1.8397259999998639,-1.9557663974776214
rbo_100,10182.553200000006,1.825532000000063,-1.968485041514419
rtt_5020,10152.771699999992,1.5277169999999174,-1.5647784523882373
rsma_100150,10152.67500000001,1.52675000000011,-1.6886767853190048
rsma_50100150,10152.67500000001,1.52675000000011,-1.6886767853190048
rema_100150,10152.67500000001,1.52675000000011,-1.6886767853190048
rema_50100150,10152.67500000001,1.52675000000011,-1.6886767853190048
rbo_20,10083.8677,0.8386769999999988,-1.425115907104633
