combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,46,15,31,0,0,386,990,1190,15.04286827747467,38.58144972720187,46.37568199532346,25.733333333333334,31.93548387096774,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,122,51,71,0,0,527,1160,879,20.53780202650039,45.20654715510522,34.255650818394386,10.333333333333334,16.338028169014084,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,169,85,84,0,0,572,1205,789,22.29150428682775,46.96024941543258,30.748246297739673,6.729411764705882,14.345238095238095,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,30,12,18,0,0,570,1216,780,22.213561964146532,47.38893219017927,30.3975058456742,47.5,67.55555555555556,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,161,90,69,1,1,553,1278,735,21.551052221356194,49.80514419329696,28.643803585346845,6.144444444444445,18.52173913043478,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,134,76,56,1,1,658,1336,572,25.64302416212003,52.06547155105222,22.29150428682775,8.657894736842104,23.857142857142858,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,535,82,452,1,0,552,566,1448,21.51208106001559,22.0576773187841,56.43024162120032,6.7317073170731705,1.252212389380531,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,140,68,71,0,1,627,1274,665,24.434918160561185,49.64925954793453,25.915822291504288,9.220588235294118,17.943661971830984,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,85,73,9,2,1,720,1405,441,28.05923616523772,54.75448168355417,17.186282151208108,9.863013698630137,156.11111111111111,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,482,42,440,0,0,692,635,1239,26.9680436477007,24.746687451286046,48.285268901013254,16.476190476190474,1.4431818181818181,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,245,104,141,0,0,390,998,1178,15.1987529228371,38.89321901792673,45.908028059236166,3.75,7.078014184397163,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,21,7,14,0,0,489,1127,950,19.056897895557288,43.920498830865164,37.02260327357755,69.85714285714286,80.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,109,65,43,0,1,545,1186,835,21.239282930631333,46.21979734996103,32.54091971940764,8.384615384615385,27.58139534883721,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,21,7,14,0,0,489,1127,950,19.056897895557288,43.920498830865164,37.02260327357755,69.85714285714286,80.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,91,55,34,1,1,571,1272,723,22.25253312548714,49.57131722525332,28.176149649259546,10.381818181818181,37.411764705882355,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,133,63,64,3,3,650,1340,576,25.33125487139517,52.221356196414646,22.44738893219018,10.317460317460318,20.9375,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,609,73,535,1,0,508,597,1461,19.79734996102884,23.265783320342948,56.93686671862821,6.958904109589041,1.1158878504672898,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,64,27,35,0,2,593,1260,713,23.109898674980514,49.103663289166015,27.786438035853468,21.962962962962962,36.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,69,46,18,2,3,674,1447,445,26.26656274356976,56.3912704598597,17.342166796570538,14.652173913043478,80.38888888888889,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,562,30,532,0,0,621,606,1339,24.201091192517538,23.616523772408417,52.18238503507404,20.7,1.1390977443609023,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,310,141,169,0,0,346,995,1225,13.48402182385035,38.77630553390491,47.73967264224474,2.4539007092198584,5.887573964497041,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,122,64,58,0,0,422,1107,1037,16.445830085736553,43.141075604053,40.41309431021045,6.59375,19.086206896551722,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,14,5,9,0,0,484,1157,925,18.862042088854245,45.0896336710834,36.04832424006235,96.8,128.55555555555554,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,108,63,45,0,0,423,1120,1023,16.484801247077165,43.6477007014809,39.867498051441935,6.714285714285714,24.88888888888889,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,54,43,9,1,1,449,1234,883,17.49805144193297,48.09041309431021,34.41153546375682,10.44186046511628,137.11111111111111,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,81,42,35,2,2,516,1314,736,20.1091192517537,51.20810600155885,28.68277474668745,12.285714285714286,37.542857142857144,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,623,73,549,1,0,416,608,1542,16.21200311769291,23.694466095089634,60.09353078721746,5.698630136986301,1.1074681238615665,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,25,16,8,0,1,481,1231,854,18.745128604832423,47.97349961028839,33.28137178487919,30.0625,153.875,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,46,23,18,2,3,551,1451,564,21.47310989867498,56.54715510522214,21.979734996102884,23.956521739130434,80.61111111111111,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,593,25,567,1,0,488,591,1487,19.01792673421668,23.0319563522993,57.95011691348402,19.52,1.0423280423280423,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,37,10,27,0,0,295,875,1396,11.496492595479344,34.09976617303196,54.4037412314887,29.5,32.407407407407405,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,21,7,14,0,0,479,1101,986,18.667186282151206,42.907248636009356,38.425565081839444,68.42857142857143,78.64285714285714,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,87,47,40,0,0,520,1157,889,20.265003897116134,45.0896336710834,34.64536243180047,11.063829787234043,28.925,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,21,7,14,0,0,479,1101,986,18.667186282151206,42.907248636009356,38.425565081839444,68.42857142857143,78.64285714285714,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,85,50,33,1,1,515,1230,821,20.070148090413095,47.93452844894778,31.995323460639124,10.3,37.27272727272727,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,101,50,49,1,1,606,1325,635,23.616523772408417,51.63678877630553,24.746687451286046,12.12,27.040816326530614,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,482,54,428,0,0,436,459,1671,16.99142634450507,17.887763055339047,65.12081060015589,8.074074074074074,1.0724299065420562,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,55,22,32,0,1,581,1231,754,22.64224473889322,47.97349961028839,29.384255650818393,26.40909090909091,38.46875,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,52,40,9,2,1,666,1401,499,25.954793452844893,54.59859703819174,19.446609508963366,16.65,155.66666666666666,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,447,27,420,0,0,577,481,1508,22.486360093530788,18.745128604832423,58.768511301636785,21.37037037037037,1.1452380952380952,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,371,160,211,0,0,405,1089,1072,15.783320342946219,42.439594699922054,41.77708495713172,2.53125,5.161137440758294,True,
