Signal,Final Equity,Total Return,Max Drawdown
rrg,2536.2015999999994,1.4480639999999712,-1.4949287225184449
rsma_100150,2533.4164999999975,1.3366599999999007,-2.4235823524634514
rbo_100,2517.2593000000015,0.6903720000000613,-2.7370735500549594
rema_100150,2482.8121999999985,-0.6875120000000567,-3.3489341857140884
rema_50100150,2478.3055999999992,-0.8677760000000312,-2.586684911731291
rbo_50,2476.368300000002,-0.9452679999999214,-4.079003130874432
rtt_5020,2473.652199999998,-1.053912000000068,-2.968689077225708
rbo_20,2463.740999999994,-1.4503600000002392,-4.299028087252372
rema_50100,2447.3904000000016,-2.104383999999937,-3.6406535566806038
rsma_50100150,2440.7085999999986,-2.3716560000000553,-3.496735637980384
rsma_50100,2437.171100000002,-2.5131559999999276,-3.7944580108290404
