Signal,Final Equity,Total Return,Max Drawdown
rrg,106309.5427999997,6.309542799999712,-7.441289184182684
rsma_50100150,103328.23350000002,3.328233500000022,-4.106461183235111
rema_50100150,101588.41129999979,1.5884112999997813,-2.243069467523778
rema_50100,97699.31479999995,-2.300685200000052,-4.244919455811406
rema_100150,97130.32860000024,-2.8696713999997625,-3.3300090310627897
rbo_100,96394.80910000011,-3.6051908999998883,-4.536908788820299
rsma_50100,96068.8342000003,-3.931165799999692,-5.401660441266764
rbo_20,95258.16330000013,-4.741836699999869,-6.39257933802994
rtt_5020,95171.65099999998,-4.828349000000021,-5.4313624000000855
rbo_50,94997.1444,-5.0028556,-5.452948400000081
rsma_100150,94063.9476000002,-5.936052399999792,-6.292053086204897
