Signal,Final Equity,Total Return,Max Drawdown
rrg,10945.399900000013,9.453999000000124,-8.683704826285469
rema_50100,10642.02940000001,6.420294000000104,-6.751566767602091
rema_100150,10564.14629999998,5.641462999999813,-5.576260058842976
rbo_50,10514.139599999962,5.141395999999632,-5.789385344450113
rbo_100,10473.8847,4.738847000000002,-5.546307370518816
rtt_5020,10400.329800000023,4.003298000000233,-4.5366931846591125
rsma_100150,10314.523599999999,3.1452359999999846,-5.576260058842976
rbo_20,10290.08650000002,2.9008650000001968,-4.315953314988118
rsma_50100,10216.058900000005,2.160589000000046,-3.8168805347528796
rsma_50100150,9728.255999999994,-2.71744000000006,-5.463853205727911
rema_50100150,9691.982500000016,-3.0801749999998407,-7.062139079823164
