combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,11,4,7,0,0,60,191,280,11.299435028248588,35.969868173258,52.730696798493405,15.0,27.285714285714285,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,62,20,42,0,0,76,163,292,14.312617702448211,30.69679849340866,54.99058380414312,3.8,3.880952380952381,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,25,23,2,0,0,84,231,216,15.819209039548024,43.50282485875706,40.67796610169492,3.652173913043478,115.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,8,4,4,0,0,93,201,237,17.51412429378531,37.85310734463277,44.632768361581924,23.25,50.25,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,45,23,22,0,0,84,180,267,15.819209039548024,33.89830508474576,50.282485875706215,3.652173913043478,8.181818181818182,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,50,27,22,0,1,45,213,273,8.47457627118644,40.11299435028249,51.41242937853108,1.6666666666666667,9.681818181818182,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,61,13,47,0,1,55,182,294,10.357815442561206,34.27495291902072,55.367231638418076,4.230769230769231,3.872340425531915,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,33,30,2,0,1,31,233,267,5.83804143126177,43.87947269303202,50.282485875706215,1.0333333333333334,116.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,33,30,2,0,1,31,233,267,5.83804143126177,43.87947269303202,50.282485875706215,1.0333333333333334,116.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,82,2,80,0,0,119,115,297,22.4105461393597,21.657250470809792,55.932203389830505,59.5,1.4375,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,25,18,7,0,0,41,115,375,7.721280602636535,21.657250470809792,70.62146892655367,2.2777777777777777,16.428571428571427,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,2,2,0,0,58,121,352,10.922787193973635,22.78719397363465,66.29001883239172,29.0,60.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,7,5,2,0,0,66,122,343,12.429378531073446,22.975517890772128,64.59510357815442,13.2,61.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,2,2,0,0,58,121,352,10.922787193973635,22.78719397363465,66.29001883239172,29.0,60.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,15,5,10,0,0,66,112,353,12.429378531073446,21.092278719397363,66.47834274952919,13.2,11.2,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,25,17,7,0,1,62,119,350,11.67608286252354,22.4105461393597,65.91337099811676,3.6470588235294117,17.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,63,14,48,0,1,56,78,397,10.546139359698682,14.689265536723164,74.76459510357816,4.0,1.625,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,31,28,2,0,1,31,124,376,5.83804143126177,23.35216572504708,70.80979284369114,1.1071428571428572,62.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,32,29,2,0,1,30,124,377,5.649717514124294,23.35216572504708,70.99811676082862,1.0344827586206897,62.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,60,3,57,0,0,167,65,299,31.45009416195857,12.24105461393597,56.30885122410546,55.666666666666664,1.1403508771929824,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,51,23,28,0,0,40,174,317,7.532956685499058,32.7683615819209,59.69868173258004,1.7391304347826086,6.214285714285714,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,56,6,50,0,0,56,152,323,10.546139359698682,28.625235404896422,60.8286252354049,9.333333333333334,3.04,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,62,201,268,11.67608286252354,37.85310734463277,50.470809792843696,62.0,201.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,30,6,24,0,0,56,178,297,10.546139359698682,33.52165725047081,55.932203389830505,9.333333333333334,7.416666666666667,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,28,1,27,0,0,62,175,294,11.67608286252354,32.95668549905838,55.367231638418076,62.0,6.481481481481482,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,35,14,21,0,0,58,181,292,10.922787193973635,34.08662900188324,54.99058380414312,4.142857142857143,8.619047619047619,True,
