Signal,Final Equity,Total Return,Max Drawdown
rrg,10241.194399999986,2.411943999999866,-3.6919553027694487
rsma_100150,10129.565099999976,1.2956509999997534,-3.4097458429543
rema_50100150,10084.244899999996,0.8424489999999674,-4.126665329380623
rema_100150,10015.318700000003,0.15318700000004348,-3.0121697100437506
rsma_50100150,9880.454699999986,-1.1954530000001462,-3.7967954784903126
rbo_50,9802.577400000004,-1.9742259999999678,-4.8961927759239545
rbo_100,9752.731300000003,-2.4726869999999734,-4.395784937248665
rema_50100,9623.13360000003,-3.7686639999996996,-4.879415340194148
rsma_50100,9609.707400000014,-3.9029259999998622,-5.776476745135974
rtt_5020,9419.766799999983,-5.802332000000165,-6.268376696190427
rbo_20,9051.671800000078,-9.483281999999216,-10.136054868492286
