combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,45,22,23,0,0,486,679,1401,18.939984411535463,26.461418550272796,54.59859703819174,22.09090909090909,29.52173913043478,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,186,86,100,0,0,542,837,1187,21.12236944660951,32.61886204208885,46.25876851130163,6.3023255813953485,8.37,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,106,20,85,1,0,779,1009,778,30.358534684333595,39.32190179267342,30.319563522992986,38.95,11.870588235294118,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,35,16,19,0,0,614,922,1030,23.92829306313328,35.931410756040535,40.14029618082619,38.375,48.526315789473685,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,186,70,115,1,0,643,952,971,25.05845674201091,37.10054559625877,37.84099766173032,9.185714285714285,8.278260869565218,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,194,62,130,2,0,693,986,887,27.00701480904131,38.425565081839444,34.567420109119254,11.17741935483871,7.584615384615384,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,308,60,247,1,0,718,494,1354,27.98129384255651,19.251753702260327,52.76695245518317,11.966666666666667,2.0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,156,39,116,1,0,726,922,918,28.293063133281372,35.931410756040535,35.77552611067809,18.615384615384617,7.948275862068965,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,187,22,162,3,0,786,906,874,30.631332813717847,35.307872174590806,34.06079501169135,35.72727272727273,5.592592592592593,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,312,24,286,2,0,767,452,1347,29.890880748246296,17.614964925954794,52.49415432579892,31.958333333333332,1.5804195804195804,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,228,95,133,0,0,417,621,1528,16.250974279033514,24.201091192517538,59.54793452844894,4.389473684210526,4.669172932330827,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,24,11,13,0,0,504,747,1315,19.641465315666405,29.111457521434136,51.24707716289946,45.81818181818182,57.46153846153846,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,53,16,35,1,1,795,959,812,30.98207326578332,37.373343725643025,31.644583008573658,49.6875,27.4,True,
