Signal,Final Equity,Total Return,Max Drawdown
rsma_100150,10023.250799999985,0.2325079999998536,-0.8307530059597321
rsma_50100,9960.043900000019,-0.3995609999998151,-1.0399092824924572
rema_100150,9950.05140000001,-0.4994859999999046,-1.1674407427950135
rema_50100150,9933.671200000006,-0.6632879999999397,-1.0039656544547417
rbo_100,9923.869799999988,-0.7613020000001192,-1.3394312196851805
rsma_50100150,9917.768699999999,-0.8223130000000078,-1.0771650653321392
rrg,9914.024000000009,-0.8597599999999095,-1.490664416047214
rbo_20,9898.480499999994,-1.0151950000000576,-2.0936794403347125
rema_50100,9871.183699999998,-1.28816300000002,-1.830650999999998
rtt_5020,9863.838100000003,-1.3616189999999695,-1.9702552276051697
rbo_50,9862.721399999993,-1.3727860000000702,-2.0338013444294445
