Signal,Final Equity,Total Return,Max Drawdown
rrg,104783.15260000029,4.783152600000284,-5.978296417761367
rbo_20,101735.77330000029,1.7357733000002984,-7.14594925855516
rtt_5020,98987.21640000002,-1.012783599999978,-6.27083817306509
rsma_100150,98889.27970000007,-1.1107202999999233,-5.019223151769065
rbo_50,96621.45059999991,-3.378549400000086,-7.258084527610493
rema_50100,96382.00120000009,-3.617998799999911,-7.498158780689794
rema_100150,96338.58649999998,-3.6614135000000214,-7.34029980145111
rsma_50100150,94079.3212,-5.92067879999999,-6.946187532054761
rema_50100150,93531.40969999995,-6.468590300000054,-7.133012161124662
rbo_100,92982.57820000027,-7.017421799999735,-10.389795365941607
rsma_50100,91777.90319999996,-8.222096800000045,-9.4363066999999
