Signal,Final Equity,Total Return,Max Drawdown
rbo_20,10221.653799999982,2.2165379999998125,-3.0224231135969055
rrg,10123.331499999997,1.2333149999999682,-2.7355826918234945
rsma_50100150,10057.951699999992,0.5795169999999183,-2.264358567777284
rtt_5020,9998.518400000023,-0.014815999999773233,-2.227506239775658
rema_50100150,9909.9037,-0.900962999999988,-2.294501000000073
rbo_50,9897.003000000017,-1.0299699999998246,-2.544974380317665
rema_100150,9679.490100000023,-3.205098999999778,-4.420772761886619
rema_50100,9678.388099999996,-3.2161190000000395,-4.050229100895412
rbo_100,9619.191300000006,-3.808086999999938,-4.1603149999999545
rsma_100150,9612.337999999994,-3.876620000000053,-3.900310000000045
rsma_50100,9509.950600000016,-4.900493999999833,-5.358287116818177
