Signal,Final Equity,Total Return,Max Drawdown
rsma_50100,105248.18099999994,5.24818099999993,-6.142975698373427
rrg,103601.81920000006,3.601819200000067,-4.025641954486156
rema_50100,102897.22750000026,2.8972275000002545,-4.300472028302461
rbo_50,102593.38789999981,2.5933878999998106,-3.5868836732711427
rbo_100,102478.06730000011,2.4780673000001086,-4.423411239987204
rema_50100150,102092.49239999974,2.0924923999997347,-3.6368978711148254
rtt_5020,101569.07720000013,1.569077200000124,-3.6211032393263682
rsma_50100150,101214.97260000014,1.2149726000001415,-4.0669937007092845
rbo_20,100088.92099999971,0.0889209999997087,-3.993166026939158
rema_100150,97996.64450000026,-2.0033554999997483,-2.718282299999977
rsma_100150,96270.52609999989,-3.729473900000113,-4.283985999999975
