Signal,Final Equity,Total Return,Max Drawdown
rbo_20,10799.638800000004,7.996388000000043,-7.950420527027307
rtt_5020,10795.949599999998,7.959495999999988,-8.065781448257232
rema_100150,10630.721400000011,6.3072140000001164,-5.933006578462404
rbo_50,10600.888199999996,6.00888199999996,-6.495926445106701
rema_50100,10569.753600000011,5.697536000000114,-5.703711901271418
rrg,10553.236500000006,5.532365000000072,-5.271361065394566
rsma_50100,10308.450599999986,3.0845059999998536,-6.355740756431243
rsma_100150,10290.070400000015,2.900704000000154,-5.0816296086998705
rbo_100,10175.848300000005,1.758483000000055,-5.604753945110904
rema_50100150,9518.322099999985,-4.816779000000149,-5.3536840000001025
rsma_50100150,9374.663399999987,-6.253366000000138,-6.253366000000132
