Signal,Final Equity,Total Return,Max Drawdown
rbo_50,11177.434999999998,11.774349999999977,-10.539333934842823
rtt_5020,10613.43690000004,6.134369000000417,-5.7853936079842265
rbo_100,10584.285999999971,5.842859999999717,-7.317850383188659
rsma_50100,10566.10780000001,5.661078000000108,-7.851753896105748
rema_50100,10558.156800000013,5.581568000000137,-7.967348498034317
rrg,10471.705500000015,4.717055000000148,-7.056021989524671
rsma_50100150,10362.893700000079,3.628937000000798,-5.7589789008096846
rsma_100150,10295.112799999999,2.9511279999999918,-6.972912469260599
rbo_20,10198.629899999982,1.9862989999998248,-5.110763439821468
rema_50100150,9918.071500000031,-0.8192849999996921,-5.159332870209784
rema_100150,9915.35830000002,-0.8464169999997995,-6.267713320418801
