Signal,Final Equity,Total Return,Max Drawdown
rrg,10459.518400000006,4.595184000000052,-4.586390899221573
rema_50100150,10391.115099999997,3.9111509999999683,-3.9175092959945723
rsma_50100,10367.290100000013,3.6729010000001283,-4.0476102814949595
rsma_100150,10285.23180000001,2.852318000000098,-3.349320722164103
rsma_50100150,10281.184199999998,2.8118419999999755,-3.549188429091648
rbo_100,10176.971600000006,1.7697160000000656,-3.4330448558980757
rema_100150,10169.453799999992,1.6945379999999233,-2.4573453492653807
rema_50100,10148.449300000004,1.4844930000000423,-3.461819531383952
rbo_20,10081.6062,0.8160619999999952,-1.8330017046169562
rtt_5020,9781.081400000003,-2.1891859999999763,-2.4613389340404996
rbo_50,9632.8373,-3.6716270000000106,-3.95083760813567
