Signal,Final Equity,Total Return,Max Drawdown
rsma_50100150,10242.202000000028,2.422020000000291,-3.203992496793926
rrg,10152.201499999994,1.5220149999999322,-2.0015317769999417
rema_50100150,10093.670200000002,0.9367020000000226,-2.2907340636750253
rsma_50100,9980.43440000001,-0.1956559999999108,-2.2954738498175167
rsma_100150,9812.0429,-1.879570999999991,-2.3108714037594034
rema_100150,9808.9897,-1.9101029999999963,-2.291649333829114
rbo_50,9745.22200000001,-2.5477799999998885,-3.0901534002677375
rbo_100,9745.090900000023,-2.54909099999977,-3.5174218899778924
rbo_20,9673.403800000015,-3.2659619999998557,-4.487153910349021
rtt_5020,9667.164300000002,-3.328356999999982,-3.5820211322436055
rema_50100,9659.276899999993,-3.407231000000066,-3.4846652530675217
