Signal,Final Equity,Total Return,Max Drawdown
rrg,10650.032699999998,6.5003269999999835,-6.796585888106438
rema_50100,10568.138999999988,5.681389999999875,-6.0895953991383145
rbo_100,10563.51639999999,5.635163999999904,-6.092251577554311
rsma_100150,10553.260000000007,5.532600000000065,-5.891136941199386
rema_100150,10553.260000000007,5.532600000000065,-5.891136941199386
rema_50100150,10553.260000000007,5.532600000000065,-5.891136941199386
rbo_50,10476.392400000002,4.7639240000000305,-5.402021354472087
rbo_20,10400.827699999989,4.008276999999882,-4.219182124494555
rtt_5020,10386.095199999998,3.860951999999984,-4.087244390947724
rsma_50100,10383.179999999988,3.831799999999874,-5.630865153798012
rsma_50100150,10362.825600000006,3.628256000000052,-5.41488715959591
