combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,5,1,0,0,261,40,230,49.152542372881356,7.532956685499058,43.314500941619585,52.2,40.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,9,3,6,0,0,311,49,171,58.568738229755176,9.227871939736348,32.20338983050847,103.66666666666667,8.166666666666666,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,22,2,20,0,0,314,20,197,59.133709981167605,3.766478342749529,37.09981167608286,157.0,1.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,3,1,0,0,311,54,166,58.568738229755176,10.16949152542373,31.26177024482109,103.66666666666667,54.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,27,7,19,0,1,308,47,176,58.00376647834275,8.851224105461393,33.14500941619586,44.0,2.473684210526316,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,22,2,20,0,0,314,20,197,59.133709981167605,3.766478342749529,37.09981167608286,157.0,1.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,27,7,19,0,1,308,47,176,58.00376647834275,8.851224105461393,33.14500941619586,44.0,2.473684210526316,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,22,2,20,0,0,314,20,197,59.133709981167605,3.766478342749529,37.09981167608286,157.0,1.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,22,2,20,0,0,314,20,197,59.133709981167605,3.766478342749529,37.09981167608286,157.0,1.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,22,2,20,0,0,314,20,197,59.133709981167605,3.766478342749529,37.09981167608286,157.0,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,41,33,8,0,0,292,36,203,54.99058380414312,6.779661016949152,38.22975517890772,8.848484848484848,4.5,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,3,1,0,0,322,43,166,60.64030131826742,8.097928436911488,31.26177024482109,107.33333333333333,43.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,24,2,22,0,0,325,22,184,61.20527306967985,4.143126177024483,34.65160075329567,162.5,1.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,3,1,0,0,322,43,166,60.64030131826742,8.097928436911488,31.26177024482109,107.33333333333333,43.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,22,7,14,0,1,319,41,171,60.075329566855,7.721280602636535,32.20338983050847,45.57142857142857,2.9285714285714284,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,24,2,22,0,0,325,22,184,61.20527306967985,4.143126177024483,34.65160075329567,162.5,1.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,22,7,14,0,1,319,41,171,60.075329566855,7.721280602636535,32.20338983050847,45.57142857142857,2.9285714285714284,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,24,2,22,0,0,325,22,184,61.20527306967985,4.143126177024483,34.65160075329567,162.5,1.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,24,2,22,0,0,325,22,184,61.20527306967985,4.143126177024483,34.65160075329567,162.5,1.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,24,2,22,0,0,325,22,184,61.20527306967985,4.143126177024483,34.65160075329567,162.5,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,34,34,0,0,0,293,0,238,55.1789077212806,0.0,44.8210922787194,8.617647058823529,0.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,4,4,0,0,0,323,0,208,60.8286252354049,0.0,39.1713747645951,80.75,0.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,2,0,0,0,325,0,206,61.20527306967985,0.0,38.79472693032015,162.5,0.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,4,4,0,0,0,323,0,208,60.8286252354049,0.0,39.1713747645951,80.75,0.0,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,8,8,0,0,0,319,0,212,60.075329566855,0.0,39.92467043314501,39.875,0.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,2,2,0,0,0,325,0,206,61.20527306967985,0.0,38.79472693032015,162.5,0.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,8,8,0,0,0,319,0,212,60.075329566855,0.0,39.92467043314501,39.875,0.0,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,2,2,0,0,0,325,0,206,61.20527306967985,0.0,38.79472693032015,162.5,0.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,2,2,0,0,0,325,0,206,61.20527306967985,0.0,38.79472693032015,162.5,0.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,2,2,0,0,0,325,0,206,61.20527306967985,0.0,38.79472693032015,162.5,0.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,5,1,0,0,261,29,241,49.152542372881356,5.4613935969868175,45.38606403013183,52.2,29.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,3,1,0,0,311,43,177,58.568738229755176,8.097928436911488,33.33333333333333,103.66666666666667,43.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,17,2,15,0,0,314,15,202,59.133709981167605,2.824858757062147,38.04143126177024,157.0,1.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,4,3,1,0,0,311,43,177,58.568738229755176,8.097928436911488,33.33333333333333,103.66666666666667,43.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,22,7,14,0,1,308,41,182,58.00376647834275,7.721280602636535,34.27495291902072,44.0,2.9285714285714284,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,17,2,15,0,0,314,15,202,59.133709981167605,2.824858757062147,38.04143126177024,157.0,1.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,22,7,14,0,1,308,41,182,58.00376647834275,7.721280602636535,34.27495291902072,44.0,2.9285714285714284,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,17,2,15,0,0,314,15,202,59.133709981167605,2.824858757062147,38.04143126177024,157.0,1.0,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,17,2,15,0,0,314,15,202,59.133709981167605,2.824858757062147,38.04143126177024,157.0,1.0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,17,2,15,0,0,314,15,202,59.133709981167605,2.824858757062147,38.04143126177024,157.0,1.0,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,47,34,13,0,0,281,15,235,52.91902071563088,2.824858757062147,44.25612052730697,8.264705882352942,1.1538461538461537,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,10,4,6,0,0,311,22,198,58.568738229755176,4.143126177024483,37.28813559322034,77.75,3.6666666666666665,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,16,2,14,0,0,313,14,204,58.94538606403014,2.6365348399246704,38.4180790960452,156.5,1.0,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,10,4,6,0,0,311,22,198,58.568738229755176,4.143126177024483,37.28813559322034,77.75,3.6666666666666665,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,3,2,1,0,0,313,28,190,58.94538606403014,5.273069679849341,35.781544256120526,156.5,28.0,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,16,2,14,0,0,313,14,204,58.94538606403014,2.6365348399246704,38.4180790960452,156.5,1.0,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,3,2,1,0,0,313,28,190,58.94538606403014,5.273069679849341,35.781544256120526,156.5,28.0,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,16,2,14,0,0,313,14,204,58.94538606403014,2.6365348399246704,38.4180790960452,156.5,1.0,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,16,2,14,0,0,313,14,204,58.94538606403014,2.6365348399246704,38.4180790960452,156.5,1.0,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,16,2,14,0,0,313,14,204,58.94538606403014,2.6365348399246704,38.4180790960452,156.5,1.0,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,29,29,0,0,0,265,0,266,49.90583804143126,0.0,50.09416195856874,9.137931034482758,0.0,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,4,4,0,0,0,290,0,241,54.61393596986818,0.0,45.38606403013183,72.5,0.0,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,2,2,0,0,0,292,0,239,54.99058380414312,0.0,45.00941619585687,146.0,0.0,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,4,4,0,0,0,290,0,241,54.61393596986818,0.0,45.38606403013183,72.5,0.0,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,8,8,0,0,0,286,0,245,53.86064030131826,0.0,46.13935969868173,35.75,0.0,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,2,2,0,0,0,292,0,239,54.99058380414312,0.0,45.00941619585687,146.0,0.0,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,8,8,0,0,0,286,0,245,53.86064030131826,0.0,46.13935969868173,35.75,0.0,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,2,2,0,0,0,292,0,239,54.99058380414312,0.0,45.00941619585687,146.0,0.0,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,2,2,0,0,0,292,0,239,54.99058380414312,0.0,45.00941619585687,146.0,0.0,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,2,2,0,0,0,292,0,239,54.99058380414312,0.0,45.00941619585687,146.0,0.0,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,42,29,13,0,0,253,15,263,47.64595103578154,2.824858757062147,49.52919020715631,8.724137931034482,1.1538461538461537,True,
