Signal,Final Equity,Total Return,Max Drawdown
rsma_50100,10307.628999999992,3.076289999999915,-3.5244360290205674
rema_50100,10307.628999999992,3.076289999999915,-3.5244360290205674
rbo_20,10296.502900000003,2.965029000000041,-3.117208645323752
rrg,10282.745700000014,2.827457000000133,-3.4429227451202236
rbo_50,10257.074900000016,2.570749000000161,-3.0107904156854226
rsma_100150,10255.062500000013,2.5506250000001174,-3.2193780300843757
rsma_50100150,10255.062500000013,2.5506250000001174,-3.2193780300843757
rema_100150,10255.062500000013,2.5506250000001174,-3.2193780300843757
rema_50100150,10255.062500000013,2.5506250000001174,-3.2193780300843757
rbo_100,10246.274799999992,2.4627479999999258,-3.4687525418549128
rtt_5020,10217.103900000022,2.171039000000219,-2.3289897413573453
