Signal,Final Equity,Total Return,Max Drawdown
rbo_20,10385.280499999993,3.852804999999937,-4.227431354749445
rrg,10337.068899999995,3.370688999999949,-3.6445764470922013
rtt_5020,10271.135100000003,2.7113510000000396,-3.0134139625497687
rbo_50,10185.187200000004,1.8518720000000322,-2.4581444971782114
rbo_100,10152.883900000012,1.528839000000115,-2.101289856907552
rsma_100150,10142.790699999994,1.4279069999999505,-1.7100794898107872
rema_100150,9985.026899999993,-0.149731000000064,-1.3612426612343866
rema_50100,9946.762100000005,-0.5323789999999495,-2.382314829962918
rema_50100150,9871.373899999991,-1.2862610000000885,-1.992052209651286
rsma_50100150,9819.999799999998,-1.8000020000000228,-2.852505082542675
rsma_50100,9804.314399999987,-1.956856000000129,-2.5118959549206226
