combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,3,2,1,0,0,33,59,442,6.179775280898876,11.04868913857678,82.77153558052434,16.5,59.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,10,9,1,0,0,50,70,414,9.363295880149813,13.108614232209737,77.52808988764045,5.555555555555555,70.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,2,1,1,0,0,67,86,381,12.54681647940075,16.10486891385768,71.34831460674157,67.0,86.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,2,1,0,0,57,70,407,10.674157303370785,13.108614232209737,76.21722846441948,28.5,70.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,24,9,14,0,1,59,73,402,11.04868913857678,13.670411985018728,75.28089887640449,6.555555555555555,5.214285714285714,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,12,10,1,0,1,23,86,425,4.307116104868914,16.10486891385768,79.5880149812734,2.3,86.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,32,15,17,0,0,19,43,472,3.5580524344569286,8.05243445692884,88.38951310861424,1.2666666666666666,2.5294117647058822,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,14,11,3,0,0,47,82,405,8.801498127340825,15.355805243445692,75.84269662921348,4.2727272727272725,27.333333333333332,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,20,16,3,0,1,29,84,421,5.430711610486892,15.730337078651685,78.83895131086143,1.8125,28.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,38,8,30,0,0,38,30,466,7.116104868913857,5.617977528089887,87.26591760299625,4.75,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,27,14,13,0,0,30,71,433,5.617977528089887,13.295880149812733,81.08614232209737,2.142857142857143,5.461538461538462,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,2,1,0,0,42,84,408,7.865168539325842,15.730337078651685,76.40449438202246,21.0,84.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,1,1,0,0,67,100,367,12.54681647940075,18.726591760299627,68.72659176029963,67.0,100.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,2,1,0,0,42,84,408,7.865168539325842,15.730337078651685,76.40449438202246,21.0,84.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,29,7,21,0,1,57,80,397,10.674157303370785,14.981273408239701,74.34456928838952,8.142857142857142,3.8095238095238093,True,
