combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,45,22,23,0,0,791,780,994,30.838206627680314,30.409356725146196,38.75243664717349,35.95454545454545,33.91304347826087,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,135,79,54,1,1,878,1031,656,34.23001949317739,40.19493177387915,25.57504873294347,11.113924050632912,19.09259259259259,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,161,103,56,1,1,995,1084,486,38.79142300194932,42.26120857699805,18.947368421052634,9.660194174757281,19.357142857142858,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,27,15,10,1,1,943,1075,547,36.76413255360624,41.91033138401559,21.325536062378166,62.86666666666667,107.5,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,169,76,90,1,2,1034,1025,506,40.31189083820663,39.96101364522417,19.7270955165692,13.605263157894736,11.38888888888889,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,187,88,94,2,3,1033,1042,490,40.2729044834308,40.62378167641326,19.103313840155945,11.738636363636363,11.085106382978724,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,394,115,278,1,0,971,555,1039,37.85575048732944,21.637426900584796,40.50682261208577,8.443478260869565,1.9964028776978417,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,113,47,63,2,1,1072,1063,430,41.79337231968811,41.44249512670565,16.764132553606238,22.80851063829787,16.873015873015873,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,99,11,85,2,1,1138,1083,344,44.366471734892784,42.22222222222222,13.411306042884991,103.45454545454545,12.741176470588234,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,412,42,367,2,1,1077,425,1063,41.98830409356725,16.569200779727094,41.44249512670565,25.642857142857142,1.1580381471389645,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,260,88,172,0,0,732,845,988,28.538011695906434,32.94346978557505,38.51851851851852,8.318181818181818,4.912790697674419,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,23,13,10,0,0,809,1011,745,31.539961013645225,39.41520467836258,29.0448343079922,62.23076923076923,101.1,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,101,51,50,0,0,942,1084,539,36.72514619883041,42.26120857699805,21.01364522417154,18.470588235294116,21.68,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,23,13,10,0,0,809,1011,745,31.539961013645225,39.41520467836258,29.0448343079922,62.23076923076923,101.1,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,111,45,65,0,1,936,1051,578,36.49122807017544,40.97465886939571,22.53411306042885,20.8,16.16923076923077,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,158,55,99,2,2,1003,1084,478,39.10331384015595,42.26120857699805,18.635477582846004,18.236363636363638,10.94949494949495,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,472,73,399,0,0,910,624,1031,35.4775828460039,24.327485380116958,40.19493177387915,12.465753424657533,1.5639097744360901,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,61,13,47,1,0,1004,1077,484,39.14230019493177,41.98830409356725,18.869395711500974,77.23076923076923,22.914893617021278,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,92,6,83,2,1,1053,1082,430,41.05263157894737,42.18323586744639,16.764132553606238,175.5,13.036144578313253,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,480,13,466,1,0,1004,551,1010,39.14230019493177,21.48148148148148,39.37621832358674,77.23076923076923,1.1824034334763949,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,359,158,201,0,0,746,867,952,29.08382066276803,33.801169590643276,37.1150097465887,4.7215189873417724,4.313432835820896,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,171,95,76,0,0,808,992,765,31.500974658869396,38.67446393762183,29.82456140350877,8.505263157894737,13.052631578947368,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,16,8,8,0,0,897,1063,605,34.97076023391813,41.44249512670565,23.586744639376217,112.125,132.875,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,123,82,41,0,0,822,1027,716,32.046783625730995,40.03898635477583,27.914230019493175,10.024390243902438,25.048780487804876,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,82,25,56,0,1,888,1028,649,34.619883040935676,40.07797270955166,25.302144249512672,35.52,18.357142857142858,True,
