equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rsma_50100150_equity_convex,31328.248899999984,213.28248899999983,-85.22579760478519,rsma_100150__rsma_50100150,468.0,rsma_100150__rsma_50100150_equity_convex
rsma_100150__rsma_50100150_equity_concave,27199.859199999875,171.99859199999875,-87.01400975973303,rsma_100150__rsma_50100150,468.0,rsma_100150__rsma_50100150_equity_concave
rbo_20__rtt_5020_equity_constant,20082.729299999977,100.82729299999977,-53.462084582853144,rbo_20__rtt_5020,31.0,rbo_20__rtt_5020_equity_constant
rbo_50__rtt_5020_equity_constant,19736.388400000047,97.36388400000047,-55.45474358880145,rbo_50__rtt_5020,24.0,rbo_50__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,19736.388400000047,97.36388400000047,-55.45474358880145,rbo_50__rbo_50,24.0,rbo_50__rbo_50_equity_constant
rtt_5020__rbo_50_equity_constant,19320.129500000014,93.20129500000014,-54.494997639404964,rtt_5020__rbo_50,24.0,rtt_5020__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,19320.129500000014,93.20129500000014,-54.494997639404964,rtt_5020__rtt_5020,24.0,rtt_5020__rtt_5020_equity_constant
rbo_20__rbo_50_equity_constant,18020.86589999999,80.2086589999999,-50.37905366278412,rbo_20__rbo_50,142.0,rbo_20__rbo_50_equity_constant
rema_100150__rema_50100_equity_constant,17336.85049999999,73.3685049999999,-58.876458909662546,rema_100150__rema_50100,107.0,rema_100150__rema_50100_equity_constant
rbo_20__rema_100150_equity_constant,16766.800200000027,67.66800200000027,-54.3405353720531,rbo_20__rema_100150,236.0,rbo_20__rema_100150_equity_constant
rsma_50100150__rsma_50100_equity_convex,16451.42230000003,64.51422300000031,-81.2253634597951,rsma_50100150__rsma_50100,276.0,rsma_50100150__rsma_50100_equity_convex
rema_50100__rema_100150_equity_constant,15810.373999999983,58.103739999999824,-52.17054166983939,rema_50100__rema_100150,106.0,rema_50100__rema_100150_equity_constant
rbo_100__rtt_5020_equity_constant,15713.94690000005,57.13946900000051,-57.30691585732642,rbo_100__rtt_5020,173.0,rbo_100__rtt_5020_equity_constant
rtt_5020__rema_100150_equity_constant,15447.835999999978,54.47835999999977,-52.64250325315177,rtt_5020__rema_100150,134.0,rtt_5020__rema_100150_equity_constant
rsma_100150__rema_50100_equity_constant,15033.781700000001,50.337817000000015,-62.03771198938235,rsma_100150__rema_50100,142.0,rsma_100150__rema_50100_equity_constant
rema_100150__rema_100150_equity_constant,14810.5078,48.10507799999999,-50.72510717107394,rema_100150__rema_100150,16.0,rema_100150__rema_100150_equity_constant
rsma_50100150__rsma_50100150_equity_concave,14787.480199999996,47.87480199999996,-83.48759073792355,rsma_50100150__rsma_50100150,30.0,rsma_50100150__rsma_50100150_equity_concave
rsma_50100150__rsma_50100150_equity_convex,14773.181000000015,47.73181000000015,-83.48886239920613,rsma_50100150__rsma_50100150,30.0,rsma_50100150__rsma_50100150_equity_convex
rsma_50100__rema_100150_equity_constant,14684.342899999996,46.84342899999996,-47.39356775996556,rsma_50100__rema_100150,141.0,rsma_50100__rema_100150_equity_constant
rbo_100__rema_50100_equity_constant,14504.31519999997,45.04315199999971,-59.33497673717566,rbo_100__rema_50100,63.0,rbo_100__rema_50100_equity_constant
rema_100150__rbo_100_equity_constant,14384.977699999996,43.84977699999997,-53.90477741263631,rema_100150__rbo_100,90.0,rema_100150__rbo_100_equity_constant
rbo_100__rema_100150_equity_constant,14216.082700000014,42.16082700000015,-49.01832087814465,rbo_100__rema_100150,101.0,rbo_100__rema_100150_equity_constant
rema_100150__rsma_100150_equity_constant,14214.716600000007,42.147166000000084,-50.49089194586928,rema_100150__rsma_100150,126.0,rema_100150__rsma_100150_equity_constant
rema_50100__rtt_5020_equity_constant,14097.053600000016,40.97053600000016,-53.61401217265118,rema_50100__rtt_5020,159.0,rema_50100__rtt_5020_equity_constant
rsma_50100__rema_50100_equity_constant,13936.344200000016,39.36344200000015,-56.954214408801654,rsma_50100__rema_50100,75.0,rsma_50100__rema_50100_equity_constant
rbo_100__rbo_50_equity_constant,13663.400700000011,36.6340070000001,-52.90177932773138,rbo_100__rbo_50,195.0,rbo_100__rbo_50_equity_constant
rsma_50100150__rbo_100_equity_convex,13658.360000000052,36.583600000000516,-88.22472234333938,rsma_50100150__rbo_100,218.0,rsma_50100150__rbo_100_equity_convex
