combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,12,9,3,0,0,210,70,261,38.817005545286506,12.939001848428836,48.24399260628466,23.333333333333332,23.333333333333332,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,19,17,2,0,0,249,77,215,46.02587800369686,14.232902033271719,39.74121996303142,14.647058823529411,38.5,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,29,27,2,0,0,289,77,175,53.41959334565619,14.232902033271719,32.34750462107209,10.703703703703704,38.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,4,2,0,0,263,77,201,48.613678373382626,14.232902033271719,37.15341959334565,65.75,38.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,47,33,14,0,0,287,63,191,53.04990757855823,11.645101663585953,35.304990757855826,8.696969696969697,4.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,43,23,20,0,0,259,57,225,47.874306839186694,10.536044362292053,41.58964879852125,11.26086956521739,2.85,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,44,31,13,0,0,205,82,254,37.89279112754159,15.157116451016636,46.950092421441774,6.612903225806452,6.3076923076923075,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,3,2,0,0,234,93,214,43.253234750462106,17.190388170055453,39.55637707948244,78.0,46.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,17,15,2,0,0,276,93,172,51.01663585951941,17.190388170055453,31.79297597042514,18.4,46.5,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,3,2,0,0,234,93,214,43.253234750462106,17.190388170055453,39.55637707948244,78.0,46.5,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,48,33,15,0,0,255,80,206,47.13493530499076,14.78743068391867,38.07763401109057,7.7272727272727275,5.333333333333333,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,50,29,21,0,0,233,73,235,43.068391866913124,13.493530499075785,43.438077634011094,8.03448275862069,3.4761904761904763,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,61,55,6,0,0,209,66,266,38.632162661737524,12.199630314232902,49.16820702402958,3.8,11.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,31,29,2,0,0,234,70,237,43.253234750462106,12.939001848428836,43.80776340110906,8.068965517241379,35.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,263,70,208,48.613678373382626,12.939001848428836,38.447319778188536,131.5,35.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,31,29,2,0,0,234,70,237,43.253234750462106,12.939001848428836,43.80776340110906,8.068965517241379,35.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,42,27,15,0,0,237,57,247,43.80776340110906,10.536044362292053,45.65619223659889,8.777777777777779,3.8,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,59,38,20,1,0,242,50,249,44.73197781885398,9.242144177449168,46.02587800369686,6.368421052631579,2.5,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,11,8,3,0,0,181,70,290,33.45656192236599,12.939001848428836,53.60443622920518,22.625,23.333333333333332,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,5,3,2,0,0,234,77,230,43.253234750462106,14.232902033271719,42.513863216266174,78.0,38.5,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,15,13,2,0,0,274,77,190,50.64695009242144,14.232902033271719,35.12014787430684,21.076923076923077,38.5,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,5,3,2,0,0,234,77,230,43.253234750462106,14.232902033271719,42.513863216266174,78.0,38.5,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,47,33,14,0,0,255,63,223,47.13493530499076,11.645101663585953,41.21996303142329,7.7272727272727275,4.5,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,43,23,20,0,0,227,57,257,41.95933456561922,10.536044362292053,47.504621072088725,9.869565217391305,2.85,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,66,65,1,0,0,233,14,294,43.068391866913124,2.5878003696857674,54.34380776340111,3.5846153846153848,14.0,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,52,51,1,0,0,282,14,245,52.12569316081331,2.5878003696857674,45.28650646950093,5.529411764705882,14.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,33,32,1,0,0,269,14,258,49.72273567467653,2.5878003696857674,47.689463955637706,8.40625,14.0,True,
