combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,51,28,23,0,0,953,507,1106,37.13951675759938,19.75837879968823,43.10210444271239,34.035714285714285,22.043478260869566,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,145,68,75,2,0,1127,632,807,43.920498830865164,24.629773967264224,31.449727201870616,16.573529411764707,8.426666666666666,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,107,60,45,2,0,1303,761,502,50.779423226812156,29.657053780202652,19.56352299298519,21.716666666666665,16.91111111111111,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,28,14,12,2,0,1185,699,682,46.18082618862042,27.240841777084956,26.578332034294622,84.64285714285714,58.25,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,232,127,103,2,0,1170,637,759,45.5962587685113,24.824629773967263,29.579111457521435,9.21259842519685,6.184466019417476,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,175,81,92,2,0,1244,685,637,48.480124707716286,26.695245518316447,24.824629773967263,15.358024691358025,7.445652173913044,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,283,129,152,2,0,1140,492,934,44.427123928293064,19.17381137957911,36.39906469212782,8.837209302325581,3.236842105263158,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,93,48,43,2,0,1299,774,493,50.62353858144972,30.163678877630552,19.212782540919722,27.0625,18.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,59,40,17,2,0,1352,873,341,52.68901013250195,34.02182385035074,13.289166017147311,33.8,51.35294117647059,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,265,26,237,2,0,1345,288,933,52.41621200311769,11.22369446609509,36.36009353078722,51.73076923076923,1.2151898734177216,True,
