equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_concave,34003.39030000005,240.0339030000005,-81.24692764399556,rtt_5020,,rtt_5020_equity_concave
rema_50100150__rsma_100150_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100150__rsma_100150,1.0,rema_50100150__rsma_100150_equity_convex
rema_50100150__rsma_100150_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100150__rsma_100150,1.0,rema_50100150__rsma_100150_equity_concave
rema_50100150__rsma_50100_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100150__rsma_50100,1.0,rema_50100150__rsma_50100_equity_convex
rema_50100150__rbo_100_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100150__rbo_100,1.0,rema_50100150__rbo_100_equity_convex
rema_50100150__rsma_50100_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100150__rsma_50100,1.0,rema_50100150__rsma_50100_equity_concave
rema_100150__rema_50100150_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rema_50100150,1.0,rema_100150__rema_50100150_equity_convex
rema_50100150__rbo_100_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100150__rbo_100,1.0,rema_50100150__rbo_100_equity_concave
rema_100150__rema_50100_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rema_50100,1.0,rema_100150__rema_50100_equity_convex
rema_100150__rema_100150_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_concave
rema_100150__rema_50100150_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rema_50100150,1.0,rema_100150__rema_50100150_equity_concave
rema_100150__rema_100150_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_convex
rema_100150__rema_50100_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rema_50100,1.0,rema_100150__rema_50100_equity_concave
rema_100150__rsma_100150_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rsma_100150,1.0,rema_100150__rsma_100150_equity_convex
rema_100150__rsma_50100150_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rsma_50100150,1.0,rema_100150__rsma_50100150_equity_concave
rema_100150__rsma_50100150_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rsma_50100150,1.0,rema_100150__rsma_50100150_equity_convex
rema_50100__rema_50100_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100__rema_50100,1.0,rema_50100__rema_50100_equity_convex
rema_50100__rema_50100150_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100__rema_50100150,1.0,rema_50100__rema_50100150_equity_convex
rema_50100__rema_50100150_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_50100__rema_50100150,1.0,rema_50100__rema_50100150_equity_concave
rema_100150__rsma_100150_equity_concave,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rsma_100150,1.0,rema_100150__rsma_100150_equity_concave
rema_100150__rsma_50100_equity_convex,31179.740800000014,211.79740800000016,-83.70859144556336,rema_100150__rsma_50100,1.0,rema_100150__rsma_50100_equity_convex
