combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,6,0,0,0,291,0,259,52.90909090909091,0.0,47.090909090909086,48.5,0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,8,8,0,0,0,319,0,231,57.99999999999999,0.0,42.0,39.875,0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,3,3,0,0,0,339,0,211,61.63636363636363,0.0,38.36363636363636,113.0,0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,3,0,0,0,324,0,226,58.909090909090914,0.0,41.090909090909086,108.0,0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,1,1,0,0,0,360,0,190,65.45454545454545,0.0,34.54545454545455,360.0,0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,1,1,0,0,0,360,0,190,65.45454545454545,0.0,34.54545454545455,360.0,0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,20,20,0,0,0,295,0,255,53.63636363636364,0.0,46.36363636363636,14.75,0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,3,0,0,0,314,0,236,57.09090909090909,0.0,42.90909090909091,104.66666666666667,0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,2,0,0,0,330,0,220,60.0,0.0,40.0,165.0,0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,3,0,0,0,314,0,236,57.09090909090909,0.0,42.90909090909091,104.66666666666667,0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,1,1,0,0,0,352,0,198,64.0,0.0,36.0,352.0,0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,1,1,0,0,0,352,0,198,64.0,0.0,36.0,352.0,0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,34,34,0,0,0,318,0,232,57.81818181818181,0.0,42.18181818181818,9.352941176470589,0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,21,21,0,0,0,333,0,217,60.54545454545455,0.0,39.45454545454545,15.857142857142858,0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,2,0,0,0,352,0,198,64.0,0.0,36.0,176.0,0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,17,17,0,0,0,337,0,213,61.272727272727266,0.0,38.72727272727273,19.823529411764707,0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,1,1,0,0,0,374,0,176,68.0,0.0,32.0,374.0,0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,1,1,0,0,0,374,0,176,68.0,0.0,32.0,374.0,0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,6,0,0,0,281,0,269,51.090909090909086,0.0,48.90909090909091,46.833333333333336,0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,3,0,0,0,314,0,236,57.09090909090909,0.0,42.90909090909091,104.66666666666667,0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,2,2,0,0,0,330,0,220,60.0,0.0,40.0,165.0,0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,3,0,0,0,314,0,236,57.09090909090909,0.0,42.90909090909091,104.66666666666667,0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,1,1,0,0,0,352,0,198,64.0,0.0,36.0,352.0,0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,1,1,0,0,0,352,0,198,64.0,0.0,36.0,352.0,0,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,44,44,0,0,0,330,0,220,60.0,0.0,40.0,7.5,0,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,31,31,0,0,0,344,0,206,62.54545454545455,0.0,37.45454545454546,11.096774193548388,0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,12,12,0,0,0,363,0,187,66.0,0.0,34.0,30.25,0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,26,26,0,0,0,349,0,201,63.45454545454545,0.0,36.54545454545455,13.423076923076923,0,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,1,1,0,0,0,374,0,176,68.0,0.0,32.0,374.0,0,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,1,1,0,0,0,374,0,176,68.0,0.0,32.0,374.0,0,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,44,44,0,0,0,330,0,220,60.0,0.0,40.0,7.5,0,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,31,31,0,0,0,344,0,206,62.54545454545455,0.0,37.45454545454546,11.096774193548388,0,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,12,12,0,0,0,363,0,187,66.0,0.0,34.0,30.25,0,True,
rema_50100150__rtt_5020,rema_50100150,rtt_5020,rrg,rema_50100150__rtt_5020,26,26,0,0,0,349,0,201,63.45454545454545,0.0,36.54545454545455,13.423076923076923,0,True,
rema_50100150__rsma_50100150,rema_50100150,rsma_50100150,rrg,rema_50100150__rsma_50100150,1,1,0,0,0,374,0,176,68.0,0.0,32.0,374.0,0,True,
rema_50100150__rema_50100150,rema_50100150,rema_50100150,rrg,rema_50100150__rema_50100150,1,1,0,0,0,374,0,176,68.0,0.0,32.0,374.0,0,True,
