equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rsma_100150_equity_concave,29648.448299999913,196.48448299999913,-94.237856123139,rsma_50100150__rsma_100150,48.0,rsma_50100150__rsma_100150_equity_concave
rsma_100150__rbo_100_equity_concave,28005.69230000005,180.05692300000052,-90.89032508875997,rsma_100150__rbo_100,13.0,rsma_100150__rbo_100_equity_concave
rsma_100150__rbo_100_equity_convex,27781.79740000004,177.81797400000042,-90.89032508875997,rsma_100150__rbo_100,13.0,rsma_100150__rbo_100_equity_convex
rtt_5020__rsma_50100_equity_concave,23764.24489999995,137.6424489999995,-119.04949126419638,rtt_5020__rsma_50100,44.0,rtt_5020__rsma_50100_equity_concave
rtt_5020__rsma_50100_equity_convex,23246.988199999974,132.46988199999973,-115.74472366332043,rtt_5020__rsma_50100,44.0,rtt_5020__rsma_50100_equity_convex
rsma_50100150__rsma_100150_equity_convex,20933.326399999867,109.33326399999865,-91.6262398615747,rsma_50100150__rsma_100150,48.0,rsma_50100150__rsma_100150_equity_convex
rsma_100150__rsma_100150_equity_concave,19930.03520000001,99.30035200000009,-90.89032508875997,rsma_100150__rsma_100150,4.0,rsma_100150__rsma_100150_equity_concave
rsma_100150__rsma_100150_equity_convex,19930.03520000001,99.30035200000009,-90.89032508875997,rsma_100150__rsma_100150,4.0,rsma_100150__rsma_100150_equity_convex
rbo_100__rsma_50100_equity_concave,19269.139600000006,92.69139600000005,-119.23701034658771,rbo_100__rsma_50100,53.0,rbo_100__rsma_50100_equity_concave
rbo_100__rsma_50100_equity_convex,18940.190799999982,89.40190799999984,-116.7836089838224,rbo_100__rsma_50100,53.0,rbo_100__rsma_50100_equity_convex
rsma_100150__rsma_50100_equity_convex,18826.82360000001,88.26823600000012,-83.75124685272354,rsma_100150__rsma_50100,50.0,rsma_100150__rsma_50100_equity_convex
rsma_50100150__rsma_50100_equity_concave,17781.7033,77.81703300000001,-118.5567213236624,rsma_50100150__rsma_50100,47.0,rsma_50100150__rsma_50100_equity_concave
rsma_100150__rbo_50_equity_concave,16908.043999999907,69.08043999999907,-91.05931224030768,rsma_100150__rbo_50,35.0,rsma_100150__rbo_50_equity_concave
rsma_50100150__rsma_50100_equity_convex,16823.509099999977,68.23509099999978,-113.02102328479855,rsma_50100150__rsma_50100,47.0,rsma_50100150__rsma_50100_equity_convex
rbo_50__rsma_50100_equity_concave,16660.196300000007,66.60196300000007,-118.5567213236624,rbo_50__rsma_50100,48.0,rbo_50__rsma_50100_equity_concave
rsma_100150__rtt_5020_equity_convex,16606.755099999944,66.06755099999944,-91.0576232970145,rsma_100150__rtt_5020,18.0,rsma_100150__rtt_5020_equity_convex
rsma_100150__rtt_5020_equity_concave,16082.446799999962,60.82446799999961,-91.0576232970145,rsma_100150__rtt_5020,18.0,rsma_100150__rtt_5020_equity_concave
rbo_50__rsma_50100_equity_convex,15843.2687,58.432686999999994,-113.02102328479855,rbo_50__rsma_50100,48.0,rbo_50__rsma_50100_equity_convex
rsma_100150__rbo_50_equity_convex,15444.936999999962,54.44936999999961,-89.7400917577188,rsma_100150__rbo_50,35.0,rsma_100150__rbo_50_equity_convex
rbo_100__rsma_100150_equity_concave,14998.06069999996,49.9806069999996,-87.55803162214544,rbo_100__rsma_100150,42.0,rbo_100__rsma_100150_equity_concave
rbo_20__rsma_50100_equity_concave,14891.692199999987,48.916921999999865,-119.04949126419638,rbo_20__rsma_50100,63.0,rbo_20__rsma_50100_equity_concave
rema_50100150__rsma_50100_equity_convex,14816.82910000004,48.168291000000416,-111.13369855244912,rema_50100150__rsma_50100,64.0,rema_50100150__rsma_50100_equity_convex
rsma_100150__rema_50100_equity_convex,14780.73349999997,47.807334999999696,-83.33252690274995,rsma_100150__rema_50100,31.0,rsma_100150__rema_50100_equity_convex
rsma_100150__rema_50100150_equity_convex,14664.593899999969,46.64593899999969,-83.33252690274995,rsma_100150__rema_50100150,29.0,rsma_100150__rema_50100150_equity_convex
rbo_100__rsma_100150_equity_convex,14553.57959999998,45.53579599999979,-84.24843194541542,rbo_100__rsma_100150,42.0,rbo_100__rsma_100150_equity_convex
rbo_20__rsma_50100_equity_convex,14508.388599999995,45.08388599999995,-115.74472366332043,rbo_20__rsma_50100,63.0,rbo_20__rsma_50100_equity_convex
rsma_100150__rsma_50100_equity_concave,14272.639800000054,42.72639800000053,-83.47608120072648,rsma_100150__rsma_50100,50.0,rsma_100150__rsma_50100_equity_concave
rema_50100150__rsma_50100_equity_concave,13881.397200000029,38.8139720000003,-125.14229558446237,rema_50100150__rsma_50100,64.0,rema_50100150__rsma_50100_equity_concave
rbo_20__rsma_100150_equity_concave,13776.07459999998,37.76074599999979,-90.30116975809658,rbo_20__rsma_100150,56.0,rbo_20__rsma_100150_equity_concave
rema_50100150__rbo_100_equity_convex,13726.03240000001,37.2603240000001,-86.17699653876288,rema_50100150__rbo_100,49.0,rema_50100150__rbo_100_equity_convex
rbo_20__rbo_20_equity_convex,13678.774600000006,36.787746000000055,-79.15506128033026,rbo_20__rbo_20,7.0,rbo_20__rbo_20_equity_convex
