combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,11,8,3,0,0,231,55,248,43.258426966292134,10.299625468164795,46.441947565543074,28.875,18.333333333333332,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,18,13,3,0,2,336,70,128,62.92134831460674,13.108614232209737,23.970037453183522,25.846153846153847,23.333333333333332,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,14,9,3,0,2,347,70,117,64.9812734082397,13.108614232209737,21.910112359550563,38.55555555555556,23.333333333333332,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,8,3,3,0,2,346,70,118,64.7940074906367,13.108614232209737,22.09737827715356,115.33333333333333,23.333333333333332,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,33,27,3,1,2,341,70,123,63.857677902621724,13.108614232209737,23.03370786516854,12.62962962962963,23.333333333333332,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,54,37,14,2,1,331,45,158,61.985018726591754,8.426966292134832,29.588014981273407,8.945945945945946,3.2142857142857144,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,30,20,7,1,2,346,65,123,64.7940074906367,12.172284644194757,23.03370786516854,17.3,9.285714285714286,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,37,27,7,1,2,307,66,161,57.490636704119844,12.359550561797752,30.1498127340824,11.37037037037037,9.428571428571429,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,30,16,12,1,1,336,48,150,62.92134831460674,8.98876404494382,28.08988764044944,21.0,4.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,38,21,14,1,2,322,59,153,60.2996254681648,11.04868913857678,28.651685393258425,15.333333333333334,4.214285714285714,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,47,39,8,0,0,240,43,251,44.9438202247191,8.05243445692884,47.00374531835206,6.153846153846154,5.375,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,6,4,2,0,0,322,48,164,60.2996254681648,8.98876404494382,30.711610486891384,80.5,24.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,7,5,2,0,0,338,48,148,63.29588014981273,8.98876404494382,27.715355805243448,67.6,24.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,6,4,2,0,0,322,48,164,60.2996254681648,8.98876404494382,30.711610486891384,80.5,24.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,24,21,2,1,0,334,48,152,62.546816479400746,8.98876404494382,28.46441947565543,15.904761904761905,24.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,58,37,19,2,0,327,29,178,61.23595505617978,5.430711610486892,33.33333333333333,8.837837837837839,1.5263157894736843,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,34,27,6,1,0,328,43,163,61.42322097378277,8.05243445692884,30.52434456928839,12.148148148148149,7.166666666666667,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,31,24,6,1,0,301,44,189,56.36704119850188,8.239700374531834,35.39325842696629,12.541666666666666,7.333333333333333,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,41,23,17,1,0,319,32,183,59.737827715355806,5.992509363295881,34.26966292134831,13.869565217391305,1.8823529411764706,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,35,21,12,2,0,343,37,154,64.23220973782772,6.928838951310862,28.83895131086142,16.333333333333332,3.0833333333333335,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,41,33,8,0,0,214,43,277,40.074906367041194,8.05243445692884,51.87265917602997,6.484848484848484,5.375,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,5,3,2,0,0,291,48,195,54.49438202247191,8.98876404494382,36.51685393258427,97.0,24.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,5,3,2,0,0,291,48,195,54.49438202247191,8.98876404494382,36.51685393258427,97.0,24.0,True,
