equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_100_equity_concave,43808.75830000002,338.0875830000003,-90.49094782760902,rbo_20__rbo_100,5.0,rbo_20__rbo_100
rbo_20__rbo_100_equity_convex,42209.56459999999,322.09564599999993,-87.78690632874454,rbo_20__rbo_100,5.0,rbo_20__rbo_100
rbo_100__rbo_100_equity_convex,36564.13529999998,265.64135299999975,-84.32736756010944,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rtt_5020__rbo_100_equity_convex,36564.13529999998,265.64135299999975,-84.32736756010944,rtt_5020__rbo_100,2.0,rtt_5020__rbo_100
rbo_50__rbo_100_equity_convex,36564.13529999998,265.64135299999975,-84.32736756010944,rbo_50__rbo_100,2.0,rbo_50__rbo_100
rbo_50__rbo_100_equity_concave,34017.42690000002,240.1742690000002,-86.8935297339122,rbo_50__rbo_100,2.0,rbo_50__rbo_100
rtt_5020__rbo_100_equity_concave,34017.42690000002,240.1742690000002,-86.8935297339122,rtt_5020__rbo_100,2.0,rtt_5020__rbo_100
rbo_100__rbo_100_equity_concave,34017.42690000002,240.1742690000002,-86.8935297339122,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rtt_5020__rbo_20_equity_concave,33431.026399999995,234.31026399999996,-90.52508473394039,rtt_5020__rbo_20,7.0,rtt_5020__rbo_20
rbo_20__rbo_20_equity_concave,29466.61819999992,194.6661819999992,-90.52508473394039,rbo_20__rbo_20,8.0,rbo_20__rbo_20
rtt_5020__rbo_20_equity_convex,29376.359000000037,193.76359000000036,-86.67078136935066,rtt_5020__rbo_20,7.0,rtt_5020__rbo_20
rbo_20__rbo_20_equity_convex,28832.236200000003,188.32236200000003,-86.67078136935066,rbo_20__rbo_20,8.0,rbo_20__rbo_20
rtt_5020__rsma_50100150_equity_concave,26491.292499999727,164.91292499999724,-89.5826513564086,rtt_5020__rsma_50100150,109.0,rtt_5020__rsma_50100150
rtt_5020__rema_50100150_equity_concave,26221.247599999784,162.21247599999785,-89.5826513564086,rtt_5020__rema_50100150,122.0,rtt_5020__rema_50100150
rtt_5020__rtt_5020_equity_convex,24665.147200000025,146.65147200000024,-85.29937545562869,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020
rtt_5020__rbo_50_equity_convex,24665.147200000025,146.65147200000024,-85.29937545562869,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50
rbo_50__rtt_5020_equity_convex,24665.147200000025,146.65147200000024,-85.29937545562869,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_convex,24665.147200000025,146.65147200000024,-85.29937545562869,rbo_50__rbo_50,3.0,rbo_50__rbo_50
rbo_20__rsma_50100150_equity_concave,23126.909299999697,131.26909299999699,-89.5826513564086,rbo_20__rsma_50100150,114.0,rbo_20__rsma_50100150
