combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,0,8,0,0,0,273,265,0.0,50.74349442379182,49.25650557620818,0,34.125,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,8,0,8,0,0,0,359,179,0.0,66.72862453531599,33.27137546468401,0,44.875,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,5,0,5,0,0,0,384,154,0.0,71.37546468401487,28.624535315985128,0,76.8,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,0,4,0,0,0,363,175,0.0,67.4721189591078,32.52788104089219,0,90.75,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,21,0,21,0,0,0,351,187,0.0,65.24163568773234,34.75836431226766,0,16.714285714285715,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,7,0,7,0,0,0,392,146,0.0,72.86245353159852,27.137546468401485,0,56.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,114,0,114,0,0,0,163,375,0.0,30.297397769516728,69.70260223048327,0,1.4298245614035088,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,1,0,1,0,0,0,412,126,0.0,76.57992565055763,23.42007434944238,0,412.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,412,126,0.0,76.57992565055763,23.42007434944238,0,412.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,127,0,127,0,0,0,149,389,0.0,27.695167286245354,72.30483271375465,0,1.1732283464566928,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,49,0,49,0,0,0,307,231,0.0,57.06319702602231,42.93680297397769,0,6.26530612244898,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,0,3,0,0,0,354,184,0.0,65.79925650557621,34.20074349442379,0,118.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,0,2,0,0,0,381,157,0.0,70.817843866171,29.182156133828997,0,190.5,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,0,3,0,0,0,354,184,0.0,65.79925650557621,34.20074349442379,0,118.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,18,0,18,0,0,0,374,164,0.0,69.51672862453532,30.483271375464682,0,20.77777777777778,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,4,0,4,0,0,0,389,149,0.0,72.30483271375465,27.695167286245354,0,97.25,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,153,0,153,0,0,0,202,336,0.0,37.54646840148699,62.45353159851301,0,1.3202614379084967,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,1,0,1,0,0,0,412,126,0.0,76.57992565055763,23.42007434944238,0,412.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,1,0,1,0,0,0,412,126,0.0,76.57992565055763,23.42007434944238,0,412.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,167,0,167,0,0,0,189,349,0.0,35.130111524163574,64.86988847583643,0,1.1317365269461077,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,61,0,61,0,0,0,321,217,0.0,59.66542750929368,40.33457249070632,0,5.262295081967213,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,16,0,16,0,0,0,367,171,0.0,68.21561338289963,31.784386617100374,0,22.9375,True,
