equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rbo_20_equity_constant,15203.56590000002,52.0356590000002,-56.19834065483321,rsma_100150__rbo_20,245.0,rsma_100150__rbo_20_equity_constant
rsma_100150__rema_50100_equity_constant,15099.451499999996,50.994514999999964,-54.36204559378245,rsma_100150__rema_50100,44.0,rsma_100150__rema_50100_equity_constant
rsma_50100__rsma_50100150_equity_constant,14253.19230000004,42.53192300000042,-56.46137613936012,rsma_50100__rsma_50100150,452.0,rsma_50100__rsma_50100150_equity_constant
rsma_50100150__rema_50100_equity_constant,14039.299399999974,40.39299399999974,-69.82270523098003,rsma_50100150__rema_50100,124.0,rsma_50100150__rema_50100_equity_constant
rsma_50100150__rsma_100150_equity_constant,13855.213200000035,38.55213200000034,-56.875063866420604,rsma_50100150__rsma_100150,182.0,rsma_50100150__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,13730.407000000007,37.30407000000007,-62.87256758275049,rsma_50100__rsma_100150,213.0,rsma_50100__rsma_100150_equity_constant
rsma_50100150__rema_50100150_equity_constant,13236.785300000001,32.367853000000025,-47.986265141975196,rsma_50100150__rema_50100150,151.0,rsma_50100150__rema_50100150_equity_constant
rsma_100150__rbo_50_equity_constant,12971.065600000004,29.710656000000046,-46.34925258209052,rsma_100150__rbo_50,114.0,rsma_100150__rbo_50_equity_constant
rrg_equity_equal,12635.026800000032,26.350268000000334,-22.506365980453257,rrg,,rrg_equity_equal
rsma_50100150__rema_100150_equity_equal,12209.939300000036,22.09939300000037,-19.382332228232077,rsma_50100150__rema_100150,119.0,rsma_50100150__rema_100150_equity_equal
rbo_20__rema_100150_equity_equal,12159.002900000043,21.59002900000042,-19.972544723675817,rbo_20__rema_100150,152.0,rbo_20__rema_100150_equity_equal
rema_100150__rema_100150_equity_equal,12106.318400000042,21.063184000000422,-19.719076265560176,rema_100150__rema_100150,12.0,rema_100150__rema_100150_equity_equal
rema_50100__rema_100150_equity_equal,11931.086000000056,19.310860000000552,-17.625116713916768,rema_50100__rema_100150,48.0,rema_50100__rema_100150_equity_equal
rsma_50100__rema_100150_equity_equal,11927.709000000048,19.277090000000484,-17.495500610964505,rsma_50100__rema_100150,100.0,rsma_50100__rema_100150_equity_equal
rema_100150__rtt_5020_equity_equal,11924.909899999993,19.249098999999937,-17.670716539367525,rema_100150__rtt_5020,132.0,rema_100150__rtt_5020_equity_equal
rsma_50100__rbo_20_equity_equal,11816.507300000027,18.165073000000277,-15.71939994653683,rsma_50100__rbo_20,298.0,rsma_50100__rbo_20_equity_equal
rbo_20__rbo_20_equity_equal,11762.325900000034,17.623259000000346,-16.402969429882535,rbo_20__rbo_20,40.0,rbo_20__rbo_20_equity_equal
