equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rsma_50100150_equity_concave,56243.362899999964,462.4336289999996,-83.6119321023032,rbo_100__rsma_50100150,13.0,rbo_100__rsma_50100150_equity_concave
rbo_100__rbo_100_equity_concave,46502.39629999998,365.0239629999998,-82.57638972467322,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_concave
rbo_100__rema_50100_equity_concave,46502.39629999998,365.0239629999998,-82.57638972467322,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_concave
rbo_100__rema_50100150_equity_concave,46502.39629999998,365.0239629999998,-82.57638972467322,rbo_100__rema_50100150,2.0,rbo_100__rema_50100150_equity_concave
rbo_100__rsma_50100150_equity_convex,46434.405399999996,364.3440539999999,-80.15006239317538,rbo_100__rsma_50100150,13.0,rbo_100__rsma_50100150_equity_convex
rbo_100__rema_50100_equity_convex,46367.15469999997,363.6715469999997,-82.25650300685801,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_convex
rbo_100__rema_50100150_equity_convex,46367.15469999997,363.6715469999997,-82.25650300685801,rbo_100__rema_50100150,2.0,rbo_100__rema_50100150_equity_convex
rbo_100__rbo_100_equity_convex,46367.15469999997,363.6715469999997,-82.25650300685801,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_convex
rema_50100150__rbo_100_equity_concave,45760.813400000014,357.6081340000002,-82.57747664948626,rema_50100150__rbo_100,10.0,rema_50100150__rbo_100_equity_concave
rema_50100__rbo_100_equity_concave,45760.813400000014,357.6081340000002,-82.57747664948626,rema_50100__rbo_100,10.0,rema_50100__rbo_100_equity_concave
rema_50100150__rsma_50100150_equity_concave,43258.03529999999,332.5803529999999,-84.03289550230679,rema_50100150__rsma_50100150,13.0,rema_50100150__rsma_50100150_equity_concave
rema_50100__rsma_50100150_equity_concave,43258.03529999999,332.5803529999999,-84.03289550230679,rema_50100__rsma_50100150,13.0,rema_50100__rsma_50100150_equity_concave
rsma_50100150__rsma_50100150_equity_concave,41730.9196,317.309196,-82.31020650692774,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150_equity_concave
rsma_50100150__rsma_50100150_equity_convex,41675.75739999999,316.75757399999986,-82.2867922251606,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150_equity_convex
rbo_100__rsma_50100_equity_concave,41294.12369999992,312.9412369999992,-82.71455340266752,rbo_100__rsma_50100,8.0,rbo_100__rsma_50100_equity_concave
rema_50100__rbo_100_equity_convex,41246.13090000003,312.4613090000003,-82.2971131093413,rema_50100__rbo_100,10.0,rema_50100__rbo_100_equity_convex
rema_50100150__rbo_100_equity_convex,41246.13090000003,312.4613090000003,-82.2971131093413,rema_50100150__rbo_100,10.0,rema_50100150__rbo_100_equity_convex
rsma_50100150__rema_50100_equity_concave,37753.400499999974,277.53400499999975,-82.55878831365145,rsma_50100150__rema_50100,5.0,rsma_50100150__rema_50100_equity_concave
rsma_50100150__rema_50100150_equity_concave,37753.400499999974,277.53400499999975,-82.55878831365145,rsma_50100150__rema_50100150,5.0,rsma_50100150__rema_50100150_equity_concave
rsma_50100150__rsma_50100_equity_concave,37439.62949999994,274.3962949999994,-80.28262138651768,rsma_50100150__rsma_50100,8.0,rsma_50100150__rsma_50100_equity_concave
rsma_50100__rema_50100150_equity_concave,37354.34799999996,273.5434799999996,-86.16299500127809,rsma_50100__rema_50100150,6.0,rsma_50100__rema_50100150_equity_concave
rsma_50100__rema_50100_equity_concave,37354.34799999996,273.5434799999996,-86.16299500127809,rsma_50100__rema_50100,6.0,rsma_50100__rema_50100_equity_concave
rbo_50__rsma_50100150_equity_concave,37008.07560000001,270.0807560000001,-81.76224948048902,rbo_50__rsma_50100150,19.0,rbo_50__rsma_50100150_equity_concave
rtt_5020__rsma_50100150_equity_concave,37008.07560000001,270.0807560000001,-81.76224948048902,rtt_5020__rsma_50100150,19.0,rtt_5020__rsma_50100150_equity_concave
rbo_50__rbo_100_equity_concave,36199.53620000003,261.9953620000003,-82.58220446481846,rbo_50__rbo_100,20.0,rbo_50__rbo_100_equity_concave
rtt_5020__rbo_100_equity_concave,36199.53620000003,261.9953620000003,-82.58220446481846,rtt_5020__rbo_100,20.0,rtt_5020__rbo_100_equity_concave
rsma_50100150__rema_50100150_equity_convex,36082.85299999999,260.8285299999999,-82.18758367028242,rsma_50100150__rema_50100150,5.0,rsma_50100150__rema_50100150_equity_convex
rsma_50100150__rema_50100_equity_convex,36082.85299999999,260.8285299999999,-82.18758367028242,rsma_50100150__rema_50100,5.0,rsma_50100150__rema_50100_equity_convex
