combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,3,2,1,0,0,69,55,419,12.70718232044199,10.128913443830571,77.16390423572744,34.5,55.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,18,12,6,0,0,69,61,413,12.70718232044199,11.233885819521179,76.05893186003682,5.75,10.166666666666666,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,25,1,24,0,0,88,46,409,16.206261510128915,8.47145488029466,75.32228360957643,88.0,1.9166666666666667,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,2,1,0,0,79,66,398,14.548802946593002,12.154696132596685,73.29650092081032,39.5,66.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,25,12,13,0,0,77,56,410,14.180478821362799,10.313075506445673,75.50644567219152,6.416666666666667,4.3076923076923075,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,17,1,16,0,0,88,54,401,16.206261510128915,9.94475138121547,73.84898710865562,88.0,3.375,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,13,7,6,0,0,53,49,441,9.760589318600369,9.023941068139964,81.21546961325967,7.571428571428571,8.166666666666666,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,2,1,0,0,58,55,430,10.681399631675875,10.128913443830571,79.18968692449356,29.0,55.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,20,1,19,0,0,88,40,415,16.206261510128915,7.366482504604052,76.42725598526704,88.0,2.1052631578947367,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,2,1,0,0,58,55,430,10.681399631675875,10.128913443830571,79.18968692449356,29.0,55.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,19,12,7,0,0,77,51,415,14.180478821362799,9.392265193370166,76.42725598526704,6.416666666666667,7.285714285714286,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,12,1,11,0,0,88,48,407,16.206261510128915,8.83977900552486,74.95395948434623,88.0,4.363636363636363,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,19,11,8,0,0,78,15,450,14.3646408839779,2.7624309392265194,82.87292817679558,7.090909090909091,1.875,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,18,16,2,0,0,73,20,450,13.443830570902392,3.683241252302026,82.87292817679558,4.5625,10.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,88,22,433,16.206261510128915,4.051565377532229,79.74217311233886,88.0,22.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,8,6,2,0,0,83,20,440,15.285451197053407,3.683241252302026,81.03130755064457,13.833333333333334,10.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,13,12,1,0,0,77,21,445,14.180478821362799,3.867403314917127,81.95211786372008,6.416666666666667,21.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,2,1,1,0,0,88,22,433,16.206261510128915,4.051565377532229,79.74217311233886,88.0,22.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,3,2,1,0,0,48,44,451,8.83977900552486,8.103130755064457,83.05709023941068,24.0,44.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,2,1,0,0,58,55,430,10.681399631675875,10.128913443830571,79.18968692449356,29.0,55.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,20,1,19,0,0,88,40,415,16.206261510128915,7.366482504604052,76.42725598526704,88.0,2.1052631578947367,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,2,1,0,0,58,55,430,10.681399631675875,10.128913443830571,79.18968692449356,29.0,55.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,19,12,7,0,0,77,51,415,14.180478821362799,9.392265193370166,76.42725598526704,6.416666666666667,7.285714285714286,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,12,1,11,0,0,88,48,407,16.206261510128915,8.83977900552486,74.95395948434623,88.0,4.363636363636363,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,18,11,7,0,0,78,37,428,14.3646408839779,6.8139963167587485,78.82136279926335,7.090909090909091,5.285714285714286,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,18,16,2,0,0,73,43,427,13.443830570902392,7.918968692449356,78.63720073664825,4.5625,21.5,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,13,1,12,0,0,88,34,421,16.206261510128915,6.261510128913445,77.53222836095765,88.0,2.8333333333333335,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,8,6,2,0,0,83,43,417,15.285451197053407,7.918968692449356,76.79558011049724,13.833333333333334,21.5,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,3,2,1,0,0,66,44,433,12.154696132596685,8.103130755064457,79.74217311233886,33.0,44.0,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,5,1,4,0,0,88,42,413,16.206261510128915,7.734806629834254,76.05893186003682,88.0,10.5,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,19,11,8,0,0,78,31,434,14.3646408839779,5.70902394106814,79.92633517495395,7.090909090909091,3.875,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,18,16,2,0,0,73,36,434,13.443830570902392,6.629834254143646,79.92633517495395,4.5625,18.0,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,10,1,9,0,0,88,30,425,16.206261510128915,5.524861878453039,78.26887661141805,88.0,3.3333333333333335,True,
rema_50100150__rtt_5020,rema_50100150,rtt_5020,rrg,rema_50100150__rtt_5020,8,6,2,0,0,83,36,424,15.285451197053407,6.629834254143646,78.08471454880295,13.833333333333334,18.0,True,
rema_50100150__rsma_50100150,rema_50100150,rsma_50100150,rrg,rema_50100150__rsma_50100150,13,12,1,0,0,77,37,429,14.180478821362799,6.8139963167587485,79.00552486187846,6.416666666666667,37.0,True,
