combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,1,8,0,0,3,221,324,0.5474452554744526,40.32846715328467,59.12408759124088,3.0,27.625,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,33,1,32,0,0,3,311,234,0.5474452554744526,56.75182481751825,42.700729927007295,3.0,9.71875,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,12,1,11,0,0,3,385,160,0.5474452554744526,70.25547445255475,29.1970802919708,3.0,35.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,1,5,0,0,3,338,207,0.5474452554744526,61.67883211678832,37.77372262773723,3.0,67.6,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,60,1,59,0,0,3,198,347,0.5474452554744526,36.13138686131387,63.32116788321168,3.0,3.3559322033898304,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,76,1,75,0,0,3,191,354,0.5474452554744526,34.85401459854015,64.59854014598541,3.0,2.546666666666667,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,70,1,69,0,0,3,230,315,0.5474452554744526,41.97080291970803,57.481751824817515,3.0,3.3333333333333335,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,6,1,5,0,0,3,295,250,0.5474452554744526,53.83211678832117,45.62043795620438,3.0,59.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,10,1,9,0,0,3,396,149,0.5474452554744526,72.26277372262774,27.189781021897808,3.0,44.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,6,1,5,0,0,3,295,250,0.5474452554744526,53.83211678832117,45.62043795620438,3.0,59.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,86,1,85,0,0,3,214,331,0.5474452554744526,39.05109489051095,60.4014598540146,3.0,2.5176470588235293,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,98,1,97,0,0,3,205,340,0.5474452554744526,37.408759124087595,62.04379562043796,3.0,2.11340206185567,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,90,1,89,0,0,3,263,282,0.5474452554744526,47.99270072992701,51.45985401459854,3.0,2.955056179775281,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,57,1,56,0,0,3,296,249,0.5474452554744526,54.01459854014598,45.43795620437956,3.0,5.285714285714286,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,3,351,194,0.5474452554744526,64.05109489051095,35.4014598540146,3.0,351.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,35,1,34,0,0,3,318,227,0.5474452554744526,58.02919708029197,41.42335766423358,3.0,9.352941176470589,True,
