equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rbo_20_equity_concave,65181.47349999975,551.8147349999975,-88.38697165705204,rbo_100__rbo_20,54.0,rbo_100__rbo_20
rbo_100__rbo_20_equity_convex,56953.00349999984,469.5300349999984,-84.48360984420292,rbo_100__rbo_20,54.0,rbo_100__rbo_20
rbo_100__rtt_5020_equity_convex,43983.50499999998,339.83504999999985,-83.3145404753508,rbo_100__rtt_5020,6.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_convex,43983.50499999998,339.83504999999985,-83.3145404753508,rbo_100__rbo_50,6.0,rbo_100__rbo_50
rbo_100__rbo_100_equity_convex,43046.70579999997,330.4670579999997,-83.3145404753508,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_100__rbo_100_equity_concave,43046.70579999997,330.4670579999997,-83.3145404753508,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_100__rbo_50_equity_concave,41525.97749999997,315.2597749999997,-83.3145404753508,rbo_100__rbo_50,6.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_concave,41525.97749999997,315.2597749999997,-83.3145404753508,rbo_100__rtt_5020,6.0,rbo_100__rtt_5020
rbo_100__rema_50100150_equity_convex,40580.50349999993,305.8050349999993,-83.3145404753508,rbo_100__rema_50100150,11.0,rbo_100__rema_50100150
rbo_100__rema_50100150_equity_concave,40505.85889999992,305.0585889999992,-83.3145404753508,rbo_100__rema_50100150,11.0,rbo_100__rema_50100150
rbo_100__rsma_50100150_equity_convex,40342.033799999954,303.42033799999956,-83.3145404753508,rbo_100__rsma_50100150,3.0,rbo_100__rsma_50100150
rbo_100__rsma_50100150_equity_concave,39451.084199999954,294.51084199999957,-83.3145404753508,rbo_100__rsma_50100150,3.0,rbo_100__rsma_50100150
rbo_50__rbo_20_equity_concave,37384.14659999997,273.8414659999997,-88.38697165705204,rbo_50__rbo_20,61.0,rbo_50__rbo_20
rbo_20__rsma_50100150_equity_convex,35587.037799999925,255.87037799999925,-87.11410536998939,rbo_20__rsma_50100150,28.0,rbo_20__rsma_50100150
