combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,8,1,0,0,228,7,305,42.22222222222222,1.2962962962962963,56.481481481481474,28.5,7.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,36,35,1,0,0,293,18,229,54.25925925925926,3.3333333333333335,42.407407407407405,8.371428571428572,18.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,48,47,1,0,0,267,18,255,49.44444444444444,3.3333333333333335,47.22222222222222,5.680851063829787,18.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,4,1,0,0,324,18,198,60.0,3.3333333333333335,36.666666666666664,81.0,18.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,46,42,4,0,0,281,4,255,52.03703703703704,0.7407407407407408,47.22222222222222,6.690476190476191,1.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,30,29,1,0,0,306,18,216,56.666666666666664,3.3333333333333335,40.0,10.551724137931034,18.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,28,27,1,0,0,325,16,199,60.18518518518518,2.9629629629629632,36.851851851851855,12.037037037037036,16.0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,39,38,1,0,0,292,18,230,54.074074074074076,3.3333333333333335,42.592592592592595,7.684210526315789,18.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,15,14,1,0,0,349,18,173,64.62962962962962,3.3333333333333335,32.03703703703704,24.928571428571427,18.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,29,25,4,0,0,311,4,225,57.592592592592595,0.7407407407407408,41.66666666666667,12.44,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,60,54,6,0,0,217,12,311,40.18518518518518,2.2222222222222223,57.592592592592595,4.018518518518518,2.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,3,1,0,0,270,18,252,50.0,3.3333333333333335,46.666666666666664,90.0,18.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,27,26,1,0,0,255,18,267,47.22222222222222,3.3333333333333335,49.44444444444444,9.807692307692308,18.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,3,1,0,0,270,18,252,50.0,3.3333333333333335,46.666666666666664,90.0,18.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,33,24,8,1,0,270,10,260,50.0,1.8518518518518516,48.148148148148145,11.25,1.25,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,17,16,1,0,0,302,18,220,55.925925925925924,3.3333333333333335,40.74074074074074,18.875,18.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,18,16,2,0,0,281,17,242,52.03703703703704,3.148148148148148,44.81481481481481,17.5625,8.5,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,16,15,1,0,0,276,18,246,51.11111111111111,3.3333333333333335,45.55555555555556,18.4,18.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,6,5,1,0,0,345,18,177,63.888888888888886,3.3333333333333335,32.77777777777778,69.0,18.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,21,12,8,1,0,281,9,250,52.03703703703704,1.6666666666666667,46.2962962962963,23.416666666666668,1.125,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,53,47,6,0,0,184,12,344,34.074074074074076,2.2222222222222223,63.70370370370371,3.9148936170212765,2.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,6,5,1,0,0,225,18,297,41.66666666666667,3.3333333333333335,55.00000000000001,45.0,18.0,True,
