equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rbo_20_equity_convex,15836.28430000004,58.36284300000039,-68.58845040040933,rema_50100150__rbo_20,25.0,rema_50100150__rbo_20_equity_convex
rema_50100150__rbo_50_equity_convex,15305.030000000032,53.050300000000306,-68.0116758918435,rema_50100150__rbo_50,14.0,rema_50100150__rbo_50_equity_convex
rema_50100150__rbo_50_equity_concave,15107.251100000036,51.07251100000036,-70.3689673080491,rema_50100150__rbo_50,14.0,rema_50100150__rbo_50_equity_concave
rbo_50__rtt_5020_equity_concave,15044.326199999978,50.44326199999978,-60.914634803884205,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020_equity_concave
rbo_50__rbo_50_equity_concave,15044.326199999978,50.44326199999978,-60.914634803884205,rbo_50__rbo_50,3.0,rbo_50__rbo_50_equity_concave
rbo_50__rbo_50_equity_convex,15029.442499999983,50.29442499999983,-60.90613155455458,rbo_50__rbo_50,3.0,rbo_50__rbo_50_equity_convex
rbo_50__rtt_5020_equity_convex,15029.442499999983,50.29442499999983,-60.90613155455458,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020_equity_convex
rbo_20__rtt_5020_equity_convex,14984.385299999976,49.84385299999976,-61.79105624033772,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020_equity_convex
rema_50100150__rtt_5020_equity_convex,14692.933399999993,46.929333999999926,-68.58845040040933,rema_50100150__rtt_5020,10.0,rema_50100150__rtt_5020_equity_convex
rema_50100150__rtt_5020_equity_concave,14638.097499999996,46.38097499999996,-68.58845040040933,rema_50100150__rtt_5020,10.0,rema_50100150__rtt_5020_equity_concave
rbo_20__rbo_20_equity_convex,14585.929399999995,45.85929399999995,-61.79105624033772,rbo_20__rbo_20,6.0,rbo_20__rbo_20_equity_convex
rbo_50__rsma_50100_equity_convex,14300.221199999982,43.00221199999983,-54.61490428982535,rbo_50__rsma_50100,14.0,rbo_50__rsma_50100_equity_convex
rsma_50100150__rbo_20_equity_convex,13595.590800000014,35.95590800000015,-68.58845040040933,rsma_50100150__rbo_20,21.0,rsma_50100150__rbo_20_equity_convex
rema_100150__rsma_100150_equity_constant,13565.476100000009,35.65476100000009,-28.465128262990767,rema_100150__rsma_100150,31.0,rema_100150__rsma_100150_equity_constant
rema_100150__rsma_50100150_equity_constant,13491.496000000008,34.91496000000007,-27.858784147097705,rema_100150__rsma_50100150,48.0,rema_100150__rsma_50100150_equity_constant
rbo_20__rtt_5020_equity_concave,12863.976599999973,28.63976599999973,-61.79105624033772,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020_equity_concave
rsma_50100150__rbo_50_equity_convex,12769.97800000003,27.699780000000306,-68.0116758918435,rsma_50100150__rbo_50,28.0,rsma_50100150__rbo_50_equity_convex
rema_50100__rsma_50100150_equity_constant,12739.252700000005,27.392527000000054,-25.501144401551713,rema_50100__rsma_50100150,44.0,rema_50100__rsma_50100150_equity_constant
rsma_100150__rsma_50100150_equity_constant,12712.208600000004,27.122086000000035,-21.335463296283567,rsma_100150__rsma_50100150,36.0,rsma_100150__rsma_50100150_equity_constant
rbo_100__rsma_100150_equity_constant,12684.0011,26.840010999999997,-28.465580251439732,rbo_100__rsma_100150,33.0,rbo_100__rsma_100150_equity_constant
rsma_50100150__rbo_50_equity_concave,12599.760400000028,25.997604000000287,-70.3689673080491,rsma_50100150__rbo_50,28.0,rsma_50100150__rbo_50_equity_concave
rbo_50__rbo_20_equity_convex,12359.542300000006,23.59542300000006,-63.43639946771732,rbo_50__rbo_20,26.0,rbo_50__rbo_20_equity_convex
rsma_100150__rema_100150_equity_constant,12263.807300000006,22.63807300000007,-19.080207374771025,rsma_100150__rema_100150,7.0,rsma_100150__rema_100150_equity_constant
rtt_5020__rbo_20_equity_convex,12061.940699999997,20.619406999999978,-56.71521261277478,rtt_5020__rbo_20,4.0,rtt_5020__rbo_20_equity_convex
rsma_100150__rema_50100_equity_constant,12042.804300000013,20.428043000000116,-18.376558747750913,rsma_100150__rema_50100,12.0,rsma_100150__rema_50100_equity_constant
rema_50100__rema_100150_equity_constant,11979.866899999997,19.79866899999998,-20.60386889556503,rema_50100__rema_100150,2.0,rema_50100__rema_100150_equity_constant
rema_100150__rbo_50_equity_constant,11887.642199999986,18.87642199999986,-19.21332129676446,rema_100150__rbo_50,38.0,rema_100150__rbo_50_equity_constant
rtt_5020__rbo_50_equity_concave,11883.395099999972,18.833950999999715,-60.914634803884205,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50_equity_concave
rtt_5020__rtt_5020_equity_concave,11883.395099999972,18.833950999999715,-60.914634803884205,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020_equity_concave
rtt_5020__rtt_5020_equity_convex,11871.611899999974,18.716118999999743,-60.90613155455458,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020_equity_convex
rtt_5020__rbo_50_equity_convex,11871.611899999974,18.716118999999743,-60.90613155455458,rtt_5020__rbo_50,3.0,rtt_5020__rbo_50_equity_convex
rema_50100150__rsma_100150_equity_constant,11864.2924,18.642924000000004,-27.69050311317368,rema_50100150__rsma_100150,43.0,rema_50100150__rsma_100150_equity_constant
rsma_100150__rsma_100150_equity_constant,11844.400800000018,18.444008000000167,-19.69055679324015,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rbo_100__rsma_50100150_equity_constant,11842.310800000005,18.423108000000042,-25.86001042339993,rbo_100__rsma_50100150,44.0,rbo_100__rsma_50100150_equity_constant
rema_50100150__rbo_20_equity_concave,11814.195900000028,18.141959000000284,-70.97543698491339,rema_50100150__rbo_20,25.0,rema_50100150__rbo_20_equity_concave
rsma_100150__rbo_100_equity_constant,11790.71490000001,17.9071490000001,-18.375793208925813,rsma_100150__rbo_100,11.0,rsma_100150__rbo_100_equity_constant
rema_100150__rema_100150_equity_constant,11784.784399999997,17.847843999999967,-17.228207064301003,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_constant
rbo_20__rsma_100150_equity_constant,11768.914900000007,17.68914900000007,-25.41370255577446,rbo_20__rsma_100150,41.0,rbo_20__rsma_100150_equity_constant
rsma_100150__rema_50100150_equity_constant,11755.460400000002,17.55460400000002,-19.16667698638763,rsma_100150__rema_50100150,46.0,rsma_100150__rema_50100150_equity_constant
rema_100150__rema_50100_equity_constant,11736.17069999999,17.361706999999903,-16.885159651598155,rema_100150__rema_50100,7.0,rema_100150__rema_50100_equity_constant
rema_50100__rbo_100_equity_constant,11728.715799999998,17.28715799999998,-18.903715166256745,rema_50100__rbo_100,2.0,rema_50100__rbo_100_equity_constant
