combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,3,3,0,0,86,46,408,15.925925925925927,8.518518518518519,75.55555555555556,28.666666666666668,15.333333333333334,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,16,6,10,0,0,104,55,381,19.25925925925926,10.185185185185185,70.55555555555556,17.333333333333332,5.5,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,22,21,1,0,0,104,97,339,19.25925925925926,17.962962962962965,62.77777777777778,4.9523809523809526,97.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,2,3,0,0,108,63,369,20.0,11.666666666666666,68.33333333333333,54.0,21.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,25,18,7,0,0,106,78,356,19.62962962962963,14.444444444444443,65.92592592592592,5.888888888888889,11.142857142857142,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,41,30,10,1,0,89,87,364,16.48148148148148,16.11111111111111,67.4074074074074,2.966666666666667,8.7,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,31,22,9,0,0,86,40,414,15.925925925925927,7.4074074074074066,76.66666666666667,3.909090909090909,4.444444444444445,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,23,22,1,0,0,100,97,343,18.51851851851852,17.962962962962965,63.51851851851852,4.545454545454546,97.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,24,23,1,0,0,110,97,333,20.37037037037037,17.962962962962965,61.66666666666667,4.782608695652174,97.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,27,3,24,0,0,119,24,397,22.037037037037038,4.444444444444445,73.51851851851852,39.666666666666664,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,26,17,9,0,0,93,37,410,17.22222222222222,6.851851851851852,75.92592592592592,5.470588235294118,4.111111111111111,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,2,1,0,0,109,46,385,20.185185185185187,8.518518518518519,71.29629629629629,54.5,46.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,22,20,1,0,1,104,97,339,19.25925925925926,17.962962962962965,62.77777777777778,5.2,97.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,2,1,0,0,109,46,385,20.185185185185187,8.518518518518519,71.29629629629629,54.5,46.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,15,14,1,0,0,111,72,357,20.555555555555554,13.333333333333334,66.11111111111111,7.928571428571429,72.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,49,37,10,1,1,98,87,355,18.14814814814815,16.11111111111111,65.74074074074075,2.6486486486486487,8.7,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,47,34,13,0,0,91,33,416,16.85185185185185,6.111111111111111,77.03703703703704,2.676470588235294,2.5384615384615383,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,23,21,1,0,1,100,97,343,18.51851851851852,17.962962962962965,63.51851851851852,4.761904761904762,97.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,24,22,1,0,1,110,97,333,20.37037037037037,17.962962962962965,61.66666666666667,5.0,97.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,26,3,23,0,0,120,23,397,22.22222222222222,4.2592592592592595,73.51851851851852,40.0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,47,20,27,0,0,65,71,404,12.037037037037036,13.148148148148147,74.81481481481481,3.25,2.6296296296296298,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,34,8,26,0,0,76,71,393,14.074074074074074,13.148148148148147,72.77777777777777,9.5,2.730769230769231,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,84,97,359,15.555555555555555,17.962962962962965,66.48148148148148,84.0,97.0,True,
