equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020__rsma_50100_equity_constant,33021.75810000006,230.2175810000006,-75.59820128052607,rtt_5020__rsma_50100,122.0,rtt_5020__rsma_50100_equity_constant
rbo_20__rsma_50100_equity_constant,32877.59609999998,228.7759609999998,-78.68823324396573,rbo_20__rsma_50100,211.0,rbo_20__rsma_50100_equity_constant
rbo_50__rema_100150_equity_constant,31132.32679999997,211.32326799999973,-74.83339918974941,rbo_50__rema_100150,153.0,rbo_50__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,30688.093099999987,206.8809309999999,-74.20761490031819,rtt_5020__rema_100150,103.0,rtt_5020__rema_100150_equity_constant
rbo_50__rsma_50100_equity_constant,30257.61959999997,202.5761959999997,-74.54052569575288,rbo_50__rsma_50100,169.0,rbo_50__rsma_50100_equity_constant
rtt_5020__rema_50100_equity_constant,29763.00719999998,197.6300719999998,-71.85508256758465,rtt_5020__rema_50100,80.0,rtt_5020__rema_50100_equity_constant
rbo_50__rema_50100_equity_constant,29739.205100000025,197.39205100000024,-72.04353756284904,rbo_50__rema_50100,129.0,rbo_50__rema_50100_equity_constant
rbo_50__rema_50100150_equity_constant,27970.711900000053,179.70711900000055,-69.62148722860243,rbo_50__rema_50100150,521.0,rbo_50__rema_50100150_equity_constant
rtt_5020__rbo_20_equity_constant,27932.683299999997,179.32683299999997,-70.11065872281826,rtt_5020__rbo_20,42.0,rtt_5020__rbo_20_equity_constant
rsma_50100150__rbo_100_equity_constant,27848.217900000007,178.48217900000006,-72.91616504775577,rsma_50100150__rbo_100,153.0,rsma_50100150__rbo_100_equity_constant
rbo_50__rbo_100_equity_constant,27486.510900000023,174.86510900000022,-68.49364125839392,rbo_50__rbo_100,120.0,rbo_50__rbo_100_equity_constant
rtt_5020__rbo_100_equity_constant,27384.68309999994,173.84683099999938,-68.47047145052738,rtt_5020__rbo_100,70.0,rtt_5020__rbo_100_equity_constant
rbo_100__rbo_50_equity_constant,27335.540799999966,173.35540799999967,-68.66555864163455,rbo_100__rbo_50,209.0,rbo_100__rbo_50_equity_constant
rbo_20__rema_50100_equity_constant,26668.018599999996,166.68018599999996,-73.24989625196312,rbo_20__rema_50100,158.0,rbo_20__rema_50100_equity_constant
rbo_20__rbo_20_equity_constant,26376.412400000016,163.76412400000015,-69.96481219453344,rbo_20__rbo_20,46.0,rbo_20__rbo_20_equity_constant
rbo_50__rsma_50100150_equity_constant,25961.05089999999,159.61050899999992,-66.62687307842785,rbo_50__rsma_50100150,505.0,rbo_50__rsma_50100150_equity_constant
rbo_100__rtt_5020_equity_constant,25952.89669999995,159.5289669999995,-69.8789439627428,rbo_100__rtt_5020,161.0,rbo_100__rtt_5020_equity_constant
rbo_20__rbo_100_equity_constant,25463.319699999967,154.63319699999965,-70.88078816199408,rbo_20__rbo_100,137.0,rbo_20__rbo_100_equity_constant
rbo_50__rbo_20_equity_constant,25257.512600000016,152.57512600000015,-67.53313920605414,rbo_50__rbo_20,297.0,rbo_50__rbo_20_equity_constant
rbo_100__rsma_50100_equity_constant,25157.5317,151.57531699999998,-73.73365977230523,rbo_100__rsma_50100,142.0,rbo_100__rsma_50100_equity_constant
rtt_5020__rbo_50_equity_constant,24815.19319999997,148.15193199999968,-64.72874328079219,rtt_5020__rbo_50,26.0,rtt_5020__rbo_50_equity_constant
rbo_50__rtt_5020_equity_constant,24815.19319999997,148.15193199999968,-64.72874328079219,rbo_50__rtt_5020,26.0,rbo_50__rtt_5020_equity_constant
rtt_5020__rtt_5020_equity_constant,24815.19319999997,148.15193199999968,-64.72874328079219,rtt_5020__rtt_5020,26.0,rtt_5020__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,24815.19319999997,148.15193199999968,-64.72874328079219,rbo_50__rbo_50,26.0,rbo_50__rbo_50_equity_constant
rbo_20__rema_100150_equity_constant,24706.888599999962,147.06888599999962,-72.73573393221155,rbo_20__rema_100150,165.0,rbo_20__rema_100150_equity_constant
