combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,8,1,0,0,259,7,265,48.7758945386064,1.3182674199623352,49.90583804143126,32.375,7.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,32,28,4,0,0,316,4,211,59.51035781544256,0.7532956685499058,39.73634651600753,11.285714285714286,1.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,20,19,1,0,0,358,7,166,67.41996233521658,1.3182674199623352,31.26177024482109,18.842105263157894,7.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,3,1,0,0,341,7,183,64.21845574387947,1.3182674199623352,34.463276836158194,113.66666666666667,7.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,33,31,2,0,0,332,5,194,62.52354048964218,0.9416195856873822,36.53483992467043,10.709677419354838,2.5,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,21,20,1,0,0,368,7,156,69.30320150659134,1.3182674199623352,29.37853107344633,18.4,7.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,36,33,3,0,0,331,5,195,62.335216572504706,0.9416195856873822,36.72316384180791,10.030303030303031,1.6666666666666667,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,26,22,4,0,0,343,4,184,64.59510357815442,0.7532956685499058,34.65160075329567,15.590909090909092,1.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,12,8,4,0,0,380,4,147,71.56308851224105,0.7532956685499058,27.683615819209038,47.5,1.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,28,24,4,0,0,354,4,173,66.66666666666666,0.7532956685499058,32.580037664783426,14.75,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,45,45,0,0,0,247,0,284,46.516007532956685,0.0,53.483992467043315,5.488888888888889,0.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,3,0,0,0,291,0,240,54.80225988700565,0.0,45.19774011299435,97.0,0.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,7,7,0,0,0,346,0,185,65.16007532956685,0.0,34.83992467043315,49.42857142857143,0.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,3,0,0,0,291,0,240,54.80225988700565,0.0,45.19774011299435,97.0,0.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,12,12,0,0,0,312,0,219,58.75706214689266,0.0,41.24293785310734,26.0,0.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,17,17,0,0,0,365,0,166,68.7382297551789,0.0,31.26177024482109,21.470588235294116,0.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,17,17,0,0,0,308,0,223,58.00376647834275,0.0,41.99623352165725,18.11764705882353,0.0,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,17,17,0,0,0,337,0,194,63.465160075329564,0.0,36.53483992467043,19.823529411764707,0.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,8,8,0,0,0,380,0,151,71.56308851224105,0.0,28.436911487758948,47.5,0.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,12,12,0,0,0,342,0,189,64.40677966101694,0.0,35.59322033898305,28.5,0.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,59,54,5,0,0,267,11,253,50.282485875706215,2.0715630885122414,47.64595103578154,4.944444444444445,2.2,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,40,32,8,0,0,290,8,233,54.61393596986818,1.5065913370998116,43.87947269303202,9.0625,1.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,321,15,195,60.451977401129945,2.824858757062147,36.72316384180791,321.0,15.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,24,19,5,0,0,303,11,217,57.06214689265536,2.0715630885122414,40.86629001883239,15.947368421052632,2.2,True,
