equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rtt_5020_equity_concave,88319.29990000048,783.1929990000046,-162.71440940822578,rbo_50__rtt_5020,21.0,rbo_50__rtt_5020_equity_concave
rbo_50__rbo_50_equity_concave,88319.29990000048,783.1929990000046,-162.71440940822578,rbo_50__rbo_50,21.0,rbo_50__rbo_50_equity_concave
rema_50100150__rema_100150_equity_concave,42710.86020000052,327.1086020000052,-456.34328539229693,rema_50100150__rema_100150,69.0,rema_50100150__rema_100150_equity_concave
rema_50100150__rema_100150_equity_convex,42707.61770000017,327.0761770000017,-456.3446792848967,rema_50100150__rema_100150,69.0,rema_50100150__rema_100150_equity_convex
rbo_50__rema_50100150_equity_convex,27275.813800000193,172.75813800000194,-93.46255122097656,rbo_50__rema_50100150,414.0,rbo_50__rema_50100150_equity_convex
rbo_50__rema_50100150_equity_concave,20346.99330000009,103.46993300000089,-93.77569541537805,rbo_50__rema_50100150,414.0,rbo_50__rema_50100150_equity_concave
rtt_5020__rbo_50_equity_concave,17786.79060000005,77.8679060000005,-165.13064134381858,rtt_5020__rbo_50,21.0,rtt_5020__rbo_50_equity_concave
rtt_5020__rtt_5020_equity_concave,17786.79060000005,77.8679060000005,-165.13064134381858,rtt_5020__rtt_5020,21.0,rtt_5020__rtt_5020_equity_concave
rsma_100150__rsma_100150_equity_constant,16477.102899999998,64.77102899999998,-70.85212680794552,rsma_100150__rsma_100150,17.0,rsma_100150__rsma_100150_equity_constant
rsma_100150__rbo_50_equity_constant,15660.377499999966,56.603774999999665,-63.519471404415754,rsma_100150__rbo_50,306.0,rsma_100150__rbo_50_equity_constant
rsma_100150__rtt_5020_equity_constant,14689.902700000011,46.8990270000001,-64.97306140639148,rsma_100150__rtt_5020,233.0,rsma_100150__rtt_5020_equity_constant
rsma_50100150__rsma_100150_equity_constant,13654.623299999994,36.54623299999993,-64.74797248524972,rsma_50100150__rsma_100150,180.0,rsma_50100150__rsma_100150_equity_constant
rtt_5020__rsma_50100150_equity_constant,13526.801300000017,35.268013000000174,-56.50050403146732,rtt_5020__rsma_50100150,270.0,rtt_5020__rsma_50100150_equity_constant
rsma_100150__rbo_100_equity_constant,13496.2163,34.96216299999999,-65.86438055642685,rsma_100150__rbo_100,133.0,rsma_100150__rbo_100_equity_constant
rsma_50100__rsma_100150_equity_constant,12919.166600000002,29.191666000000026,-64.91271406074641,rsma_50100__rsma_100150,187.0,rsma_50100__rsma_100150_equity_constant
rsma_100150__rema_50100_equity_constant,12914.006100000002,29.140061000000017,-66.44584660191838,rsma_100150__rema_50100,110.0,rsma_100150__rema_50100_equity_constant
rsma_50100150__rsma_50100_equity_constant,12695.576800000015,26.95576800000015,-66.91671593573982,rsma_50100150__rsma_50100,156.0,rsma_50100150__rsma_50100_equity_constant
rema_50100__rsma_50100150_equity_constant,11754.605900000019,17.54605900000019,-62.300947493560834,rema_50100__rsma_50100150,440.0,rema_50100__rsma_50100150_equity_constant
rbo_100__rsma_100150_equity_constant,11738.523299999959,17.385232999999587,-61.13477503006208,rbo_100__rsma_100150,177.0,rbo_100__rsma_100150_equity_constant
rsma_50100150__rbo_20_equity_equal,11596.457499999991,15.964574999999904,-14.590558346014088,rsma_50100150__rbo_20,240.0,rsma_50100150__rbo_20_equity_equal
rbo_100__rsma_50100150_equity_constant,11496.656299999999,14.966562999999988,-54.93704523470352,rbo_100__rsma_50100150,408.0,rbo_100__rsma_50100150_equity_constant
rsma_100150__rsma_50100150_equity_constant,11485.858299999976,14.858582999999758,-61.415204393718014,rsma_100150__rsma_50100150,410.0,rsma_100150__rsma_50100150_equity_constant
rrg_equity_equal,11273.77839999999,12.737783999999897,-13.900204568100405,rrg,,rrg_equity_equal
rema_50100__rsma_100150_equity_constant,11098.285699999999,10.98285699999999,-65.70938584342957,rema_50100__rsma_100150,226.0,rema_50100__rsma_100150_equity_constant
rbo_20__rbo_20_equity_equal,11095.2772,10.952772,-13.238768878015353,rbo_20__rbo_20,44.0,rbo_20__rbo_20_equity_equal
rema_50100150__rbo_20_equity_equal,11077.770500000006,10.77770500000006,-11.742695031689077,rema_50100150__rbo_20,210.0,rema_50100150__rbo_20_equity_equal
rsma_50100150__rtt_5020_equity_equal,11048.094599999995,10.480945999999957,-11.65875422004577,rsma_50100150__rtt_5020,141.0,rsma_50100150__rtt_5020_equity_equal
rema_100150__rbo_20_equity_equal,10997.992599999983,9.979925999999839,-12.48067986779087,rema_100150__rbo_20,419.0,rema_100150__rbo_20_equity_equal
rbo_50__rbo_20_equity_equal,10951.575700000018,9.51575700000018,-9.135085533371573,rbo_50__rbo_20,209.0,rbo_50__rbo_20_equity_equal
rbo_50__rsma_50100_equity_equal,10905.728099999984,9.05728099999983,-9.014464203589572,rbo_50__rsma_50100,100.0,rbo_50__rsma_50100_equity_equal
rsma_50100150__rbo_50_equity_equal,10896.038699999988,8.96038699999988,-10.332028827591856,rsma_50100150__rbo_50,198.0,rsma_50100150__rbo_50_equity_equal
rtt_5020__rbo_20_equity_equal,10884.640599999999,8.846405999999995,-10.838162298396181,rtt_5020__rbo_20,33.0,rtt_5020__rbo_20_equity_equal
rbo_50__rema_100150_equity_equal,10874.54739999998,8.745473999999787,-10.386252146272286,rbo_50__rema_100150,105.0,rbo_50__rema_100150_equity_equal
rsma_50100__rbo_20_equity_equal,10848.208799999986,8.482087999999855,-9.929101300785614,rsma_50100__rbo_20,331.0,rsma_50100__rbo_20_equity_equal
rbo_20_equity_equal,10819.519099999961,8.195190999999614,-14.647539777930133,rbo_20,,rbo_20_equity_equal
rbo_50__rbo_50_equity_equal,10782.991899999994,7.829918999999941,-8.247876365051528,rbo_50__rbo_50,21.0,rbo_50__rbo_50_equity_equal
rbo_50__rtt_5020_equity_equal,10782.991899999994,7.829918999999941,-8.247876365051528,rbo_50__rtt_5020,21.0,rbo_50__rtt_5020_equity_equal
rbo_100__rbo_20_equity_equal,10777.335200000009,7.773352000000089,-9.847555613010949,rbo_100__rbo_20,353.0,rbo_100__rbo_20_equity_equal
rsma_50100150__rema_100150_equity_equal,10769.433500000005,7.694335000000052,-11.009439031596404,rsma_50100150__rema_100150,98.0,rsma_50100150__rema_100150_equity_equal
rema_50100150__rtt_5020_equity_equal,10766.088599999986,7.660885999999856,-10.159585067376636,rema_50100150__rtt_5020,113.0,rema_50100150__rtt_5020_equity_equal
rbo_50__rbo_100_equity_equal,10753.660600000005,7.536606000000057,-8.097358864436051,rbo_50__rbo_100,105.0,rbo_50__rbo_100_equity_equal
rbo_20__rtt_5020_equity_equal,10739.301500000001,7.393015000000025,-10.169766644153402,rbo_20__rtt_5020,32.0,rbo_20__rtt_5020_equity_equal
rema_100150__rsma_50100150_equity_equal,10732.668699999993,7.326686999999921,-9.730944753995932,rema_100150__rsma_50100150,472.0,rema_100150__rsma_50100150_equity_equal
rema_50100__rbo_20_equity_equal,10712.116699999979,7.121166999999784,-8.526585996218499,rema_50100__rbo_20,379.0,rema_50100__rbo_20_equity_equal
rema_50100__rema_100150_equity_equal,10698.060299999985,6.980602999999852,-9.743219798911708,rema_50100__rema_100150,84.0,rema_50100__rema_100150_equity_equal
rema_100150__rema_100150_equity_equal,10677.614800000014,6.776148000000148,-10.78526417589767,rema_100150__rema_100150,12.0,rema_100150__rema_100150_equity_equal
rbo_20__rema_100150_equity_equal,10674.99739999999,6.749973999999903,-10.311170130619383,rbo_20__rema_100150,139.0,rbo_20__rema_100150_equity_equal
rema_100150__rsma_50100_equity_equal,10674.723099999994,6.7472309999999425,-9.888949199083795,rema_100150__rsma_50100,224.0,rema_100150__rsma_50100_equity_equal
rtt_5020_equity_constant,10658.910699999997,6.589106999999972,-80.00677314381883,rtt_5020,,rtt_5020_equity_constant
rema_50100__rsma_50100_equity_equal,10636.945199999996,6.369451999999964,-8.291084395407223,rema_50100__rsma_50100,156.0,rema_50100__rsma_50100_equity_equal
rtt_5020__rsma_50100_equity_equal,10630.219200000003,6.30219200000004,-7.9562696846855,rtt_5020__rsma_50100,89.0,rtt_5020__rsma_50100_equity_equal
rema_50100150__rsma_50100_equity_equal,10622.07969999997,6.220796999999689,-9.047803307097556,rema_50100150__rsma_50100,94.0,rema_50100150__rsma_50100_equity_equal
rbo_20__rbo_50_equity_equal,10604.97249999997,6.049724999999717,-8.944498618074643,rbo_20__rbo_50,153.0,rbo_20__rbo_50_equity_equal
rema_50100__rbo_100_equity_equal,10599.0961,5.990961000000006,-8.143478376628593,rema_50100__rbo_100,122.0,rema_50100__rbo_100_equity_equal
rbo_20__rsma_50100150_equity_equal,10593.441799999968,5.934417999999675,-7.1771204392066705,rbo_20__rsma_50100150,345.0,rbo_20__rsma_50100150_equity_equal
rtt_5020__rema_100150_equity_equal,10592.952899999962,5.9295289999996115,-9.850058012425668,rtt_5020__rema_100150,97.0,rtt_5020__rema_100150_equity_equal
rsma_50100150__rsma_50100_equity_equal,10587.40299999998,5.874029999999797,-8.244388561600571,rsma_50100150__rsma_50100,156.0,rsma_50100150__rsma_50100_equity_equal
rema_100150__rtt_5020_equity_equal,10584.684599999948,5.846845999999473,-9.64664572078283,rema_100150__rtt_5020,240.0,rema_100150__rtt_5020_equity_equal
rbo_100__rema_100150_equity_equal,10578.497299999968,5.784972999999671,-9.925179683200094,rbo_100__rema_100150,78.0,rbo_100__rema_100150_equity_equal
rbo_50__rsma_100150_equity_equal,10577.632699999984,5.776326999999837,-8.525352704407698,rbo_50__rsma_100150,232.0,rbo_50__rsma_100150_equity_equal
rema_50100__rema_50100150_equity_equal,10568.347299999998,5.683472999999983,-8.71965589839487,rema_50100__rema_50100150,529.0,rema_50100__rema_50100150_equity_equal
rbo_50__rema_50100_equity_equal,10567.019500000015,5.670195000000144,-7.63162223378586,rbo_50__rema_50100,56.0,rbo_50__rema_50100_equity_equal
rsma_50100150__rema_50100150_equity_equal,10556.985099999998,5.569850999999981,-8.228861194247648,rsma_50100150__rema_50100150,230.0,rsma_50100150__rema_50100150_equity_equal
rbo_20__rsma_50100_equity_equal,10539.460099999997,5.394600999999977,-8.072946418973832,rbo_20__rsma_50100,196.0,rbo_20__rsma_50100_equity_equal
rema_50100150__rbo_50_equity_equal,10536.728700000005,5.367287000000043,-8.115586958578275,rema_50100150__rbo_50,143.0,rema_50100150__rbo_50_equity_equal
rsma_100150__rbo_20_equity_equal,10526.425699999998,5.264256999999972,-7.94005506119421,rsma_100150__rbo_20,396.0,rsma_100150__rbo_20_equity_equal
rtt_5020_equity_equal,10524.815399999983,5.248153999999827,-9.682165445908133,rtt_5020,,rtt_5020_equity_equal
rtt_5020__rbo_50_equity_equal,10517.211800000016,5.172118000000148,-8.028046998411021,rtt_5020__rbo_50,21.0,rtt_5020__rbo_50_equity_equal
rtt_5020__rtt_5020_equity_equal,10517.211800000016,5.172118000000148,-8.028046998411021,rtt_5020__rtt_5020,21.0,rtt_5020__rtt_5020_equity_equal
rbo_20__rema_50100150_equity_equal,10517.111899999967,5.171118999999669,-8.648470627320846,rbo_20__rema_50100150,428.0,rbo_20__rema_50100150_equity_equal
rema_100150__rema_50100150_equity_equal,10511.664899999963,5.11664899999964,-8.824932098909482,rema_100150__rema_50100150,560.0,rema_100150__rema_50100150_equity_equal
rema_50100__rsma_100150_equity_equal,10510.239599999988,5.102395999999887,-8.830482111833406,rema_50100__rsma_100150,226.0,rema_50100__rsma_100150_equity_equal
rtt_5020__rbo_100_equity_equal,10505.377499999986,5.0537749999998605,-7.930235619635563,rtt_5020__rbo_100,87.0,rtt_5020__rbo_100_equity_equal
rema_100150__rbo_100_equity_equal,10495.735500000004,4.957355000000052,-9.428950322155599,rema_100150__rbo_100,179.0,rema_100150__rbo_100_equity_equal
rsma_100150__rsma_50100150_equity_equal,10488.92939999999,4.889293999999911,-7.966339207975115,rsma_100150__rsma_50100150,410.0,rsma_100150__rsma_50100150_equity_equal
