equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_100150__rbo_50_equity_concave,115394.4580999998,1053.9445809999982,-94.66063232026217,rema_100150__rbo_50,85.0,rema_100150__rbo_50_equity_concave
rema_100150__rsma_100150_equity_concave,94879.22479999982,848.7922479999983,-93.50612906778301,rema_100150__rsma_100150,30.0,rema_100150__rsma_100150_equity_concave
rema_100150__rema_50100_equity_concave,83271.35699999981,732.7135699999982,-92.60089588788613,rema_100150__rema_50100,36.0,rema_100150__rema_50100_equity_concave
rema_100150__rbo_100_equity_concave,82635.60059999986,726.3560059999985,-92.54397093351552,rema_100150__rbo_100,50.0,rema_100150__rbo_100_equity_concave
rema_100150__rsma_50100_equity_concave,79747.09129999984,697.4709129999984,-92.27390704844426,rema_100150__rsma_50100,55.0,rema_100150__rsma_50100_equity_concave
rema_100150__rsma_100150_equity_convex,78024.23389999988,680.2423389999988,-92.10330676505365,rema_100150__rsma_100150,30.0,rema_100150__rsma_100150_equity_convex
rema_100150__rema_50100_equity_convex,65840.4365999999,558.404365999999,-90.64202074261455,rema_100150__rema_50100,36.0,rema_100150__rema_50100_equity_convex
rema_100150__rbo_50_equity_convex,62721.65469999986,527.2165469999986,-90.17670303905419,rema_100150__rbo_50,85.0,rema_100150__rbo_50_equity_convex
rema_100150__rsma_50100_equity_convex,60903.16889999986,509.0316889999986,-89.8833927506849,rema_100150__rsma_50100,55.0,rema_100150__rsma_50100_equity_convex
rema_100150__rbo_100_equity_convex,60343.550199999925,503.43550199999925,-89.78957257307673,rema_100150__rbo_100,50.0,rema_100150__rbo_100_equity_convex
rbo_100__rema_100150_equity_concave,46854.56539999995,368.5456539999995,-84.37833978927482,rbo_100__rema_100150,29.0,rbo_100__rema_100150_equity_concave
rema_100150__rema_100150_equity_convex,45330.63859999998,353.30638599999975,-86.40801323279833,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_convex
rema_100150__rema_100150_equity_concave,45330.63859999998,353.30638599999975,-86.40801323279833,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_concave
rtt_5020__rema_100150_equity_concave,38031.7984,280.31798399999997,-102.83523274040071,rtt_5020__rema_100150,12.0,rtt_5020__rema_100150_equity_concave
rbo_20__rema_100150_equity_concave,38031.7984,280.31798399999997,-102.83523274040071,rbo_20__rema_100150,12.0,rbo_20__rema_100150_equity_concave
rbo_100__rema_100150_equity_convex,34306.87259999999,243.06872599999986,-78.664738446605,rbo_100__rema_100150,29.0,rbo_100__rema_100150_equity_convex
rtt_5020__rema_100150_equity_convex,34144.37090000001,241.44370900000007,-103.1580315336839,rtt_5020__rema_100150,12.0,rtt_5020__rema_100150_equity_convex
rbo_20__rema_100150_equity_convex,34144.37090000001,241.44370900000007,-103.1580315336839,rbo_20__rema_100150,12.0,rbo_20__rema_100150_equity_convex
rbo_50__rema_100150_equity_concave,33621.60019999999,236.21600199999992,-105.55068762015676,rbo_50__rema_100150,26.0,rbo_50__rema_100150_equity_concave
rema_100150__rtt_5020_equity_concave,32617.88119999991,226.17881199999908,-82.67685967039931,rema_100150__rtt_5020,57.0,rema_100150__rtt_5020_equity_concave
rema_100150__rsma_50100150_equity_concave,31401.596699999987,214.01596699999988,-80.63301284294239,rema_100150__rsma_50100150,97.0,rema_100150__rsma_50100150_equity_concave
rtt_5020__rsma_100150_equity_concave,31023.51459999999,210.2351459999999,-103.11929827096932,rtt_5020__rsma_100150,12.0,rtt_5020__rsma_100150_equity_concave
rema_100150__rsma_50100150_equity_convex,28557.87840000001,185.5787840000001,-75.68355252888807,rema_100150__rsma_50100150,97.0,rema_100150__rsma_50100150_equity_convex
rema_50100__rema_100150_equity_concave,28364.639899999976,183.64639899999978,-106.31822581325983,rema_50100__rema_100150,29.0,rema_50100__rema_100150_equity_concave
rtt_5020__rsma_100150_equity_convex,28266.88460000001,182.66884600000012,-103.45165939319985,rtt_5020__rsma_100150,12.0,rtt_5020__rsma_100150_equity_convex
rema_100150__rtt_5020_equity_convex,27686.939399999905,176.86939399999906,-78.17893461294558,rema_100150__rtt_5020,57.0,rema_100150__rtt_5020_equity_convex
rbo_50__rema_100150_equity_convex,23404.3561,134.043561,-107.97385748202657,rbo_50__rema_100150,26.0,rbo_50__rema_100150_equity_convex
rbo_20__rsma_100150_equity_convex,21492.404200000045,114.92404200000044,-103.45165939319985,rbo_20__rsma_100150,28.0,rbo_20__rsma_100150_equity_convex
rsma_100150__rbo_50_equity_concave,21244.302199999995,112.44302199999994,-78.37484723743312,rsma_100150__rbo_50,75.0,rsma_100150__rbo_50_equity_concave
rema_50100__rema_100150_equity_convex,20877.374099999965,108.77374099999963,-108.58413510921375,rema_50100__rema_100150,29.0,rema_50100__rema_100150_equity_convex
rbo_20__rsma_100150_equity_concave,20704.26360000004,107.04263600000039,-103.11929827096932,rbo_20__rsma_100150,28.0,rbo_20__rsma_100150_equity_concave
rsma_100150__rbo_50_equity_convex,20333.786999999986,103.33786999999988,-76.85471803061638,rsma_100150__rbo_50,75.0,rsma_100150__rbo_50_equity_convex
rema_100150__rbo_20_equity_concave,18535.618300000013,85.35618300000012,-72.8228059798385,rema_100150__rbo_20,72.0,rema_100150__rbo_20_equity_concave
rema_100150__rbo_20_equity_convex,18526.433499999992,85.26433499999993,-68.36552480350446,rema_100150__rbo_20,72.0,rema_100150__rbo_20_equity_convex
rsma_50100__rema_100150_equity_concave,18091.49369999998,80.91493699999981,-109.8667823998455,rsma_50100__rema_100150,31.0,rsma_50100__rema_100150_equity_concave
rsma_50100__rema_100150_equity_convex,17935.94809999996,79.3594809999996,-109.99190001001398,rsma_50100__rema_100150,31.0,rsma_50100__rema_100150_equity_convex
rbo_20__rtt_5020_equity_convex,15644.165199999976,56.441651999999756,-106.89260172220627,rbo_20__rtt_5020,7.0,rbo_20__rtt_5020_equity_convex
rbo_100__rbo_50_equity_concave,15630.59359999999,56.30593599999989,-70.13533638468219,rbo_100__rbo_50,41.0,rbo_100__rbo_50_equity_concave
rbo_100__rtt_5020_equity_convex,13530.689699999948,35.30689699999947,-54.98144317758167,rbo_100__rtt_5020,28.0,rbo_100__rtt_5020_equity_convex
rbo_100__rbo_50_equity_convex,13399.53809999999,33.9953809999999,-64.72678636093144,rbo_100__rbo_50,41.0,rbo_100__rbo_50_equity_convex
rbo_100__rema_50100150_equity_convex,13326.464999999998,33.26464999999998,-43.59991919121969,rbo_100__rema_50100150,100.0,rbo_100__rema_50100150_equity_convex
rbo_100__rema_50100150_equity_concave,13295.343799999986,32.953437999999856,-54.78719227505493,rbo_100__rema_50100150,100.0,rbo_100__rema_50100150_equity_concave
rema_100150__rema_50100150_equity_convex,12519.359000000044,25.193590000000434,-46.9389970520084,rema_100150__rema_50100150,88.0,rema_100150__rema_50100150_equity_convex
rbo_100__rbo_20_equity_concave,12485.178700000026,24.851787000000257,-56.23729726899918,rbo_100__rbo_20,57.0,rbo_100__rbo_20_equity_concave
rsma_50100150__rbo_20_equity_constant,11966.069499999985,19.66069499999985,-18.801519925917418,rsma_50100150__rbo_20,47.0,rsma_50100150__rbo_20_equity_constant
rsma_50100__rsma_50100150_equity_constant,11938.656200000012,19.38656200000013,-21.025440378138153,rsma_50100__rsma_50100150,83.0,rsma_50100__rsma_50100150_equity_constant
rsma_50100150__rema_50100150_equity_constant,11930.4092,19.304092000000004,-28.3401347321561,rsma_50100150__rema_50100150,34.0,rsma_50100150__rema_50100150_equity_constant
rsma_50100150__rsma_50100_equity_constant,11876.053499999995,18.760534999999944,-20.879212615018417,rsma_50100150__rsma_50100,36.0,rsma_50100150__rsma_50100_equity_constant
rtt_5020_equity_constant,11825.99270000001,18.259927000000097,-29.664377146270198,rtt_5020,,rtt_5020_equity_constant
rbo_100__rbo_20_equity_convex,11808.566500000023,18.08566500000022,-49.89835256253418,rbo_100__rbo_20,57.0,rbo_100__rbo_20_equity_convex
rsma_50100150__rsma_100150_equity_constant,11763.754900000005,17.637549000000053,-27.032257650688972,rsma_50100150__rsma_100150,12.0,rsma_50100150__rsma_100150_equity_constant
rsma_50100150__rsma_50100150_equity_constant,11717.335499999996,17.173354999999944,-26.737300405901948,rsma_50100150__rsma_50100150,4.0,rsma_50100150__rsma_50100150_equity_constant
