combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,1,6,0,0,19,139,376,3.5580524344569286,26.02996254681648,70.4119850187266,19.0,23.166666666666668,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,32,1,31,0,0,47,140,347,8.801498127340825,26.217228464419474,64.9812734082397,47.0,4.516129032258065,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,19,1,18,0,0,54,197,283,10.112359550561797,36.89138576779026,52.99625468164793,54.0,10.944444444444445,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,1,6,0,0,47,167,320,8.801498127340825,31.273408239700373,59.925093632958806,47.0,27.833333333333332,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,22,1,21,0,0,58,189,287,10.861423220973784,35.39325842696629,53.745318352059925,58.0,9.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,28,9,18,0,1,10,237,287,1.8726591760299627,44.38202247191011,53.745318352059925,1.1111111111111112,13.166666666666666,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,61,10,51,0,0,10,129,395,1.8726591760299627,24.15730337078652,73.97003745318352,1.0,2.5294117647058822,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,19,1,18,0,0,54,225,255,10.112359550561797,42.13483146067416,47.752808988764045,54.0,12.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,12,9,2,0,1,10,277,247,1.8726591760299627,51.87265917602997,46.254681647940075,1.1111111111111112,138.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,49,10,39,0,0,10,127,397,1.8726591760299627,23.782771535580522,74.34456928838952,1.0,3.2564102564102564,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,39,15,24,0,0,33,106,395,6.179775280898876,19.850187265917604,73.97003745318352,2.2,4.416666666666667,True,
