equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_concave,120627.86939999997,1106.2786939999996,-94.0527167083917,rtt_5020,,rtt_5020
rtt_5020_equity_convex,80185.65100000006,701.8565100000005,-90.4980175163517,rtt_5020,,rtt_5020
rbo_50__rbo_20_equity_concave,73484.42299999975,634.8442299999974,-91.72470602711218,rbo_50__rbo_20,50.0,rbo_50__rbo_20
rbo_100__rbo_20_equity_concave,72891.4665999997,628.9146659999969,-91.94548062077482,rbo_100__rbo_20,55.0,rbo_100__rbo_20
rbo_50__rbo_20_equity_convex,50581.1095999999,405.811095999999,-86.29672841475494,rbo_50__rbo_20,50.0,rbo_50__rbo_20
rbo_100__rbo_20_equity_convex,50049.02629999989,400.49026299999883,-86.45865099927532,rbo_100__rbo_20,55.0,rbo_100__rbo_20
rsma_50100150__rbo_20_equity_concave,44192.20169999986,341.92201699999856,-89.43000818849389,rsma_50100150__rbo_20,51.0,rsma_50100150__rbo_20
rema_50100150__rbo_20_equity_concave,44192.20169999986,341.92201699999856,-89.43000818849389,rema_50100150__rbo_20,51.0,rema_50100150__rbo_20
rbo_20__rbo_20_equity_concave,43551.33610000005,335.51336100000054,-84.5215908478744,rbo_20__rbo_20,8.0,rbo_20__rbo_20
rtt_5020__rbo_20_equity_concave,43551.33610000005,335.51336100000054,-84.5215908478744,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rbo_50__rsma_50100150_equity_concave,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_50__rsma_50100150,1.0,rbo_50__rsma_50100150
rbo_50__rbo_100_equity_convex,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_50__rbo_100,1.0,rbo_50__rbo_100
rbo_50__rsma_50100150_equity_convex,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_50__rsma_50100150,1.0,rbo_50__rsma_50100150
rbo_50__rema_50100150_equity_concave,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_50__rema_50100150,1.0,rbo_50__rema_50100150
rbo_100__rema_50100150_equity_concave,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_100__rema_50100150,1.0,rbo_100__rema_50100150
rbo_100__rema_50100150_equity_convex,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_100__rema_50100150,1.0,rbo_100__rema_50100150
rbo_50__rema_50100150_equity_convex,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_50__rema_50100150,1.0,rbo_50__rema_50100150
rbo_100__rsma_50100150_equity_concave,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_100__rsma_50100150,1.0,rbo_100__rsma_50100150
rbo_50__rbo_100_equity_concave,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_50__rbo_100,1.0,rbo_50__rbo_100
rbo_100__rbo_100_equity_concave,42512.48499999997,325.12484999999975,-79.18417009090885,rbo_100__rbo_100,1.0,rbo_100__rbo_100
