equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rsma_100150_equity_concave,12286.173700000007,22.86173700000007,-50.57791700521144,rsma_50100150__rsma_100150,7.0,rsma_50100150__rsma_100150_equity_concave
rsma_50100150__rsma_100150_equity_convex,12279.385200000004,22.793852000000037,-50.57791700521144,rsma_50100150__rsma_100150,7.0,rsma_50100150__rsma_100150_equity_convex
rsma_50100__rbo_20_equity_constant,11671.012700000003,16.71012700000003,-14.961166994531697,rsma_50100__rbo_20,30.0,rsma_50100__rbo_20_equity_constant
rema_50100__rsma_50100_equity_constant,11380.585700000003,13.805857000000032,-13.579492661788068,rema_50100__rsma_50100,15.0,rema_50100__rsma_50100_equity_constant
rsma_50100__rema_100150_equity_constant,11334.871499999992,13.348714999999922,-12.439298495796738,rsma_50100__rema_100150,14.0,rsma_50100__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,11274.155600000002,12.74155600000002,-11.967748609039967,rema_50100__rema_100150,10.0,rema_50100__rema_100150_equity_constant
rema_50100150__rsma_100150_equity_concave,11244.040300000002,12.440403000000021,-58.44275277318979,rema_50100150__rsma_100150,14.0,rema_50100150__rsma_100150_equity_concave
rema_50100150__rsma_100150_equity_convex,11210.278300000004,12.102783000000027,-58.44275277318979,rema_50100150__rsma_100150,14.0,rema_50100150__rsma_100150_equity_convex
rsma_50100150__rbo_100_equity_concave,11198.928900000004,11.989289000000047,-50.57791700521144,rsma_50100150__rbo_100,7.0,rsma_50100150__rbo_100_equity_concave
rsma_50100150__rbo_100_equity_convex,11192.734000000006,11.927340000000065,-50.57791700521144,rsma_50100150__rbo_100,7.0,rsma_50100150__rbo_100_equity_convex
rema_100150__rsma_50100_equity_constant,11170.816999999997,11.708169999999974,-11.199198769436435,rema_100150__rsma_50100,10.0,rema_100150__rsma_50100_equity_constant
rsma_50100__rsma_50100_equity_constant,11160.219099999998,11.602190999999994,-11.873057223401627,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_constant
rema_50100__rbo_50_equity_constant,11129.213599999997,11.292135999999964,-10.821255151397198,rema_50100__rbo_50,8.0,rema_50100__rbo_50_equity_constant
rema_50100__rtt_5020_equity_constant,11129.213599999997,11.292135999999964,-10.821255151397198,rema_50100__rtt_5020,8.0,rema_50100__rtt_5020_equity_constant
rtt_5020__rbo_100_equity_constant,11087.165100000004,10.87165100000005,-12.007638453945312,rtt_5020__rbo_100,2.0,rtt_5020__rbo_100_equity_constant
rbo_50__rbo_100_equity_constant,11087.165100000004,10.87165100000005,-12.007638453945312,rbo_50__rbo_100,2.0,rbo_50__rbo_100_equity_constant
rsma_50100__rema_50100_equity_constant,11045.6766,10.456766000000005,-11.6683019671244,rsma_50100__rema_50100,13.0,rsma_50100__rema_50100_equity_constant
rbo_20__rema_100150_equity_constant,11039.3075,10.393075000000017,-9.965120547643043,rbo_20__rema_100150,8.0,rbo_20__rema_100150_equity_constant
rema_50100__rema_50100_equity_constant,11025.448600000003,10.254486000000028,-10.602221663796994,rema_50100__rema_50100,3.0,rema_50100__rema_50100_equity_constant
rbo_20__rema_50100_equity_constant,11011.442399999998,10.114423999999978,-10.456433936393251,rbo_20__rema_50100,4.0,rbo_20__rema_50100_equity_constant
rtt_5020_equity_constant,11000.078900000008,10.000789000000076,-19.870089929609268,rtt_5020,,rtt_5020_equity_constant
