equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rsma_50100150_equity_concave,127131.58780000007,1171.3158780000006,-94.81143242272653,rsma_50100150__rsma_50100150,7.0,rsma_50100150__rsma_50100150
rbo_50__rsma_50100150_equity_concave,104620.54739999991,946.2054739999991,-95.51606350408244,rbo_50__rsma_50100150,58.0,rbo_50__rsma_50100150
rbo_20__rsma_50100150_equity_concave,100379.0898999999,903.7908989999992,-96.54881468755345,rbo_20__rsma_50100150,33.0,rbo_20__rsma_50100150
rtt_5020__rsma_50100150_equity_concave,89104.83549999986,791.0483549999987,-96.54881468755345,rtt_5020__rsma_50100150,28.0,rtt_5020__rsma_50100150
rbo_50__rsma_50100150_equity_convex,87626.52930000004,776.2652930000004,-93.90398708456763,rbo_50__rsma_50100150,58.0,rbo_50__rsma_50100150
rsma_50100150__rsma_50100150_equity_convex,81474.31660000006,714.7431660000005,-91.55173037927926,rsma_50100150__rsma_50100150,7.0,rsma_50100150__rsma_50100150
rbo_20__rsma_50100150_equity_convex,69953.56220000007,599.5356220000008,-94.04789526366608,rbo_20__rsma_50100150,33.0,rbo_20__rsma_50100150
rtt_5020__rsma_50100150_equity_convex,59244.307800000046,492.4430780000004,-94.04789526366608,rtt_5020__rsma_50100150,28.0,rtt_5020__rsma_50100150
rbo_100__rsma_50100150_equity_concave,52716.95560000006,427.16955600000057,-98.60881697063479,rbo_100__rsma_50100150,41.0,rbo_100__rsma_50100150
rbo_100__rsma_50100150_equity_convex,47333.58969999999,373.33589699999993,-98.06897106663996,rbo_100__rsma_50100150,41.0,rbo_100__rsma_50100150
rema_50100150__rsma_50100150_equity_concave,46480.15319999989,364.80153199999893,-93.22530099658925,rema_50100150__rsma_50100150,63.0,rema_50100150__rsma_50100150
rema_50100150__rsma_50100150_equity_convex,37887.29820000001,278.87298200000015,-87.29591003454084,rema_50100150__rsma_50100150,63.0,rema_50100150__rsma_50100150
rbo_50__rtt_5020_equity_concave,32540.17959999998,225.40179599999982,-87.23193100797414,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_concave,32540.17959999998,225.40179599999982,-87.23193100797414,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rbo_50__rbo_100_equity_concave,28312.46179999991,183.12461799999912,-86.2161151378709,rbo_50__rbo_100,28.0,rbo_50__rbo_100
rbo_50__rbo_50_equity_convex,25810.53249999997,158.1053249999997,-80.24778646226423,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_convex,25810.53249999997,158.1053249999997,-80.24778646226423,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rsma_50100150__rbo_20_equity_concave,24398.675799999965,143.98675799999964,-81.48267784439089,rsma_50100150__rbo_20,66.0,rsma_50100150__rbo_20
rbo_50__rbo_100_equity_convex,22704.363599999946,127.04363599999944,-81.74172255925552,rbo_50__rbo_100,28.0,rbo_50__rbo_100
rsma_50100150__rbo_20_equity_convex,19044.380399999976,90.44380399999976,-70.82338780648902,rsma_50100150__rbo_20,66.0,rsma_50100150__rbo_20
rsma_50100150__rsma_50100150_equity_constant,18667.2557,86.67255700000001,-49.65827125323837,rsma_50100150__rsma_50100150,7.0,rsma_50100150__rsma_50100150
rbo_20__rsma_50100150_equity_constant,17561.40449999999,75.61404499999989,-51.75243258111814,rbo_20__rsma_50100150,33.0,rbo_20__rsma_50100150
rbo_50__rsma_50100150_equity_constant,17271.0595,72.71059499999998,-52.60782930886999,rbo_50__rsma_50100150,58.0,rbo_50__rsma_50100150
rtt_5020__rsma_50100150_equity_constant,16567.290499999974,65.67290499999973,-51.75243258111814,rtt_5020__rsma_50100150,28.0,rtt_5020__rsma_50100150
rema_50100150__rsma_50100150_equity_constant,16076.852099999987,60.76852099999988,-49.200257356546,rema_50100150__rsma_50100150,63.0,rema_50100150__rsma_50100150
rbo_100__rsma_50100150_equity_constant,16063.764499999988,60.637644999999885,-52.97860159183254,rbo_100__rsma_50100150,41.0,rbo_100__rsma_50100150
rbo_100__rbo_100_equity_concave,15536.600399999985,55.36600399999985,-94.38754763992128,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rbo_50__rtt_5020_equity_constant,14104.955700000015,41.04955700000015,-44.57338399710328,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_constant,14104.955700000015,41.04955700000015,-44.57338399710328,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rbo_50__rema_50100150_equity_constant,13527.742300000002,35.277423000000006,-43.308323642854,rbo_50__rema_50100150,19.0,rbo_50__rema_50100150
rbo_100__rtt_5020_equity_constant,13463.135400000006,34.63135400000006,-43.7719751338787,rbo_100__rtt_5020,11.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_constant,13463.135400000006,34.63135400000006,-43.7719751338787,rbo_100__rbo_50,11.0,rbo_100__rbo_50
rema_50100150__rbo_50_equity_constant,13219.945999999998,32.19945999999998,-41.964841114132625,rema_50100150__rbo_50,23.0,rema_50100150__rbo_50
rsma_50100150__rbo_20_equity_constant,13140.363000000001,31.403630000000014,-30.075923261614996,rsma_50100150__rbo_20,66.0,rsma_50100150__rbo_20
rsma_50100150__rtt_5020_equity_constant,13057.975400000007,30.579754000000058,-43.324872269388436,rsma_50100150__rtt_5020,14.0,rsma_50100150__rtt_5020
rema_50100150__rtt_5020_equity_constant,13032.183800000006,30.321838000000056,-41.92726751999655,rema_50100150__rtt_5020,17.0,rema_50100150__rtt_5020
rsma_50100150__rema_50100150_equity_constant,12844.780999999995,28.44780999999996,-43.31368962372883,rsma_50100150__rema_50100150,15.0,rsma_50100150__rema_50100150
rbo_20__rema_50100150_equity_constant,12743.326600000004,27.433266000000046,-43.28251520119717,rbo_20__rema_50100150,13.0,rbo_20__rema_50100150
rsma_50100150__rbo_50_equity_constant,12731.18160000001,27.3118160000001,-43.28368449113473,rsma_50100150__rbo_50,16.0,rsma_50100150__rbo_50
rtt_5020__rema_50100150_equity_constant,12706.827600000008,27.06827600000008,-43.28251520119717,rtt_5020__rema_50100150,12.0,rtt_5020__rema_50100150
rbo_50__rbo_100_equity_constant,12684.390000000018,26.843900000000186,-42.96836334778152,rbo_50__rbo_100,28.0,rbo_50__rbo_100
rbo_20__rtt_5020_equity_constant,12680.56510000002,26.805651000000207,-43.33243797240057,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020
rbo_100__rema_50100150_equity_constant,12535.25669999999,25.352566999999905,-43.33633292531012,rbo_100__rema_50100150,19.0,rbo_100__rema_50100150
rbo_100__rbo_100_equity_constant,12377.439400000012,23.77439400000012,-42.818176750322955,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rbo_20__rbo_50_equity_constant,12284.068800000025,22.840688000000252,-43.334862979852616,rbo_20__rbo_50,12.0,rbo_20__rbo_50
rsma_50100150__rbo_100_equity_constant,12199.766400000011,21.997664000000118,-41.908555858157804,rsma_50100150__rbo_100,18.0,rsma_50100150__rbo_100
rema_50100150__rema_50100150_equity_constant,12131.836099999997,21.318360999999975,-41.94997525183105,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150
rtt_5020__rbo_50_equity_constant,11981.8877,19.818877,-43.326772045443455,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_constant,11981.8877,19.818877,-43.326772045443455,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020
rbo_100__rbo_100_equity_convex,11919.217699999992,19.19217699999991,-92.25791202022393,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rema_50100150__rbo_100_equity_constant,11345.707800000011,13.457078000000111,-41.97200154896563,rema_50100150__rbo_100,41.0,rema_50100150__rbo_100
rbo_20__rbo_100_equity_constant,11059.362300000012,10.593623000000107,-41.97467741946829,rbo_20__rbo_100,23.0,rbo_20__rbo_100
rbo_20__rbo_20_equity_constant,10824.915,8.249150000000016,-21.706960779112205,rbo_20__rbo_20,10.0,rbo_20__rbo_20
rsma_50100150_equity_equal,10817.49660000002,8.174966000000206,-8.625290570828406,rsma_50100150,,rsma_50100150
rtt_5020__rbo_100_equity_constant,10789.0131,7.890131,-41.96425706323256,rtt_5020__rbo_100,16.0,rtt_5020__rbo_100
rsma_50100150__rsma_50100150_equity_equal,10719.06200000002,7.190620000000192,-7.601479075741434,rsma_50100150__rsma_50100150,7.0,rsma_50100150__rsma_50100150
rrg_equity_equal,10707.987100000011,7.079871000000115,-8.296051780964556,rrg,,rrg
rbo_20__rsma_50100150_equity_equal,10624.091400000023,6.2409140000002195,-7.9814212650995655,rbo_20__rsma_50100150,33.0,rbo_20__rsma_50100150
rbo_50__rsma_50100150_equity_equal,10616.15940000001,6.161594000000092,-8.353912920417567,rbo_50__rsma_50100150,58.0,rbo_50__rsma_50100150
rtt_5020__rsma_50100150_equity_equal,10547.36590000002,5.473659000000208,-7.9814212650995655,rtt_5020__rsma_50100150,28.0,rtt_5020__rsma_50100150
rema_50100150__rsma_50100150_equity_equal,10523.516200000015,5.2351620000001375,-7.529204530314073,rema_50100150__rsma_50100150,63.0,rema_50100150__rsma_50100150
rbo_100__rsma_50100150_equity_equal,10506.533700000016,5.0653370000001585,-8.144384227156635,rbo_100__rsma_50100150,41.0,rbo_100__rsma_50100150
rbo_50__rbo_20_equity_constant,10477.126599999987,4.771265999999863,-30.050415064465273,rbo_50__rbo_20,99.0,rbo_50__rbo_20
rbo_50__rbo_50_equity_equal,10454.363099999995,4.543630999999948,-7.842155213679873,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_equal,10454.363099999995,4.543630999999948,-7.842155213679873,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_100__rbo_50_equity_equal,10435.424800000006,4.3542480000000605,-7.7467862851624645,rbo_100__rbo_50,11.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_equal,10435.424800000006,4.3542480000000605,-7.7467862851624645,rbo_100__rtt_5020,11.0,rbo_100__rtt_5020
rbo_50__rema_50100150_equity_equal,10430.870700000001,4.308707000000012,-7.741725765933275,rbo_50__rema_50100150,19.0,rbo_50__rema_50100150
rema_50100150__rbo_50_equity_equal,10423.342100000009,4.233421000000082,-7.432282828127048,rema_50100150__rbo_50,23.0,rema_50100150__rbo_50
rema_50100150__rtt_5020_equity_equal,10393.956900000012,3.9395690000001204,-7.436308283075461,rema_50100150__rtt_5020,17.0,rema_50100150__rtt_5020
rsma_50100150__rtt_5020_equity_equal,10380.305500000013,3.803055000000133,-7.634205144412083,rsma_50100150__rtt_5020,14.0,rsma_50100150__rtt_5020
rsma_50100150__rbo_20_equity_equal,10366.794500000007,3.6679450000000724,-4.595952765700429,rsma_50100150__rbo_20,66.0,rsma_50100150__rbo_20
rsma_50100150__rbo_50_equity_equal,10349.362500000008,3.493625000000078,-7.6300878059221,rsma_50100150__rbo_50,16.0,rsma_50100150__rbo_50
rbo_20__rema_50100150_equity_equal,10336.977800000015,3.3697780000001565,-7.633576884992473,rbo_20__rema_50100150,13.0,rbo_20__rema_50100150
rema_50100150__rbo_20_equity_constant,10335.828699999978,3.358286999999782,-30.087523643525394,rema_50100150__rbo_20,92.0,rema_50100150__rbo_20
rtt_5020__rema_50100150_equity_equal,10333.535000000014,3.335350000000137,-7.633576884992473,rtt_5020__rema_50100150,12.0,rtt_5020__rema_50100150
rsma_50100150__rema_50100150_equity_equal,10329.277200000013,3.2927720000001326,-7.657305920999545,rsma_50100150__rema_50100150,15.0,rsma_50100150__rema_50100150
rbo_100__rema_50100150_equity_equal,10322.715300000013,3.227153000000116,-7.643256791980485,rbo_100__rema_50100150,19.0,rbo_100__rema_50100150
rbo_50__rbo_100_equity_equal,10320.184599999997,3.201845999999975,-7.773029277488801,rbo_50__rbo_100,28.0,rbo_50__rbo_100
rbo_20__rtt_5020_equity_equal,10319.005400000015,3.190054000000142,-7.505753298424768,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020
rsma_50100150__rbo_100_equity_equal,10294.047000000019,2.940470000000195,-7.464336239448184,rsma_50100150__rbo_100,18.0,rsma_50100150__rbo_100
rema_50100150__rema_50100150_equity_equal,10292.734100000014,2.9273410000001387,-7.44113115965685,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150
rbo_100__rbo_100_equity_equal,10289.525900000015,2.895259000000161,-7.457863053868265,rbo_100__rbo_100,4.0,rbo_100__rbo_100
rbo_20__rbo_50_equity_equal,10288.177100000015,2.881771000000155,-7.519700505394201,rbo_20__rbo_50,12.0,rbo_20__rbo_50
rtt_5020__rbo_20_equity_constant,10277.138600000008,2.7713860000000645,-21.700272790899067,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20
rtt_5020__rtt_5020_equity_equal,10256.442700000018,2.564427000000169,-7.515694869763069,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020
rtt_5020__rbo_50_equity_equal,10256.442700000018,2.564427000000169,-7.515694869763069,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50
rbo_50_equity_equal,10233.4767,2.334766999999993,-8.225402988031355,rbo_50,,rbo_50
rema_50100150__rbo_100_equity_equal,10203.729800000016,2.037298000000165,-7.4661481000329415,rema_50100150__rbo_100,41.0,rema_50100150__rbo_100
rbo_20__rbo_100_equity_equal,10170.189900000018,1.7018990000001732,-7.489908840116083,rbo_20__rbo_100,23.0,rbo_20__rbo_100
rtt_5020__rbo_100_equity_equal,10139.05480000002,1.3905480000002024,-7.485825161384417,rtt_5020__rbo_100,16.0,rtt_5020__rbo_100
rbo_20__rbo_20_equity_equal,10128.033999999994,1.2803399999999465,-3.324318972519527,rbo_20__rbo_20,10.0,rbo_20__rbo_20
rbo_50__rbo_20_equity_equal,10120.2521,1.2025210000000008,-4.530565317430513,rbo_50__rbo_20,99.0,rbo_50__rbo_20
rbo_100_equity_equal,10110.531300000013,1.105313000000141,-7.66052221329624,rbo_100,,rbo_100
rema_50100150__rbo_20_equity_equal,10086.837199999998,0.8683719999999839,-4.555461402045362,rema_50100150__rbo_20,92.0,rema_50100150__rbo_20
rtt_5020__rbo_20_equity_equal,10063.6932,0.6369319999999901,-3.2963819272221304,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20
rema_50100150_equity_equal,10022.023100000017,0.2202310000001706,-7.532575278613915,rema_50100150,,rema_50100150
rbo_20__rtt_5020_equity_convex,9968.773899999986,-0.3122610000001469,-76.10707508197265,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020
rbo_100__rbo_20_equity_equal,9952.214499999998,-0.4778550000000159,-4.594916780011407,rbo_100__rbo_20,92.0,rbo_100__rbo_20
rtt_5020_equity_equal,9920.320199999993,-0.7967980000000763,-3.6649672228507546,rtt_5020,,rtt_5020
rbo_20_equity_equal,9652.021100000014,-3.4797889999998555,-5.360366488734707,rbo_20,,rbo_20
rtt_5020_equity_constant,9379.735400000003,-6.202645999999968,-24.342441358731023,rtt_5020,,rtt_5020
rbo_100__rbo_20_equity_constant,9013.798899999998,-9.862011000000015,-30.03755774516131,rbo_100__rbo_20,92.0,rbo_100__rbo_20
rbo_20__rbo_20_equity_convex,8772.866599999992,-12.271334000000078,-59.856606484552486,rbo_20__rbo_20,10.0,rbo_20__rbo_20
rbo_20__rtt_5020_equity_concave,8737.264399999985,-12.627356000000145,-76.11597235993996,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020
rbo_20__rbo_50_equity_convex,8448.623299999996,-15.513767000000044,-76.10156726340406,rbo_20__rbo_50,12.0,rbo_20__rbo_50
rbo_20__rbo_100_equity_convex,7802.0835999999945,-21.97916400000005,-75.77456171576686,rbo_20__rbo_100,23.0,rbo_20__rbo_100
rtt_5020__rbo_50_equity_convex,7749.669499999996,-22.50330500000004,-76.12403190673986,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_convex,7749.669499999996,-22.50330500000004,-76.12403190673986,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020
rbo_20__rbo_20_equity_concave,7511.6926,-24.883073999999993,-62.631062226303094,rbo_20__rbo_20,10.0,rbo_20__rbo_20
rtt_5020__rbo_20_equity_convex,7147.510900000002,-28.524890999999975,-61.2526387590107,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20
rtt_5020__rbo_100_equity_convex,6930.620399999971,-30.693796000000294,-75.78171535278373,rtt_5020__rbo_100,16.0,rtt_5020__rbo_100
rbo_50__rbo_20_equity_convex,6870.337899999979,-31.296621000000215,-74.55484389637388,rbo_50__rbo_20,99.0,rbo_50__rbo_20
rbo_20__rbo_50_equity_concave,6839.029199999994,-31.60970800000007,-79.94458122499896,rbo_20__rbo_50,12.0,rbo_20__rbo_50
rema_50100150__rbo_20_equity_convex,6311.75969999998,-36.88240300000021,-69.46585181660963,rema_50100150__rbo_20,92.0,rema_50100150__rbo_20
rtt_5020__rtt_5020_equity_concave,6230.819700000002,-37.69180299999998,-76.10637412382448,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020
rtt_5020__rbo_50_equity_concave,6230.819700000002,-37.69180299999998,-76.10637412382448,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50
rtt_5020__rbo_20_equity_concave,6129.802000000002,-38.70197999999998,-62.245473245346474,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20
rbo_50__rbo_20_equity_concave,5952.745599999973,-40.47254400000027,-74.44441540377767,rbo_50__rbo_20,99.0,rbo_50__rbo_20
rtt_5020_equity_convex,5819.284099999982,-41.80715900000018,-71.74258515401586,rtt_5020,,rtt_5020
rtt_5020_equity_concave,5758.368800000001,-42.41631199999999,-72.03457168256242,rtt_5020,,rtt_5020
rema_50100150__rbo_20_equity_concave,5330.250099999971,-46.697499000000285,-72.14283749522752,rema_50100150__rbo_20,92.0,rema_50100150__rbo_20
rbo_100__rtt_5020_equity_convex,4749.993300000002,-52.50006699999999,-84.15553,rbo_100__rtt_5020,11.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_convex,4749.993300000002,-52.50006699999999,-84.15553,rbo_100__rbo_50,11.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_concave,4731.983799999999,-52.68016200000001,-84.22370500000001,rbo_100__rtt_5020,11.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_concave,4731.983799999999,-52.68016200000001,-84.22370500000001,rbo_100__rbo_50,11.0,rbo_100__rbo_50
rsma_50100150__rtt_5020_equity_concave,4417.580999999988,-55.824190000000115,-88.023196618275,rsma_50100150__rtt_5020,14.0,rsma_50100150__rtt_5020
