combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,38,9,29,0,0,176,992,1398,6.858924395947,38.65939204988308,54.48168355416991,19.555555555555557,34.206896551724135,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,76,20,56,0,0,223,1379,964,8.690568978955573,53.74123148869836,37.568199532346064,11.15,24.625,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,99,25,74,0,0,240,1393,933,9.353078721745907,54.28682774746687,36.36009353078722,9.6,18.824324324324323,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,18,6,12,0,0,239,1423,904,9.3141075604053,55.455962587685114,35.22992985190959,39.833333333333336,118.58333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,133,24,108,0,1,245,1380,941,9.547934528448948,53.780202650038966,36.67186282151208,10.208333333333334,12.777777777777779,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,109,25,83,0,1,283,1425,858,11.02883865939205,55.533904910366324,33.43725643024162,11.32,17.16867469879518,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,441,26,415,0,0,243,637,1686,9.469992205767731,24.824629773967263,65.705378020265,9.346153846153847,1.5349397590361447,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,77,21,56,0,0,252,1465,849,9.820732657833203,57.092751363990644,33.08651597817615,12.0,26.160714285714285,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,59,15,43,0,1,304,1554,708,11.847233047544817,60.56118472330475,27.59158222915043,20.266666666666666,36.13953488372093,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,485,12,473,0,0,263,549,1754,10.249415432579891,21.395167575993764,68.35541699142634,21.916666666666668,1.160676532769556,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,273,36,237,0,0,173,1121,1272,6.742010911925175,43.68667186282151,49.57131722525332,4.805555555555555,4.729957805907173,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,16,4,12,0,0,207,1349,1010,8.067030397505846,52.57209664848013,39.360872954014035,51.75,112.41666666666667,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,89,9,80,0,0,224,1386,956,8.729540140296182,54.01402961808262,37.2564302416212,24.88888888888889,17.325,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,16,4,12,0,0,207,1349,1010,8.067030397505846,52.57209664848013,39.360872954014035,51.75,112.41666666666667,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,106,8,97,0,1,229,1418,919,8.924395946999221,55.261106780982075,35.814497272018706,28.625,14.618556701030927,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,137,20,115,1,1,278,1429,859,10.83398285268901,55.689789555728765,33.47622759158223,13.9,12.42608695652174,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,591,15,576,0,0,222,811,1533,8.651597817614965,31.605611847233046,59.74279033515199,14.8,1.4079861111111112,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,67,9,58,0,0,227,1448,891,8.846453624318004,56.43024162120032,34.72330475448168,25.22222222222222,24.96551724137931,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,67,10,55,1,1,299,1544,723,11.652377240841776,60.17147310989868,28.176149649259546,29.9,28.072727272727274,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,651,5,646,0,0,233,732,1601,9.080280592361651,28.52689010132502,62.392829306313324,46.6,1.13312693498452,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,307,47,260,0,0,171,1104,1291,6.66406858924396,43.02416212003118,50.31176929072486,3.6382978723404253,4.246153846153846,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,99,14,85,0,0,205,1280,1081,7.98908807482463,49.88308651597818,42.12782540919719,14.642857142857142,15.058823529411764,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,9,2,7,0,0,217,1360,989,8.456742010911924,53.00077942322681,38.54247856586126,108.5,194.28571428571428,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,81,14,67,0,0,205,1298,1063,7.98908807482463,50.58456742010912,41.42634450506625,14.642857142857142,19.37313432835821,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,68,1,66,0,1,222,1344,1000,8.651597817614965,52.37724084177708,38.97116134060795,222.0,20.363636363636363,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,69,14,53,1,1,272,1416,878,10.600155884645362,55.18316445830086,34.21667965705378,19.428571428571427,26.71698113207547,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,604,15,589,0,0,209,772,1585,8.144972720187061,30.08573655494934,61.7692907248636,13.933333333333334,1.3106960950764006,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,25,2,23,0,0,220,1388,958,8.57365549493375,54.09197194076384,37.33437256430241,110.0,60.34782608695652,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,30,3,25,1,1,292,1520,754,11.379579111457522,59.23616523772408,29.384255650818393,97.33333333333333,60.8,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,657,4,653,0,0,219,720,1627,8.534684333593141,28.05923616523772,63.40607950116913,54.75,1.1026033690658499,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,36,7,29,0,0,144,901,1521,5.611847233047545,35.11301636788776,59.275136399064685,20.571428571428573,31.06896551724138,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,16,4,12,0,0,207,1332,1027,8.067030397505846,51.909586905689785,40.02338269680437,51.75,111.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,56,9,47,0,0,224,1335,1007,8.729540140296182,52.026500389711615,39.243959469992205,24.88888888888889,28.404255319148938,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,16,4,12,0,0,207,1332,1027,8.067030397505846,51.909586905689785,40.02338269680437,51.75,111.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,80,8,71,0,1,229,1330,1007,8.924395946999221,51.831644583008575,39.243959469992205,28.625,18.732394366197184,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,93,20,72,0,1,278,1385,903,10.83398285268901,53.97505845674201,35.190958690568976,13.9,19.23611111111111,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,412,15,397,0,0,222,565,1779,8.651597817614965,22.01870615744349,69.32969602494154,14.8,1.4231738035264483,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,43,9,34,0,0,227,1407,932,8.846453624318004,54.83242400623538,36.321122369446606,25.22222222222222,41.38235294117647,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,40,10,29,0,1,299,1518,749,11.652377240841776,59.15822291504287,29.189399844115353,29.9,52.3448275862069,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,447,5,442,0,0,233,492,1841,9.080280592361651,19.17381137957911,71.74590802805923,46.6,1.1131221719457014,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,339,49,290,0,0,172,1114,1280,6.703039750584567,43.413873733437256,49.88308651597818,3.510204081632653,3.8413793103448275,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,117,16,101,0,0,206,1285,1075,8.028059236165237,50.07794232268121,41.89399844115355,12.875,12.722772277227723,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,67,4,63,0,0,218,1380,968,8.495713172252534,53.780202650038966,37.72408417770849,54.5,21.904761904761905,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,108,16,92,0,0,206,1332,1028,8.028059236165237,51.909586905689785,40.062353858144974,12.875,14.478260869565217,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,13,2,11,0,0,221,1358,987,8.612626656274356,52.92283710054559,38.46453624318005,110.5,123.45454545454545,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,99,14,84,1,0,272,1447,847,10.600155884645362,56.3912704598597,33.008573655494935,19.428571428571427,17.226190476190474,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,618,14,604,0,0,209,922,1435,8.144972720187061,35.931410756040535,55.92361652377241,14.928571428571429,1.5264900662251655,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,35,2,33,0,0,220,1422,924,8.57365549493375,55.41699142634451,36.009353078721745,110.0,43.09090909090909,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,42,3,38,1,0,292,1561,713,11.379579111457522,60.833982852689005,27.786438035853468,97.33333333333333,41.078947368421055,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,660,3,657,0,0,219,726,1621,8.534684333593141,28.293063133281372,63.17225253312549,73.0,1.1050228310502284,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,344,70,274,0,0,192,1126,1248,7.482462977396727,43.88152766952455,48.63600935307873,2.742857142857143,4.109489051094891,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,172,46,126,0,0,213,1298,1055,8.300857365549493,50.58456742010912,41.114575214341386,4.630434782608695,10.301587301587302,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,93,35,58,0,0,232,1352,982,9.041309431021045,52.68901013250195,38.269680436477,6.628571428571429,23.310344827586206,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,129,37,92,0,0,224,1332,1010,8.729540140296182,51.909586905689785,39.360872954014035,6.054054054054054,14.478260869565217,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,123,33,90,0,0,235,1309,1022,9.158222915042868,51.01325019485581,39.82852689010132,7.121212121212121,14.544444444444444,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,9,3,6,0,0,259,1366,941,10.093530787217459,53.234606391270454,36.67186282151208,86.33333333333333,227.66666666666666,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,636,34,601,1,0,305,769,1492,11.886204208885424,29.968823070927513,58.14497272018706,8.970588235294118,1.2795341098169717,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,65,27,38,0,0,241,1357,968,9.392049883086516,52.88386593920499,37.72408417770849,8.925925925925926,35.71052631578947,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,17,2,15,0,0,276,1495,795,10.756040530007795,58.26188620420889,30.98207326578332,138.0,99.66666666666667,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,679,27,652,0,0,241,773,1552,9.392049883086516,30.124707716289944,60.48324240062354,8.925925925925926,1.1855828220858895,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,156,76,80,0,0,218,602,1746,8.495713172252534,23.460639127045983,68.04364770070148,2.8684210526315788,7.525,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,114,48,66,0,0,246,1133,1187,9.586905689789555,44.15432579890881,46.25876851130163,5.125,17.166666666666668,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,118,43,75,0,0,258,1188,1120,10.05455962587685,46.297739672642244,43.6477007014809,6.0,15.84,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,81,43,38,0,0,251,1180,1135,9.781761496492596,45.985970381917376,44.232268121590025,5.837209302325581,31.05263157894737,True,
rsma_50100150__rsma_50100,rsma_50100150,rsma_50100,rrg,rsma_50100150__rsma_50100,129,41,88,0,0,261,1198,1107,10.171473109898676,46.68745128604833,43.141075604053,6.365853658536586,13.613636363636363,True,
rsma_50100150__rsma_100150,rsma_50100150,rsma_100150,rrg,rsma_50100150__rsma_100150,127,43,83,1,0,299,972,1295,11.652377240841776,37.879968823070925,50.467653936087295,6.953488372093023,11.710843373493976,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,18,5,13,0,0,275,328,1963,10.717069368667186,12.782540919719407,76.50038971161341,55.0,25.23076923076923,True,
rsma_50100150__rema_50100,rsma_50100150,rema_50100,rrg,rsma_50100150__rema_50100,90,41,49,0,0,260,1355,951,10.132501948558067,52.80592361652378,37.06157443491816,6.341463414634147,27.653061224489797,True,
rsma_50100150__rema_100150,rsma_50100150,rema_100150,rrg,rsma_50100150__rema_100150,64,37,26,1,0,311,1265,990,12.120031176929071,49.29851909586906,38.58144972720187,8.405405405405405,48.65384615384615,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,134,8,126,0,0,278,267,2021,10.83398285268901,10.405300077942323,78.76071706936867,34.75,2.119047619047619,True,
rema_50100__rbo_20,rema_50100,rbo_20,rrg,rema_50100__rbo_20,335,52,283,0,0,183,1161,1222,7.131722525331255,45.24551831644583,47.62275915822292,3.519230769230769,4.102473498233215,True,
rema_50100__rbo_50,rema_50100,rbo_50,rrg,rema_50100__rbo_50,128,23,105,0,0,213,1364,989,8.300857365549493,53.156664068589244,38.54247856586126,9.26086956521739,12.99047619047619,True,
rema_50100__rbo_100,rema_50100,rbo_100,rrg,rema_50100__rbo_100,74,11,63,0,0,225,1407,934,8.768511301636789,54.83242400623538,36.39906469212782,20.454545454545453,22.333333333333332,True,
rema_50100__rtt_5020,rema_50100,rtt_5020,rrg,rema_50100__rtt_5020,102,19,83,0,0,217,1386,963,8.456742010911924,54.01402961808262,37.52922837100546,11.421052631578947,16.698795180722893,True,
rema_50100__rsma_50100,rema_50100,rsma_50100,rrg,rema_50100__rsma_50100,83,8,74,0,1,229,1391,946,8.924395946999221,54.208885424785656,36.866718628215125,28.625,18.7972972972973,True,
rema_50100__rsma_100150,rema_50100,rsma_100150,rrg,rema_50100__rsma_100150,91,14,75,1,1,272,1428,866,10.600155884645362,55.65081839438816,33.749025720966486,19.428571428571427,19.04,True,
rema_50100__rsma_50100150,rema_50100,rsma_50100150,rrg,rema_50100__rsma_50100150,627,22,605,0,0,216,902,1448,8.417770849571317,35.15198752922837,56.43024162120032,9.818181818181818,1.490909090909091,True,
rema_50100__rema_50100,rema_50100,rema_50100,rrg,rema_50100__rema_50100,10,3,7,0,0,233,1442,891,9.080280592361651,56.196414653156666,34.72330475448168,77.66666666666667,206.0,True,
rema_50100__rema_100150,rema_50100,rema_100150,rrg,rema_50100__rema_100150,27,3,22,1,1,292,1545,729,11.379579111457522,60.21044427123928,28.409976617303194,97.33333333333333,70.22727272727273,True,
rema_50100__rema_50100150,rema_50100,rema_50100150,rrg,rema_50100__rema_50100150,709,5,704,0,0,232,809,1525,9.041309431021045,31.527669524551833,59.431021044427126,46.4,1.1491477272727273,True,
rema_100150__rbo_20,rema_100150,rbo_20,rrg,rema_100150__rbo_20,390,75,315,0,0,216,1212,1138,8.417770849571317,47.233047544816834,44.34918160561185,2.88,3.8476190476190477,True,
rema_100150__rbo_50,rema_100150,rbo_50,rrg,rema_100150__rbo_50,197,52,145,0,0,239,1382,945,9.3141075604053,53.85814497272019,36.82774746687451,4.596153846153846,9.53103448275862,True,
rema_100150__rbo_100,rema_100150,rbo_100,rrg,rema_100150__rbo_100,150,40,110,0,0,251,1418,897,9.781761496492596,55.261106780982075,34.95713172252533,6.275,12.89090909090909,True,
rema_100150__rtt_5020,rema_100150,rtt_5020,rrg,rema_100150__rtt_5020,156,42,114,0,0,249,1413,904,9.70381917381138,55.06625097427903,35.22992985190959,5.928571428571429,12.394736842105264,True,
