equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_20_equity_concave,23641.537699999983,136.41537699999984,-72.09629079435702,rbo_20__rbo_20,5.0,rbo_20__rbo_20
rsma_50100150__rtt_5020_equity_concave,22325.280799999982,123.2528079999998,-74.99903857865283,rsma_50100150__rtt_5020,25.0,rsma_50100150__rtt_5020
rsma_50100150__rtt_5020_equity_convex,20196.343,101.96342999999999,-70.2685497476748,rsma_50100150__rtt_5020,25.0,rsma_50100150__rtt_5020
rbo_20__rbo_20_equity_convex,19423.470199999996,94.23470199999997,-64.57171399974023,rbo_20__rbo_20,5.0,rbo_20__rbo_20
rbo_20__rema_50100150_equity_convex,14338.372200000007,43.38372200000007,-55.939569570913775,rbo_20__rema_50100150,73.0,rbo_20__rema_50100150
rsma_50100150__rbo_50_equity_concave,12678.331400000012,26.783314000000114,-69.78736619863606,rsma_50100150__rbo_50,36.0,rsma_50100150__rbo_50
rema_50100150__rema_50100150_equity_concave,12075.410799999994,20.75410799999995,-67.41706482998426,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150
rbo_20__rbo_20_equity_constant,11813.100199999993,18.13100199999993,-22.70728951056105,rbo_20__rbo_20,5.0,rbo_20__rbo_20
rsma_50100150__rtt_5020_equity_constant,11504.667400000002,15.046674000000015,-22.725633538857082,rsma_50100150__rtt_5020,25.0,rsma_50100150__rtt_5020
rsma_50100150__rbo_50_equity_convex,11465.317599999998,14.653175999999979,-59.78134514793526,rsma_50100150__rbo_50,36.0,rsma_50100150__rbo_50
rsma_50100150__rbo_20_equity_constant,11424.551099999995,14.245510999999954,-22.11548132392729,rsma_50100150__rbo_20,32.0,rsma_50100150__rbo_20
rbo_50__rema_50100150_equity_constant,11312.371700000002,13.123717000000013,-20.018792638615814,rbo_50__rema_50100150,109.0,rbo_50__rema_50100150
rbo_20__rema_50100150_equity_constant,11243.623700000006,12.43623700000005,-17.186756893749383,rbo_20__rema_50100150,73.0,rbo_20__rema_50100150
rbo_20__rema_50100150_equity_concave,11040.328999999992,10.40328999999993,-53.262345536502664,rbo_20__rema_50100150,73.0,rbo_20__rema_50100150
rema_50100150__rtt_5020_equity_constant,11016.891499999989,10.168914999999878,-24.007023913970908,rema_50100150__rtt_5020,21.0,rema_50100150__rtt_5020
