equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020__rsma_50100150_equity_convex,17191.732799999976,71.91732799999977,-77.37895490599573,rtt_5020__rsma_50100150,57.0,rtt_5020__rsma_50100150_equity_convex
rsma_50100__rbo_20_equity_constant,16616.929599999996,66.16929599999996,-39.96703373703821,rsma_50100__rbo_20,40.0,rsma_50100__rbo_20_equity_constant
rsma_50100__rema_50100150_equity_constant,16452.35019999999,64.5235019999999,-39.218410267002426,rsma_50100__rema_50100150,82.0,rsma_50100__rema_50100150_equity_constant
rsma_50100__rsma_50100_equity_constant,16056.6379,60.56637899999999,-37.80552530364478,rsma_50100__rsma_50100,4.0,rsma_50100__rsma_50100_equity_constant
rbo_100__rbo_20_equity_constant,15325.304000000002,53.25304000000002,-37.27628977137362,rbo_100__rbo_20,51.0,rbo_100__rbo_20_equity_constant
rsma_100150__rbo_20_equity_constant,15079.283500000001,50.792835000000004,-38.637404067278034,rsma_100150__rbo_20,60.0,rsma_100150__rbo_20_equity_constant
rsma_50100150__rsma_100150_equity_constant,14926.394500000006,49.263945000000064,-37.1046535089552,rsma_50100150__rsma_100150,62.0,rsma_50100150__rsma_100150_equity_constant
rsma_100150__rtt_5020_equity_constant,14896.710699999989,48.967106999999885,-35.85489788874131,rsma_100150__rtt_5020,43.0,rsma_100150__rtt_5020_equity_constant
rsma_50100__rsma_100150_equity_constant,14869.871200000003,48.69871200000002,-35.90835624377102,rsma_50100__rsma_100150,36.0,rsma_50100__rsma_100150_equity_constant
rbo_20__rbo_100_equity_constant,14671.830499999993,46.71830499999994,-36.721734877070446,rbo_20__rbo_100,25.0,rbo_20__rbo_100_equity_constant
rsma_50100__rtt_5020_equity_constant,14567.494400000009,45.674944000000096,-32.84749319108442,rsma_50100__rtt_5020,19.0,rsma_50100__rtt_5020_equity_constant
rsma_50100__rbo_50_equity_constant,14534.765500000009,45.34765500000009,-36.80088838822976,rsma_50100__rbo_50,47.0,rsma_50100__rbo_50_equity_constant
rema_50100__rtt_5020_equity_constant,14309.790199999989,43.09790199999988,-30.21744015365668,rema_50100__rtt_5020,29.0,rema_50100__rtt_5020_equity_constant
rema_50100__rbo_20_equity_constant,14279.162600000003,42.791626000000036,-34.32452560665625,rema_50100__rbo_20,36.0,rema_50100__rbo_20_equity_constant
rema_50100__rsma_50100_equity_constant,14206.075899999978,42.06075899999977,-29.706457893721804,rema_50100__rsma_50100,39.0,rema_50100__rsma_50100_equity_constant
rbo_100__rtt_5020_equity_constant,14148.088900000006,41.48088900000006,-31.5973045166906,rbo_100__rtt_5020,30.0,rbo_100__rtt_5020_equity_constant
rbo_20__rbo_50_equity_constant,14139.13239999999,41.3913239999999,-36.47856989251449,rbo_20__rbo_50,62.0,rbo_20__rbo_50_equity_constant
rbo_20__rsma_50100_equity_constant,14124.711599999975,41.24711599999975,-33.787934898912084,rbo_20__rsma_50100,45.0,rbo_20__rsma_50100_equity_constant
rsma_100150__rsma_100150_equity_constant,14017.916600000011,40.17916600000011,-32.93238898628898,rsma_100150__rsma_100150,5.0,rsma_100150__rsma_100150_equity_constant
rbo_20__rtt_5020_equity_constant,13939.465499999995,39.39465499999994,-32.72782942751076,rbo_20__rtt_5020,8.0,rbo_20__rtt_5020_equity_constant
rbo_100__rsma_50100_equity_constant,13849.690800000006,38.496908000000055,-30.122017986312745,rbo_100__rsma_50100,28.0,rbo_100__rsma_50100_equity_constant
rtt_5020_equity_constant,13789.215200000004,37.892152000000046,-35.136439160611076,rtt_5020,,rtt_5020_equity_constant
