combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,11,4,7,0,0,60,195,280,11.214953271028037,36.44859813084112,52.336448598130836,15.0,27.857142857142858,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,62,20,42,0,0,76,167,292,14.205607476635516,31.21495327102804,54.57943925233645,3.8,3.9761904761904763,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,25,23,2,0,0,84,235,216,15.700934579439252,43.925233644859816,40.373831775700936,3.652173913043478,117.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,8,4,4,0,0,93,205,237,17.38317757009346,38.31775700934579,44.299065420560744,23.25,51.25,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,45,23,22,0,0,84,184,267,15.700934579439252,34.39252336448598,49.90654205607476,3.652173913043478,8.363636363636363,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,50,27,22,0,1,45,217,273,8.411214953271028,40.560747663551396,51.02803738317757,1.6666666666666667,9.863636363636363,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,63,13,49,0,1,55,184,296,10.2803738317757,34.39252336448598,55.32710280373831,4.230769230769231,3.7551020408163267,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,33,30,2,0,1,31,237,267,5.794392523364486,44.299065420560744,49.90654205607476,1.0333333333333334,118.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,33,30,2,0,1,31,237,267,5.794392523364486,44.299065420560744,49.90654205607476,1.0333333333333334,118.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,84,2,82,0,0,119,117,299,22.242990654205606,21.869158878504674,55.887850467289724,59.5,1.4268292682926829,True,
