equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_convex,30386.794299999994,203.86794299999994,-83.28488647464323,rtt_5020,,rtt_5020_equity_convex
rbo_20__rsma_50100150_equity_concave,29478.2047,194.78204699999998,-71.00474757534958,rbo_20__rsma_50100150,2.0,rbo_20__rsma_50100150_equity_concave
rbo_20__rtt_5020_equity_concave,29478.2047,194.78204699999998,-71.00474757534958,rbo_20__rtt_5020,2.0,rbo_20__rtt_5020_equity_concave
rbo_20__rsma_100150_equity_concave,29478.2047,194.78204699999998,-71.00474757534958,rbo_20__rsma_100150,2.0,rbo_20__rsma_100150_equity_concave
rbo_20__rsma_50100150_equity_convex,29327.063499999975,193.27063499999974,-70.83730274096399,rbo_20__rsma_50100150,2.0,rbo_20__rsma_50100150_equity_convex
rbo_20__rsma_100150_equity_convex,29327.063499999975,193.27063499999974,-70.83730274096399,rbo_20__rsma_100150,2.0,rbo_20__rsma_100150_equity_convex
rbo_20__rtt_5020_equity_convex,29327.063499999975,193.27063499999974,-70.83730274096399,rbo_20__rtt_5020,2.0,rbo_20__rtt_5020_equity_convex
rema_50100150__rbo_50_equity_convex,26049.905199999972,160.49905199999972,-72.30222335460111,rema_50100150__rbo_50,1.0,rema_50100150__rbo_50_equity_convex
rema_50100150__rbo_100_equity_convex,26049.905199999972,160.49905199999972,-72.30222335460111,rema_50100150__rbo_100,1.0,rema_50100150__rbo_100_equity_convex
rema_50100__rbo_50_equity_concave,26049.905199999972,160.49905199999972,-72.30222335460111,rema_50100__rbo_50,1.0,rema_50100__rbo_50_equity_concave
rema_100150__rema_50100150_equity_concave,26049.905199999972,160.49905199999972,-72.30222335460111,rema_100150__rema_50100150,1.0,rema_100150__rema_50100150_equity_concave
rbo_50__rbo_50_equity_convex,26049.905199999972,160.49905199999972,-72.30222335460111,rbo_50__rbo_50,1.0,rbo_50__rbo_50_equity_convex
rbo_50__rbo_100_equity_concave,26049.905199999972,160.49905199999972,-72.30222335460111,rbo_50__rbo_100,1.0,rbo_50__rbo_100_equity_concave
rbo_50__rbo_100_equity_convex,26049.905199999972,160.49905199999972,-72.30222335460111,rbo_50__rbo_100,1.0,rbo_50__rbo_100_equity_convex
rema_50100__rbo_50_equity_convex,26049.905199999972,160.49905199999972,-72.30222335460111,rema_50100__rbo_50,1.0,rema_50100__rbo_50_equity_convex
rema_50100150__rbo_100_equity_concave,26049.905199999972,160.49905199999972,-72.30222335460111,rema_50100150__rbo_100,1.0,rema_50100150__rbo_100_equity_concave
