combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,4,3,1,0,0,82,10,442,15.355805243445692,1.8726591760299627,82.77153558052434,27.333333333333332,10.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,6,1,5,0,0,119,5,410,22.284644194756552,0.9363295880149813,76.77902621722846,119.0,1.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,6,1,5,0,0,119,5,410,22.284644194756552,0.9363295880149813,76.77902621722846,119.0,1.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,2,1,1,0,0,119,10,405,22.284644194756552,1.8726591760299627,75.84269662921348,119.0,10.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,6,1,5,0,0,119,5,410,22.284644194756552,0.9363295880149813,76.77902621722846,119.0,1.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,2,1,1,0,0,119,10,405,22.284644194756552,1.8726591760299627,75.84269662921348,119.0,10.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,2,1,1,0,0,119,10,405,22.284644194756552,1.8726591760299627,75.84269662921348,119.0,10.0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,6,1,5,0,0,119,5,410,22.284644194756552,0.9363295880149813,76.77902621722846,119.0,1.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,6,1,5,0,0,119,5,410,22.284644194756552,0.9363295880149813,76.77902621722846,119.0,1.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,6,1,5,0,0,119,5,410,22.284644194756552,0.9363295880149813,76.77902621722846,119.0,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,23,23,0,0,0,103,0,431,19.288389513108616,0.0,80.71161048689139,4.478260869565218,0.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,4,4,0,0,0,122,0,412,22.846441947565545,0.0,77.15355805243446,30.5,0.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,4,4,0,0,0,122,0,412,22.846441947565545,0.0,77.15355805243446,30.5,0.0,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,23,23,0,0,0,103,0,431,19.288389513108616,0.0,80.71161048689139,4.478260869565218,0.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,4,4,0,0,0,122,0,412,22.846441947565545,0.0,77.15355805243446,30.5,0.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,4,4,0,0,0,122,0,412,22.846441947565545,0.0,77.15355805243446,30.5,0.0,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,1,1,0,0,0,125,0,409,23.40823970037453,0.0,76.59176029962546,125.0,0.0,True,
