combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,0,10,0,0,0,289,245,0.0,54.11985018726592,45.88014981273408,0,28.9,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,14,0,14,0,0,0,335,199,0.0,62.734082397003746,37.265917602996254,0,23.928571428571427,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,1,0,1,0,0,0,423,111,0.0,79.21348314606742,20.786516853932586,0,423.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,0,5,0,0,0,346,188,0.0,64.7940074906367,35.2059925093633,0,69.2,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,16,0,16,0,0,0,372,162,0.0,69.66292134831461,30.337078651685395,0,23.25,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,15,0,15,0,0,0,398,136,0.0,74.53183520599251,25.468164794007492,0,26.533333333333335,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,122,0,122,0,0,0,228,306,0.0,42.69662921348314,57.30337078651685,0,1.8688524590163935,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,1,0,1,0,0,0,423,111,0.0,79.21348314606742,20.786516853932586,0,423.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,423,111,0.0,79.21348314606742,20.786516853932586,0,423.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,136,0,136,0,0,0,173,361,0.0,32.39700374531835,67.60299625468164,0,1.2720588235294117,True,
