combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,1,8,0,0,10,208,313,1.8832391713747645,39.1713747645951,58.94538606403014,10.0,26.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,18,3,15,0,0,13,286,232,2.4482109227871938,53.86064030131826,43.69114877589454,4.333333333333333,19.066666666666666,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,7,1,5,1,0,15,367,149,2.824858757062147,69.11487758945385,28.06026365348399,15.0,73.4,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,1,3,0,0,15,298,218,2.824858757062147,56.12052730696798,41.05461393596987,15.0,99.33333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,36,1,35,0,0,15,313,203,2.824858757062147,58.94538606403014,38.22975517890772,15.0,8.942857142857143,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,27,1,25,1,0,15,308,208,2.824858757062147,58.00376647834275,39.1713747645951,15.0,12.32,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,52,1,51,0,0,15,203,313,2.824858757062147,38.22975517890772,58.94538606403014,15.0,3.980392156862745,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,16,1,14,1,0,15,341,175,2.824858757062147,64.21845574387947,32.95668549905838,15.0,24.357142857142858,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,16,1,14,1,0,15,352,164,2.824858757062147,66.29001883239172,30.88512241054614,15.0,25.142857142857142,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,87,1,85,1,0,15,131,385,2.824858757062147,24.670433145009415,72.50470809792844,15.0,1.5411764705882354,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,64,15,49,0,0,19,228,284,3.5781544256120528,42.93785310734463,53.483992467043315,1.2666666666666666,4.653061224489796,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,2,3,0,0,33,274,224,6.214689265536723,51.60075329566855,42.18455743879473,16.5,91.33333333333333,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,7,1,5,1,0,55,367,109,10.357815442561206,69.11487758945385,20.527306967984934,55.0,73.4,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,2,3,0,0,33,274,224,6.214689265536723,51.60075329566855,42.18455743879473,16.5,91.33333333333333,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,29,1,28,0,0,55,306,170,10.357815442561206,57.6271186440678,32.015065913371,55.0,10.928571428571429,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,43,1,41,1,0,55,331,145,10.357815442561206,62.335216572504706,27.30696798493409,55.0,8.073170731707316,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,75,1,74,0,0,55,202,274,10.357815442561206,38.04143126177024,51.60075329566855,55.0,2.72972972972973,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,7,1,5,1,0,55,326,150,10.357815442561206,61.39359698681732,28.24858757062147,55.0,65.2,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,19,1,17,1,0,55,355,121,10.357815442561206,66.85499058380414,22.78719397363465,55.0,20.88235294117647,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,125,1,123,1,0,55,152,324,10.357815442561206,28.625235404896422,61.016949152542374,55.0,1.2357723577235773,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,107,23,84,0,0,32,277,222,6.0263653483992465,52.16572504708098,41.80790960451977,1.391304347826087,3.2976190476190474,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,61,12,49,0,0,44,312,175,8.286252354048965,58.75706214689266,32.95668549905838,3.6666666666666665,6.36734693877551,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,55,361,115,10.357815442561206,67.984934086629,21.657250470809792,55.0,361.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,47,10,37,0,0,46,324,161,8.662900188323917,61.016949152542374,30.32015065913371,4.6,8.756756756756756,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,47,1,46,0,0,55,316,160,10.357815442561206,59.51035781544256,30.131826741996232,55.0,6.869565217391305,True,
