equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rsma_50100150_equity_concave,36355.03720000002,263.5503720000002,-81.98465367935648,rbo_100__rsma_50100150,79.0,rbo_100__rsma_50100150_equity_concave
rema_50100__rsma_50100150_equity_concave,36274.87860000003,262.74878600000034,-81.98236782884398,rema_50100__rsma_50100150,84.0,rema_50100__rsma_50100150_equity_concave
rema_50100__rsma_50100150_equity_convex,33425.68980000004,234.25689800000038,-77.31431527595677,rema_50100__rsma_50100150,84.0,rema_50100__rsma_50100150_equity_convex
rbo_100__rsma_50100150_equity_convex,33088.022100000046,230.88022100000046,-77.28283574976481,rbo_100__rsma_50100150,79.0,rbo_100__rsma_50100150_equity_convex
rema_100150__rema_50100_equity_concave,32450.508899999986,224.50508899999986,-79.19388127273396,rema_100150__rema_50100,10.0,rema_100150__rema_50100_equity_concave
rema_100150__rbo_100_equity_concave,32177.475900000005,221.77475900000005,-78.40664428267543,rema_100150__rbo_100,17.0,rema_100150__rbo_100_equity_concave
rsma_100150__rsma_50100150_equity_convex,31566.485099999984,215.66485099999983,-77.20525742884925,rsma_100150__rsma_50100150,77.0,rsma_100150__rsma_50100150_equity_convex
rsma_50100150__rema_50100150_equity_concave,29160.84380000001,191.6084380000001,-77.1646961935772,rsma_50100150__rema_50100150,10.0,rsma_50100150__rema_50100150_equity_concave
rsma_100150__rsma_50100150_equity_concave,26753.267699999982,167.5326769999998,-74.7744208726456,rsma_100150__rsma_50100150,77.0,rsma_100150__rsma_50100150_equity_concave
rtt_5020_equity_convex,26695.379299999964,166.95379299999965,-88.58416006511769,rtt_5020,,rtt_5020_equity_convex
rema_100150__rsma_50100150_equity_concave,25397.721599999957,153.97721599999957,-72.32359827435253,rema_100150__rsma_50100150,78.0,rema_100150__rsma_50100150_equity_concave
rema_100150__rema_50100150_equity_concave,24999.967099999994,149.99967099999995,-72.77020384942088,rema_100150__rema_50100150,55.0,rema_100150__rema_50100150_equity_concave
rema_100150__rsma_50100_equity_concave,24024.470599999993,140.24470599999992,-71.2260481851729,rema_100150__rsma_50100,40.0,rema_100150__rsma_50100_equity_concave
rsma_50100150__rema_50100_equity_concave,23737.98379999998,137.3798379999998,-71.71854099870374,rsma_50100150__rema_50100,6.0,rsma_50100150__rema_50100_equity_concave
rema_100150__rbo_100_equity_convex,22970.926799999987,129.70926799999987,-69.14109369090197,rema_100150__rbo_100,17.0,rema_100150__rbo_100_equity_convex
rema_100150__rema_50100_equity_convex,22828.805299999993,128.28805299999993,-69.77501269937973,rema_100150__rema_50100,10.0,rema_100150__rema_50100_equity_convex
rsma_50100150__rsma_50100_equity_concave,22549.35450000004,125.49354500000041,-72.10148746262254,rsma_50100150__rsma_50100,13.0,rsma_50100150__rsma_50100_equity_concave
rsma_50100150__rema_50100150_equity_convex,21924.496900000002,119.24496900000001,-68.84114453356558,rsma_50100150__rema_50100150,10.0,rsma_50100150__rema_50100150_equity_convex
rema_100150__rsma_50100150_equity_convex,21782.448099999958,117.82448099999958,-62.84281679470285,rema_100150__rsma_50100150,78.0,rema_100150__rsma_50100150_equity_convex
rsma_100150__rema_50100_equity_concave,21702.508799999985,117.02508799999984,-86.16826310755438,rsma_100150__rema_50100,9.0,rsma_100150__rema_50100_equity_concave
rema_100150__rsma_50100_equity_convex,21546.66759999999,115.46667599999991,-61.84270378364866,rema_100150__rsma_50100,40.0,rema_100150__rsma_50100_equity_convex
rsma_50100150__rbo_100_equity_concave,20902.67219999999,109.02672199999989,-64.03388716526631,rsma_50100150__rbo_100,8.0,rsma_50100150__rbo_100_equity_concave
rsma_50100150__rsma_50100150_equity_concave,20455.808200000003,104.55808200000006,-68.92377450154251,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_concave
rema_100150__rema_50100150_equity_convex,20210.505699999976,102.10505699999976,-65.7846216529549,rema_100150__rema_50100150,55.0,rema_100150__rema_50100150_equity_convex
rsma_100150__rbo_100_equity_concave,19271.644899999996,92.71644899999995,-84.30965642266656,rsma_100150__rbo_100,16.0,rsma_100150__rbo_100_equity_concave
rsma_50100150__rema_50100_equity_convex,19265.806899999978,92.65806899999977,-64.40996667135872,rsma_50100150__rema_50100,6.0,rsma_50100150__rema_50100_equity_convex
rsma_50100150__rsma_50100150_equity_convex,18697.404099999992,86.97404099999993,-62.967358378162075,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_convex
rsma_50100150__rbo_100_equity_convex,18436.951499999996,84.36951499999996,-58.44538708054393,rsma_50100150__rbo_100,8.0,rsma_50100150__rbo_100_equity_convex
rsma_100150__rema_50100_equity_convex,18260.44389999999,82.60443899999991,-81.9291007613338,rsma_100150__rema_50100,9.0,rsma_100150__rema_50100_equity_convex
rsma_100150__rbo_100_equity_convex,17885.40859999999,78.85408599999992,-81.78858865907021,rsma_100150__rbo_100,16.0,rsma_100150__rbo_100_equity_convex
rsma_50100150__rsma_50100_equity_convex,17839.65260000001,78.3965260000001,-60.67885463926653,rsma_50100150__rsma_50100,13.0,rsma_50100150__rsma_50100_equity_convex
rema_50100150__rema_50100_equity_concave,17806.037199999995,78.06037199999996,-84.58886055820109,rema_50100150__rema_50100,5.0,rema_50100150__rema_50100_equity_concave
rema_50100150__rema_50100_equity_convex,17773.17009999998,77.73170099999982,-83.05036196792747,rema_50100150__rema_50100,5.0,rema_50100150__rema_50100_equity_convex
rtt_5020_equity_concave,17683.31219999995,76.83312199999949,-92.32939377840242,rtt_5020,,rtt_5020_equity_concave
rsma_50100150__rsma_100150_equity_convex,17382.367000000017,73.82367000000016,-61.54300974578189,rsma_50100150__rsma_100150,3.0,rsma_50100150__rsma_100150_equity_convex
rsma_50100150__rsma_100150_equity_concave,17382.367000000017,73.82367000000016,-61.54300974578189,rsma_50100150__rsma_100150,3.0,rsma_50100150__rsma_100150_equity_concave
rsma_50100__rema_50100_equity_concave,17012.596499999978,70.12596499999977,-83.91462703618299,rsma_50100__rema_50100,3.0,rsma_50100__rema_50100_equity_concave
rema_50100__rema_50100_equity_concave,17012.596499999978,70.12596499999977,-83.91462703618299,rema_50100__rema_50100,3.0,rema_50100__rema_50100_equity_concave
rbo_100__rema_50100_equity_concave,17012.596499999978,70.12596499999977,-83.91462703618299,rbo_100__rema_50100,3.0,rbo_100__rema_50100_equity_concave
rbo_50__rema_50100_equity_concave,17012.596499999978,70.12596499999977,-83.91462703618299,rbo_50__rema_50100,3.0,rbo_50__rema_50100_equity_concave
